opt_seed,epoch6_val_BA,best_val_BA_after_epoch6,improvement_after_epoch6_pp,improved_after_epoch6
0,66.0,68.5,2.5,True
1,50.0,69.0,19.0,True
2,65.33333333333333,67.83333333333333,2.5,True
