family_id,validation_scheme,validation_group,method,action,count,mean_realized_effect,harm_count,rescue_count
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,M0_NO_OP,NOOP,8400,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,M0_NO_OP,ERASE,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,M0_NO_OP,AMPLIFY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,M0_NO_OP,GEOMETRY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,BestFixedTrain,NOOP,8400,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,BestFixedTrain,ERASE,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,BestFixedTrain,AMPLIFY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,BestFixedTrain,GEOMETRY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,AlwaysSuppress,NOOP,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,AlwaysSuppress,ERASE,8400,-0.1944047619,2206,573
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,AlwaysSuppress,AMPLIFY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,AlwaysSuppress,GEOMETRY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,P_only_gate,NOOP,8400,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,P_only_gate,ERASE,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,P_only_gate,AMPLIFY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,P_only_gate,GEOMETRY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,P_plus_U_gate,NOOP,8400,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,P_plus_U_gate,ERASE,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,P_plus_U_gate,AMPLIFY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,P_plus_U_gate,GEOMETRY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,P_plus_U_plus_D_gate,NOOP,8400,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,P_plus_U_plus_D_gate,ERASE,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,P_plus_U_plus_D_gate,AMPLIFY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,P_plus_U_plus_D_gate,GEOMETRY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,RidgeEffect,NOOP,1400,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,RidgeEffect,ERASE,2199,-0.0004547521601,1,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,RidgeEffect,AMPLIFY,1982,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,RidgeEffect,GEOMETRY,2819,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,ElasticNetEffect,NOOP,1316,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,ElasticNetEffect,ERASE,2242,-0.0004460303301,1,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,ElasticNetEffect,AMPLIFY,2033,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,ElasticNetEffect,GEOMETRY,2809,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,SmallHGBEffect,NOOP,7850,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,SmallHGBEffect,ERASE,74,0.04054054054,10,13
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,SmallHGBEffect,AMPLIFY,34,0.1176470588,10,14
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,SmallHGBEffect,GEOMETRY,442,0.002262443439,5,6
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,RiskAwarePERSIST,NOOP,5385,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,RiskAwarePERSIST,ERASE,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,RiskAwarePERSIST,AMPLIFY,842,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,RiskAwarePERSIST,GEOMETRY,2173,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,Oracle,NOOP,7473,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,Oracle,ERASE,573,1,0,573
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,Oracle,AMPLIFY,227,1,0,227
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,Oracle,GEOMETRY,127,1,0,127
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,M0_NO_OP,NOOP,8400,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,M0_NO_OP,ERASE,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,M0_NO_OP,AMPLIFY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,M0_NO_OP,GEOMETRY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,BestFixedTrain,NOOP,8400,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,BestFixedTrain,ERASE,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,BestFixedTrain,AMPLIFY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,BestFixedTrain,GEOMETRY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,AlwaysSuppress,NOOP,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,AlwaysSuppress,ERASE,8400,-0.1825,2195,662
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,AlwaysSuppress,AMPLIFY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,AlwaysSuppress,GEOMETRY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,P_only_gate,NOOP,8400,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,P_only_gate,ERASE,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,P_only_gate,AMPLIFY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,P_only_gate,GEOMETRY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,P_plus_U_gate,NOOP,8400,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,P_plus_U_gate,ERASE,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,P_plus_U_gate,AMPLIFY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,P_plus_U_gate,GEOMETRY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,P_plus_U_plus_D_gate,NOOP,8400,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,P_plus_U_plus_D_gate,ERASE,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,P_plus_U_plus_D_gate,AMPLIFY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,P_plus_U_plus_D_gate,GEOMETRY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,RidgeEffect,NOOP,1718,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,RidgeEffect,ERASE,2407,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,RidgeEffect,AMPLIFY,1717,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,RidgeEffect,GEOMETRY,2558,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,ElasticNetEffect,NOOP,1644,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,ElasticNetEffect,ERASE,2421,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,ElasticNetEffect,AMPLIFY,1761,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,ElasticNetEffect,GEOMETRY,2574,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,SmallHGBEffect,NOOP,6758,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,SmallHGBEffect,ERASE,384,-0.015625,27,21
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,SmallHGBEffect,AMPLIFY,151,-0.06622516556,20,10
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,SmallHGBEffect,GEOMETRY,1107,0.003613369467,8,12
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,RiskAwarePERSIST,NOOP,5765,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,RiskAwarePERSIST,ERASE,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,RiskAwarePERSIST,AMPLIFY,844,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,RiskAwarePERSIST,GEOMETRY,1791,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,Oracle,NOOP,7254,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,Oracle,ERASE,662,1,0,662
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,Oracle,AMPLIFY,286,1,0,286
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,Oracle,GEOMETRY,198,1,0,198
openbmi_sample_router,leave_one_subject_group_out,subject_fold_2,M0_NO_OP,NOOP,8000,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_2,M0_NO_OP,ERASE,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_2,M0_NO_OP,AMPLIFY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_2,M0_NO_OP,GEOMETRY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_2,BestFixedTrain,NOOP,8000,0,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_2,BestFixedTrain,ERASE,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_2,BestFixedTrain,AMPLIFY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_2,BestFixedTrain,GEOMETRY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_2,AlwaysSuppress,NOOP,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_2,AlwaysSuppress,ERASE,8000,-0.151375,1832,621
openbmi_sample_router,leave_one_subject_group_out,subject_fold_2,AlwaysSuppress,AMPLIFY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_2,AlwaysSuppress,GEOMETRY,0,,0,0
openbmi_sample_router,leave_one_subject_group_out,subject_fold_2,P_only_gate,NOOP,8000,0,0,0
