family_id,validation_scheme,method,evaluation_groups,mean_delta_BA,delta_BA_group_bootstrap_CI_L,delta_BA_group_bootstrap_CI_U,positive_group_fraction,largest_positive_group_share,mean_action_rate,unsafe_intervention_rate,positive_intervention_precision,mean_recovered_headroom,worst_group_delta_BA,outer_test_used
openbmi_dda_block,leave_one_outer_fold_out,AlwaysSuppress,3,-0.03155831444,-0.03227210884,-0.03097108844,0,,1,0.813968254,0.1628571429,-57.12299671,-0.03227210884,False
openbmi_dda_block,leave_one_outer_fold_out,BestFixedTrain,3,0,0,0,0,,0,0,0,0,0,False
openbmi_dda_block,leave_one_outer_fold_out,ElasticNetEffect,3,-0.0001072562358,-0.0001619047619,-4.761904762e-05,0,,0.1841269841,0.6228937729,0.2961538462,-0.1838388323,-0.0001619047619,False
openbmi_dda_block,leave_one_outer_fold_out,M0_NO_OP,3,0,0,0,0,,0,0,0,0,0,False
openbmi_dda_block,leave_one_outer_fold_out,Oracle,3,0.0006263416478,0.0003843537415,0.0009079365079,1,0.483195559,0.1628571429,0,1,1,0.0003843537415,False
openbmi_dda_block,leave_one_outer_fold_out,P_only_gate,3,-0.03155831444,-0.03227210884,-0.03097108844,0,,1,0.813968254,0.1628571429,-57.12299671,-0.03227210884,False
openbmi_dda_block,leave_one_outer_fold_out,P_plus_U_gate,3,-0.008943386243,-0.02060034014,-0.002018707483,0,,0.6063492063,0.6966666667,0.2616666667,-15.0001564,-0.02060034014,False
openbmi_dda_block,leave_one_outer_fold_out,P_plus_U_plus_D_gate,3,-0.005979138322,-0.01648979592,0,0,,0.05650793651,0.6666666667,0,-9.899584473,-0.01648979592,False
openbmi_dda_block,leave_one_outer_fold_out,RidgeEffect,3,-0.0001379818594,-0.0002285714286,-4.081632653e-05,0,,0.1888888889,0.5611111111,0.35,-0.2014399179,-0.0002285714286,False
openbmi_dda_block,leave_one_outer_fold_out,RiskAwarePERSIST,3,-3.401360544e-06,-1.020408163e-05,0,0,,0.01873015873,0.2222222222,0,-0.008849557522,-1.020408163e-05,False
openbmi_dda_block,leave_one_outer_fold_out,SmallHGBEffect,3,0,0,0,0,,0,0,0,0,0,False
openbmi_dda_block,leave_one_run_out,AlwaysSuppress,6,-0.03150134637,-0.03399943311,-0.02929988662,0,,1,0.8148809524,0.1619047619,-68.09713516,-0.03624829932,False
openbmi_dda_block,leave_one_run_out,BestFixedTrain,6,0,0,0,0,,0,0,0,0,0,False
openbmi_dda_block,leave_one_run_out,ElasticNetEffect,6,-4.520975057e-05,-0.0001921768707,0.0001549036281,0.3333333333,0.9593810445,0.2095238095,0.6209325397,0.2964285714,-0.2193143603,-0.0002551020408,False
openbmi_dda_block,leave_one_run_out,M0_NO_OP,6,0,0,0,0,,0,0,0,0,0,False
openbmi_dda_block,leave_one_run_out,Oracle,6,0.0006322278912,0.0003969671202,0.0008922902494,1,0.3138309796,0.1619047619,0,1,1,0.0002244897959,False
openbmi_dda_block,leave_one_run_out,P_only_gate,6,-0.03150134637,-0.03402981505,-0.0293106576,0,,1,0.8148809524,0.1619047619,-68.09713516,-0.03624829932,False
openbmi_dda_block,leave_one_run_out,P_plus_U_gate,6,-0.006799178005,-0.01443424036,-0.001617630385,0,,0.5833333333,0.6866666667,0.2716666667,-9.94939953,-0.02468367347,False
openbmi_dda_block,leave_one_run_out,P_plus_U_plus_D_gate,6,-0.003774376417,-0.01028911565,0,0,,0.03333333333,0.3333333333,0,-4.458095238,-0.01954421769,False
openbmi_dda_block,leave_one_run_out,RidgeEffect,6,-0.0002152777778,-0.0003887471655,-6.887755102e-05,0.1666666667,1,0.2333333333,0.6104166667,0.3291666667,-0.4262368167,-0.0006326530612,False
openbmi_dda_block,leave_one_run_out,RiskAwarePERSIST,6,0,0,0,0,,0,0,0,0,0,False
openbmi_dda_block,leave_one_run_out,SmallHGBEffect,6,0,0,0,0,,0,0,0,0,0,False
openbmi_sample_router,historical_subject_crossfit,OldLegalRouter_R0,6,-0.0004656862745,-0.001029411765,0.0002205882353,0.3333333333,1,0.4087745098,0.5673113464,0.4326886536,,-0.001176470588,False
openbmi_sample_router,leave_one_subject_group_out,AlwaysSuppress,5,-0.1731059524,-0.1871869048,-0.15835,0,,1,0.2440857143,0.0709797619,-1.477231,-0.1944047619,False
openbmi_sample_router,leave_one_subject_group_out,BestFixedTrain,5,0,0,0,0,,0,0,0,0,0,False
openbmi_sample_router,leave_one_subject_group_out,ElasticNetEffect,5,-7.380952381e-05,-0.0001238095238,-2.380952381e-05,0,,0.8350738095,8.766096659e-05,0,-0.0006396086487,-0.000125,False
openbmi_sample_router,leave_one_subject_group_out,M0_NO_OP,5,0,0,0,0,,0,0,0,0,0,False
openbmi_sample_router,leave_one_subject_group_out,Oracle,5,0.1186071429,0.1083714286,0.1295821429,1,0.2300511894,0.1186071429,0,1,1,0.107625,False
openbmi_sample_router,leave_one_subject_group_out,P_only_gate,5,0,0,0,0,,0,0,0,0,0,False
openbmi_sample_router,leave_one_subject_group_out,P_plus_U_gate,5,0,0,0,0,,0,0,0,0,0,False
openbmi_sample_router,leave_one_subject_group_out,P_plus_U_plus_D_gate,5,0,0,0,0,,0,0,0,0,0,False
