family_id,validation_scheme,validation_group,method,mean_delta_BA,median_subject_delta_BA,worst_subject_delta_BA,positive_subject_fraction,action_rate,unsafe_intervention_rate,positive_intervention_precision,mean_effect_when_intervene,missed_opportunity_rate,oracle_gain,recovered_headroom,outer_test_used
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,M0_NO_OP,0,0,0,0,0,0,0,0,0.1103571429,0.1103571429,0,False
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,BestFixedTrain,0,0,0,0,0,0,0,0,0.1103571429,0.1103571429,0,False
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,AlwaysSuppress,-0.1944047619,-0.2025,-0.375,0,1,0.2626190476,0.06821428571,-0.1944047619,0,0.1103571429,-1.761596548,False
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,P_only_gate,0,0,0,0,0,0,0,0,0.1103571429,0.1103571429,0,False
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,P_plus_U_gate,0,0,0,0,0,0,0,0,0.1103571429,0.1103571429,0,False
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,P_plus_U_plus_D_gate,0,0,0,0,0,0,0,0,0.1103571429,0.1103571429,0,False
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,RidgeEffect,-0.000119047619,0,-0.005,0,0.8333333333,0.0001428571429,0,-0.0001428571429,0.02702380952,0.1103571429,-0.001078748652,False
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,ElasticNetEffect,-0.000119047619,0,-0.005,0,0.8433333333,0.0001411631846,0,-0.0001411631846,0.02726190476,0.1103571429,-0.001078748652,False
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,SmallHGBEffect,0.0009523809524,0,-0.015,0.380952381,0.06547619048,0.04545454545,0.06,0.01454545455,0.08726190476,0.1103571429,0.008629989213,False
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,RiskAwarePERSIST,0,0,0,0,0.3589285714,0,0,0,0.07035714286,0.1103571429,0,False
openbmi_sample_router,leave_one_subject_group_out,subject_fold_0,Oracle,0.1103571429,0.1075,0.01,1,0.1103571429,0,1,1,0,0.1103571429,1,False
openbmi_sample_router,leave_one_subject_group_out,subject_fold_1,M0_NO_OP,0,0,0,0,0,0,0,0,0.1364285714,0.1364285714,0,False
