task,fold,stage,subject,session,intact_BA,complement_retained_BA,protected_path_retained_BA,protected_path_retained_macro_F1,protected_path_retained_NLL,intervention_definition,note,intact_macro_F1,intact_NLL,complement_retained_macro_F1,complement_retained_NLL
OpenBMI_MI,0,H_CONCAT,8,1,0.8200000000000001,0.69,0.68,0.6753246753246753,0.7784647941589355,retain fitted Q component; replace complementary centered component by zero/train centroid,"diagnostic off-manifold retention, not additive causal attribution",0.8193496587715776,0.35484781861305237,0.6897207486738064,0.6434926390647888
OpenBMI_MI,0,H_CONCAT,8,2,0.82,0.6599999999999999,0.6399999999999999,0.6386993175431553,1.0605558156967163,retain fitted Q component; replace complementary centered component by zero/train centroid,"diagnostic off-manifold retention, not additive causal attribution",0.82,0.3999220132827759,0.6594551282051282,0.7158219814300537
OpenBMI_MI,0,H_CONCAT,9,1,0.69,0.6,0.5,0.49919871794871795,1.1040328741073608,retain fitted Q component; replace complementary centered component by zero/train centroid,"diagnostic off-manifold retention, not additive causal attribution",0.6846709388668497,0.629992663860321,0.5920032639738881,0.7343509793281555
OpenBMI_MI,0,H_CONCAT,9,2,0.56,0.52,0.48,0.4797919167667067,1.0136069059371948,retain fitted Q component; replace complementary centered component by zero/train centroid,"diagnostic off-manifold retention, not additive causal attribution",0.5592948717948718,0.947243332862854,0.5151515151515151,1.0221960544586182
OpenBMI_MI,0,H_CONCAT,11,1,0.71,0.59,0.63,0.6189887756152817,0.8356868624687195,retain fitted Q component; replace complementary centered component by zero/train centroid,"diagnostic off-manifold retention, not additive causal attribution",0.7013695808876532,0.649151623249054,0.5899589958995899,0.9380586743354797
OpenBMI_MI,0,H_CONCAT,11,2,0.6799999999999999,0.58,0.74,0.7395833333333333,0.5986438989639282,retain fitted Q component; replace complementary centered component by zero/train centroid,"diagnostic off-manifold retention, not additive causal attribution",0.6666666666666666,0.6692366600036621,0.5716034271725826,1.0050740242004395
OpenBMI_MI,0,H_CONCAT,14,1,0.6699999999999999,0.6699999999999999,0.62,0.6175523349436394,0.8487815260887146,retain fitted Q component; replace complementary centered component by zero/train centroid,"diagnostic off-manifold retention, not additive causal attribution",0.6624040920716112,0.6540834903717041,0.6673051718923279,0.6834989190101624
OpenBMI_MI,0,H_CONCAT,14,2,0.6699999999999999,0.5,0.5900000000000001,0.5866518802298619,0.992473840713501,retain fitted Q component; replace complementary centered component by zero/train centroid,"diagnostic off-manifold retention, not additive causal attribution",0.6683750376846548,0.760894775390625,0.4832575444398512,0.9242967963218689
OpenBMI_MI,0,H_CONCAT,19,1,0.76,0.71,0.6,0.5920032639738881,0.9060796499252319,retain fitted Q component; replace complementary centered component by zero/train centroid,"diagnostic off-manifold retention, not additive causal attribution",0.7552019583843329,0.5314570069313049,0.7092731829573935,0.6357859969139099
OpenBMI_MI,0,H_CONCAT,19,2,0.76,0.63,0.64,0.6398559423769508,0.8612038493156433,retain fitted Q component; replace complementary centered component by zero/train centroid,"diagnostic off-manifold retention, not additive causal attribution",0.7591328783621036,0.5684944987297058,0.62996299629963,0.8549535870552063
