task,fold,stage,split,coordinate_system,matched_subject_class_pairs,coordinate_Pearson,mean_diagonal_cross_session_Pearson,normalized_symmetric_cross_session_covariance_trace,matched_centroid_cosine,within_subject_cross_session_distance,between_subject_distance_reference
OpenBMI_MI,0,BRANCH_15,INNER_TRAIN,CANONICAL_FINAL_P,52,"[0.6512860306196119, 0.7713829294795732, 0.7942581098942164, 0.8161855675959064, 0.8332145943576588, 0.6042915501411602, 0.5389907513996325, 0.5031552624513225]",0.6890955994923852,0.7504046320914878,0.7405622553571548,0.4459611193442854,0.7927504533954296
OpenBMI_MI,0,BRANCH_63,INNER_TRAIN,CANONICAL_FINAL_P,52,"[0.5463563718306245, 0.8035036971151472, 0.7527427149601201, 0.7870149092610506, 0.8156297631580404, 0.6645461021068096, 0.44580229921018744, 0.5491897252239674]",0.6705981978582434,0.7168543484077282,0.7281809645760817,0.4713414176242209,0.788936068398523
OpenBMI_MI,0,BRANCH_127,INNER_TRAIN,CANONICAL_FINAL_P,52,"[0.5836464524609144, 0.7929367679226434, 0.7590687135164708, 0.7727178247059261, 0.7697301646054513, 0.643310558752085, 0.3967273130772829, 0.5606356859652226]",0.6598466851257495,0.7061040047608453,0.7052957275301293,0.47233785815053037,0.7903481634966906
OpenBMI_MI,0,H_CONCAT,INNER_TRAIN,CANONICAL_FINAL_P,52,"[0.606018512115945, 0.8005929303165628, 0.7795917439246348, 0.793266643267338, 0.8275009765238445, 0.6474425479760545, 0.472489333894904, 0.5611080047051565]",0.6860013365905551,0.7354279079756807,0.7407544923023452,0.46120420574638865,0.8038384443466031
OpenBMI_MI,0,H_SHARED1,INNER_TRAIN,CANONICAL_FINAL_P,52,"[0.6055461640317431, 0.7805569283071238, 0.78813345990088, 0.8170283531622904, 0.8688960162813867, 0.6534438417453191, 0.44945517663077905, 0.4986851479392667]",0.6827181359998485,0.751876160386711,0.766143973200039,0.49191980113521083,0.8563261232881169
OpenBMI_MI,0,H_SHARED2,INNER_TRAIN,CANONICAL_FINAL_P,52,"[0.6242873702778665, 0.7782207103375699, 0.7722584237293066, 0.827337126318414, 0.883046386517259, 0.6673485585468191, 0.4284459367800656, 0.5081507082564799]",0.6861369025954726,0.7673102437203645,0.7831475665579851,0.5352479506094323,0.9135595955186891
OpenBMI_MI,0,EMBEDDING,INNER_TRAIN,CANONICAL_FINAL_P,52,"[0.6988460866756683, 0.7044213417896737, 0.7559133677448566, 0.8163872835284145, 0.9072357010800404, 0.5374353283260495, 0.5217188422513168, 0.3558636540579128]",0.6622277006817415,0.7469790113905169,0.7216823695309093,0.8353305101936734,1.3801428556724866
OpenBMI_MI,0,BRANCH_15,DISCOVERY,CANONICAL_FINAL_P,12,"[0.41509748706803534, 0.5474925618051145, 0.863492854223107, 0.7653501008532877, 0.7208956967776742, 0.2811498262063323, 0.5958539525558296, 0.9261404675599734]",0.6394341183811691,0.6898738061248982,0.6041400357652142,0.41588474295261096,0.5899637665493159
OpenBMI_MI,0,BRANCH_63,DISCOVERY,CANONICAL_FINAL_P,12,"[0.5078375524742877, 0.6660425364776259, 0.8310057901217042, 0.8137018680956245, 0.8889920772463513, 0.493153489072127, 0.6021819635688519, 0.7887306749609764]",0.6989557440021936,0.7642487334843594,0.6715038318546016,0.40124717106929636,0.6225335644848476
OpenBMI_MI,0,BRANCH_127,DISCOVERY,CANONICAL_FINAL_P,12,"[0.33604342668795434, 0.7055767868030958, 0.5348891069449591, 0.7221685390344935, 0.7861068515770444, 0.22570761318210864, 0.7106250163669037, 0.835324889072423]",0.6070552787086227,0.6864065487405494,0.5188169553646033,0.4438144103669681,0.6753917291216681
