task,fold,stage,subject,session,control,draw,rank,intact_BA,intact_macro_F1,intact_NLL,erased_BA,erased_macro_F1,erased_NLL,BA_loss,macro_F1_loss,NLL_change,worst_session_BA_loss,biological_subjects,protected_BA_loss_mean,random_BA_loss_mean,protected_minus_random_BA_harm,paired_ci95_lower,paired_ci95_upper,bootstrap_replicates,protected_worst_session_BA_loss_mean,protected_macro_F1_loss_mean,protected_NLL_change_mean
OpenBMI_MI,0,H_CONCAT,8,1,PROTECTED,-1,8,0.8200000000000001,0.8193496587715776,0.35484781861305237,0.69,0.6897207486738064,0.6434926390647888,0.13000000000000012,0.12962891009777122,0.28864482045173645,0.16000000000000003,,,,,,,,,,
OpenBMI_MI,0,H_CONCAT,8,1,RANDOM,0,8,0.8200000000000001,0.8193496587715776,0.35484781861305237,0.8200000000000001,0.8193496587715776,0.3535817265510559,0.0,0.0,-0.00126609206199646,-1.1102230246251565e-16,,,,,,,,,,
OpenBMI_MI,0,H_CONCAT,8,1,RANDOM,1,8,0.8200000000000001,0.8193496587715776,0.35484781861305237,0.8200000000000001,0.8193496587715776,0.3545589745044708,0.0,0.0,-0.00028884410858154297,-1.1102230246251565e-16,,,,,,,,,,
OpenBMI_MI,0,H_CONCAT,8,1,RANDOM,2,8,0.8200000000000001,0.8193496587715776,0.35484781861305237,0.8200000000000001,0.8193496587715776,0.3557059168815613,0.0,0.0,0.0008580982685089111,0.0,,,,,,,,,,
OpenBMI_MI,0,H_CONCAT,8,1,RANDOM,3,8,0.8200000000000001,0.8193496587715776,0.35484781861305237,0.8200000000000001,0.8193496587715776,0.3545731008052826,0.0,0.0,-0.0002747178077697754,0.019999999999999907,,,,,,,,,,
OpenBMI_MI,0,H_CONCAT,8,2,PROTECTED,-1,8,0.82,0.82,0.3999220132827759,0.6599999999999999,0.6594551282051282,0.7158219814300537,0.16000000000000003,0.16054487179487176,0.31589996814727783,0.16000000000000003,,,,,,,,,,
OpenBMI_MI,0,H_CONCAT,8,2,RANDOM,0,8,0.82,0.82,0.3999220132827759,0.8200000000000001,0.8199279711884754,0.4027636647224426,-1.1102230246251565e-16,7.202881152457152e-05,0.002841651439666748,-1.1102230246251565e-16,,,,,,,,,,
OpenBMI_MI,0,H_CONCAT,8,2,RANDOM,1,8,0.82,0.82,0.3999220132827759,0.8200000000000001,0.8199279711884754,0.3992423117160797,-1.1102230246251565e-16,7.202881152457152e-05,-0.000679701566696167,-1.1102230246251565e-16,,,,,,,,,,
OpenBMI_MI,0,H_CONCAT,8,2,RANDOM,2,8,0.82,0.82,0.3999220132827759,0.82,0.82,0.40055638551712036,0.0,0.0,0.0006343722343444824,0.0,,,,,,,,,,
OpenBMI_MI,0,H_CONCAT,8,2,RANDOM,3,8,0.82,0.82,0.3999220132827759,0.8,0.7999199679871949,0.40169012546539307,0.019999999999999907,0.02008003201280506,0.0017681121826171875,0.019999999999999907,,,,,,,,,,
OpenBMI_MI,0,H_CONCAT,9,1,PROTECTED,-1,8,0.69,0.6846709388668497,0.629992663860321,0.6,0.5920032639738881,0.7343509793281555,0.08999999999999997,0.09266767489296157,0.10435831546783447,0.040000000000000036,,,,,,,,,,
OpenBMI_MI,0,H_CONCAT,9,1,RANDOM,0,8,0.69,0.6846709388668497,0.629992663860321,0.69,0.6846709388668497,0.6286123991012573,0.0,0.0,-0.0013802647590637207,0.010000000000000009,,,,,,,,,,
OpenBMI_MI,0,H_CONCAT,9,1,RANDOM,1,8,0.69,0.6846709388668497,0.629992663860321,0.6799999999999999,0.6736026111791106,0.6309571266174316,0.010000000000000009,0.011068327687739132,0.0009644627571105957,0.0,,,,,,,,,,
OpenBMI_MI,0,H_CONCAT,9,1,RANDOM,2,8,0.69,0.6846709388668497,0.629992663860321,0.7,0.6956168831168831,0.6312965154647827,-0.010000000000000009,-0.010945944250033368,0.00130385160446167,0.010000000000000009,,,,,,,,,,
OpenBMI_MI,0,H_CONCAT,9,1,RANDOM,3,8,0.69,0.6846709388668497,0.629992663860321,0.7,0.6940024479804161,0.6286879777908325,-0.010000000000000009,-0.009331509113566394,-0.0013046860694885254,0.0,,,,,,,,,,
OpenBMI_MI,0,H_CONCAT,9,2,PROTECTED,-1,8,0.56,0.5592948717948718,0.947243332862854,0.52,0.5151515151515151,1.0221960544586182,0.040000000000000036,0.04414335664335667,0.07495272159576416,0.040000000000000036,,,,,,,,,,
OpenBMI_MI,0,H_CONCAT,9,2,RANDOM,0,8,0.56,0.5592948717948718,0.947243332862854,0.55,0.5495946351716545,0.9479885101318359,0.010000000000000009,0.009700236623217284,0.0007451772689819336,0.010000000000000009,,,,,,,,,,
OpenBMI_MI,0,H_CONCAT,9,2,RANDOM,1,8,0.56,0.5592948717948718,0.947243332862854,0.56,0.5592948717948718,0.9454021453857422,0.0,0.0,-0.0018411874771118164,0.0,,,,,,,,,,
