task,fold,source_stage,successor_stage,perturbation,trials,source_basis_rank,successor_basis_rank,structured_complement_rank,source_energy,successor_P_movement_over_input_energy,successor_C_movement_over_input_energy,matched_energy_max_relative_error,structured_C_to_P,structured_C_to_C,random_C_to_P,structured_minus_random_C_to_P,positive_folds
OpenBMI_MI,0,H_CONCAT,H_SHARED1,P,256,8,8,16,1.4946416328913856,0.7275701446826401,0.5791430023119771,7.97577754951817e-08,,,,,
OpenBMI_MI,0,H_CONCAT,H_SHARED1,STRUCTURED_C,256,8,8,16,1.4946416328913856,0.07161690964720155,0.7192151225394385,7.97577754951817e-08,,,,,
OpenBMI_MI,0,H_CONCAT,H_SHARED1,RANDOM_C,256,8,8,16,1.4946416328913856,0.027249462654827805,0.618725388615545,7.97577754951817e-08,,,,,
OpenBMI_MI,0,H_SHARED1,H_SHARED2,P,256,8,8,16,1.1249029086374045,0.6510069049283541,0.48228997838656135,1.0597295130310158e-07,,,,,
OpenBMI_MI,0,H_SHARED1,H_SHARED2,STRUCTURED_C,256,8,8,16,1.1249029086374045,0.08039015163429516,0.777284985634837,1.0597295130310158e-07,,,,,
OpenBMI_MI,0,H_SHARED1,H_SHARED2,RANDOM_C,256,8,8,16,1.1249029086374045,0.03380217522783544,0.538508151308251,1.0597295130310158e-07,,,,,
OpenBMI_MI,0,H_SHARED2,EMBEDDING,P,256,8,8,16,0.7740495724111373,0.1943230678892647,0.23604976093309135,7.70036550079567e-08,,,,,
OpenBMI_MI,0,H_SHARED2,EMBEDDING,STRUCTURED_C,256,8,8,16,0.7740495724111373,0.07207476301995544,0.1929915120432438,7.70036550079567e-08,,,,,
OpenBMI_MI,0,H_SHARED2,EMBEDDING,RANDOM_C,256,8,8,16,0.7740495724111373,0.030187682915098667,0.07344629401584989,7.70036550079567e-08,,,,,
OpenBMI_MI,1,H_CONCAT,H_SHARED1,P,256,8,8,16,1.5292039004211813,0.7370412751049645,0.5316155767196402,7.795512857455833e-08,,,,,
OpenBMI_MI,1,H_CONCAT,H_SHARED1,STRUCTURED_C,256,8,8,16,1.5292039004211813,0.060294189835647494,0.7230927283420718,7.795512857455833e-08,,,,,
OpenBMI_MI,1,H_CONCAT,H_SHARED1,RANDOM_C,256,8,8,16,1.5292039004211813,0.026410296416414517,0.58671985119977,7.795512857455833e-08,,,,,
OpenBMI_MI,1,H_SHARED1,H_SHARED2,P,256,8,8,16,1.1415858881049215,0.6921637306007979,0.5074852359255909,1.044242807779483e-07,,,,,
OpenBMI_MI,1,H_SHARED1,H_SHARED2,STRUCTURED_C,256,8,8,16,1.1415858881049215,0.06668469751144616,0.7707623909833982,1.044242807779483e-07,,,,,
OpenBMI_MI,1,H_SHARED1,H_SHARED2,RANDOM_C,256,8,8,16,1.1415858881049215,0.032181601469314106,0.5317650559358226,1.044242807779483e-07,,,,,
