task,fold,stage,subject,session,control,draw,rank,intact_BA,intact_macro_F1,intact_NLL,erased_BA,erased_macro_F1,erased_NLL,BA_loss,macro_F1_loss,NLL_change,final_P_change_L2_mean,final_P_norm_change_mean,final_P_cosine_mean
OpenBMI_MI,0,BRANCH_15,8,1,PROTECTED,-1,8,0.8200000000000001,0.8193496587715776,0.35484781861305237,0.79,0.7882851093860268,0.4140312671661377,0.030000000000000027,0.03106454938555081,0.05918344855308533,0.525733232498169,-0.09773415327072144,0.9754676222801208
OpenBMI_MI,0,BRANCH_15,8,1,RANDOM,0,8,0.8200000000000001,0.8193496587715776,0.35484781861305237,0.8200000000000001,0.8193496587715776,0.3534717857837677,0.0,0.0,-0.001376032829284668,0.028455259278416634,-0.00011013746552634984,0.9999281167984009
OpenBMI_MI,0,BRANCH_15,8,1,RANDOM,1,8,0.8200000000000001,0.8193496587715776,0.35484781861305237,0.8200000000000001,0.8193496587715776,0.3567233681678772,0.0,0.0,0.001875549554824829,0.026513617485761642,0.0004368817899376154,0.9999414682388306
OpenBMI_MI,0,BRANCH_15,8,1,RANDOM,2,8,0.8200000000000001,0.8193496587715776,0.35484781861305237,0.8200000000000001,0.8193496587715776,0.3527020215988159,0.0,0.0,-0.00214579701423645,0.03228161856532097,0.001267918385565281,0.9999176859855652
OpenBMI_MI,0,BRANCH_15,8,1,RANDOM,3,8,0.8200000000000001,0.8193496587715776,0.35484781861305237,0.8200000000000001,0.8193496587715776,0.35453057289123535,0.0,0.0,-0.0003172457218170166,0.029188258573412895,0.002003137953579426,0.9999334812164307
OpenBMI_MI,0,BRANCH_15,8,2,PROTECTED,-1,8,0.82,0.82,0.3999220132827759,0.82,0.82,0.4704381823539734,0.0,0.0,0.07051616907119751,0.5692365169525146,-0.05920194089412689,0.9735222458839417
OpenBMI_MI,0,BRANCH_15,8,2,RANDOM,0,8,0.82,0.82,0.3999220132827759,0.81,0.8099809980998101,0.3980957865715027,0.009999999999999898,0.010019001900189894,-0.0018262267112731934,0.0305174607783556,0.001482886029407382,0.9999306201934814
OpenBMI_MI,0,BRANCH_15,8,2,RANDOM,1,8,0.82,0.82,0.3999220132827759,0.82,0.82,0.40077391266822815,0.0,0.0,0.0008518993854522705,0.029047232121229172,0.0020151745993644,0.9999309778213501
OpenBMI_MI,0,BRANCH_15,8,2,RANDOM,2,8,0.82,0.82,0.3999220132827759,0.81,0.8099809980998101,0.40091392397880554,0.009999999999999898,0.010019001900189894,0.000991910696029663,0.031893886625766754,-0.0011060726828873158,0.9999173879623413
OpenBMI_MI,0,BRANCH_15,8,2,RANDOM,3,8,0.82,0.82,0.3999220132827759,0.81,0.8099809980998101,0.3985321521759033,0.009999999999999898,0.010019001900189894,-0.0013898611068725586,0.030481262132525444,0.0004395663854666054,0.9999294877052307
OpenBMI_MI,0,BRANCH_15,9,1,PROTECTED,-1,8,0.69,0.6846709388668497,0.629992663860321,0.69,0.6874684948079444,0.5907368659973145,0.0,-0.0027975559410946538,-0.03925579786300659,0.5276286602020264,-0.06510108709335327,0.969739556312561
OpenBMI_MI,0,BRANCH_15,9,1,RANDOM,0,8,0.69,0.6846709388668497,0.629992663860321,0.6799999999999999,0.6736026111791106,0.6314590573310852,0.010000000000000009,0.011068327687739132,0.0014663934707641602,0.029855282977223396,-0.0009382623247802258,0.9999014139175415
OpenBMI_MI,0,BRANCH_15,9,1,RANDOM,1,8,0.69,0.6846709388668497,0.629992663860321,0.69,0.6846709388668497,0.6309633851051331,0.0,0.0,0.0009707212448120117,0.028685230761766434,-0.0003781086124945432,0.9999097585678101
OpenBMI_MI,0,BRANCH_15,9,1,RANDOM,2,8,0.69,0.6846709388668497,0.629992663860321,0.6799999999999999,0.6736026111791106,0.6301541328430176,0.010000000000000009,0.011068327687739132,0.0001614689826965332,0.03326793760061264,0.0010505926329642534,0.9998770952224731
OpenBMI_MI,0,BRANCH_15,9,1,RANDOM,3,8,0.69,0.6846709388668497,0.629992663860321,0.69,0.6846709388668497,0.626611053943634,0.0,0.0,-0.0033816099166870117,0.035700540989637375,0.003366636112332344,0.999874472618103
OpenBMI_MI,0,BRANCH_15,9,2,PROTECTED,-1,8,0.56,0.5592948717948718,0.947243332862854,0.5800000000000001,0.5784825371336813,0.9756348133087158,-0.020000000000000018,-0.019187665338809445,0.028391480445861816,0.5438165068626404,-0.09113933891057968,0.969369649887085
OpenBMI_MI,0,BRANCH_15,9,2,RANDOM,0,8,0.56,0.5592948717948718,0.947243332862854,0.56,0.5592948717948718,0.9457564353942871,0.0,0.0,-0.0014868974685668945,0.02891482040286064,-0.0015710771549493074,0.9999091625213623
OpenBMI_MI,0,BRANCH_15,9,2,RANDOM,1,8,0.56,0.5592948717948718,0.947243332862854,0.56,0.5592948717948718,0.9473517537117004,0.0,0.0,0.00010842084884643555,0.02834070287644863,-0.003934206906706095,0.9999202489852905
OpenBMI_MI,0,BRANCH_15,9,2,RANDOM,2,8,0.56,0.5592948717948718,0.947243332862854,0.55,0.5495946351716545,0.9488520622253418,0.010000000000000009,0.009700236623217284,0.001608729362487793,0.03175884857773781,0.0018962061731144786,0.9999029636383057
