task,fold,stage,split,coordinate,trials_or_centroids,biological_subjects,mean_R2,variance_weighted_R2,mean_Pearson,cosine,normalized_MSE,R2,Pearson,subject,pathway_rank,feature_dimension,Q_mu_sha256
OpenBMI_MI,0,BRANCH_15,INNER_TRAIN_SUBJECT_GROUPED_OOF_CENTROIDS,ALL,104,26,0.19954530890820443,0.30424985657576453,0.412003220121838,0.5811907410939992,0.6957501434242355,,,,8,4000,0ec307a4f8f96a31572bdf6417f69cc0e51ce4377f2b29c250d23ec77b737fe6
OpenBMI_MI,0,BRANCH_15,INNER_TRAIN_SUBJECT_GROUPED_OOF_CENTROIDS,0,104,26,,,,,,0.20777362659916354,0.45731609859334565,,8,4000,0ec307a4f8f96a31572bdf6417f69cc0e51ce4377f2b29c250d23ec77b737fe6
OpenBMI_MI,0,BRANCH_15,INNER_TRAIN_SUBJECT_GROUPED_OOF_CENTROIDS,1,104,26,,,,,,0.13112440710814421,0.3625917058748329,,8,4000,0ec307a4f8f96a31572bdf6417f69cc0e51ce4377f2b29c250d23ec77b737fe6
OpenBMI_MI,0,BRANCH_15,INNER_TRAIN_SUBJECT_GROUPED_OOF_CENTROIDS,2,104,26,,,,,,0.4107519510600409,0.649610894298051,,8,4000,0ec307a4f8f96a31572bdf6417f69cc0e51ce4377f2b29c250d23ec77b737fe6
OpenBMI_MI,0,BRANCH_15,INNER_TRAIN_SUBJECT_GROUPED_OOF_CENTROIDS,3,104,26,,,,,,0.48358385857126707,0.7486355187860992,,8,4000,0ec307a4f8f96a31572bdf6417f69cc0e51ce4377f2b29c250d23ec77b737fe6
OpenBMI_MI,0,BRANCH_15,INNER_TRAIN_SUBJECT_GROUPED_OOF_CENTROIDS,4,104,26,,,,,,0.4716252954255734,0.7304104987277877,,8,4000,0ec307a4f8f96a31572bdf6417f69cc0e51ce4377f2b29c250d23ec77b737fe6
OpenBMI_MI,0,BRANCH_15,INNER_TRAIN_SUBJECT_GROUPED_OOF_CENTROIDS,5,104,26,,,,,,-0.03955429193512949,0.11792027148567097,,8,4000,0ec307a4f8f96a31572bdf6417f69cc0e51ce4377f2b29c250d23ec77b737fe6
OpenBMI_MI,0,BRANCH_15,INNER_TRAIN_SUBJECT_GROUPED_OOF_CENTROIDS,6,104,26,,,,,,0.03813531677889004,0.20629593788473966,,8,4000,0ec307a4f8f96a31572bdf6417f69cc0e51ce4377f2b29c250d23ec77b737fe6
OpenBMI_MI,0,BRANCH_15,INNER_TRAIN_SUBJECT_GROUPED_OOF_CENTROIDS,7,104,26,,,,,,-0.10707769234231401,0.023244835324176868,,8,4000,0ec307a4f8f96a31572bdf6417f69cc0e51ce4377f2b29c250d23ec77b737fe6
OpenBMI_MI,0,BRANCH_63,INNER_TRAIN_SUBJECT_GROUPED_OOF_CENTROIDS,ALL,104,26,0.20367494958506652,0.2885349616650652,0.44406299182919734,0.55254381426431,0.7114650383349348,,,,8,4000,96bc192a892e5328c0e4d43a155827ecd4da8a6ac6d750ad556c9ef6931e721a
