task,fold,source_stage,successor_stage,source_discovery_mean_R2,successor_discovery_mean_R2,delta_recoverability,source_persistence_rho,successor_persistence_rho,delta_persistence,successor_protected_erasure_excess_BA_harm,structured_C_to_P,structured_C_to_C,random_C_to_P,structured_minus_random_C_to_P,PC_nonlinear_interaction_into_successor_P,recoverability_positive_folds,persistence_positive_folds,structured_C_to_P_positive_folds,erasure_excess_positive_folds,criteria_satisfied,P_FORMATION_ACTIVE_TRANSITION
OpenBMI_MI,0,H_CONCAT,H_SHARED1,0.14806959591948876,0.24967504648729574,0.10160545056780698,0.6968713911143725,0.7194750875526433,0.02260369643827087,0.09875,0.07161690964720155,0.7192151225394385,0.027249462654827805,0.044367446992373744,0.0009816143991709626,5,4,5,5,4,True
OpenBMI_MI,1,H_CONCAT,H_SHARED1,0.1894406656890268,0.26674211805543313,0.07730145236640634,0.7262556420402647,0.7491392412529231,0.022883599212658368,0.15270833333333336,0.060294189835647494,0.7230927283420718,0.026410296416414517,0.03388389341923298,0.0009763338211794374,5,4,5,5,4,True
OpenBMI_MI,2,H_CONCAT,H_SHARED1,0.1656262171563182,0.2569652260562108,0.0913390088998926,0.6760036918270705,0.7102220201946476,0.0342183283675771,0.12145833333333333,0.08598876504660148,0.8338794949942901,0.026780391149871678,0.0592083738967298,0.0011704558365760256,5,4,5,5,4,True
OpenBMI_MI,3,H_CONCAT,H_SHARED1,0.19650710192717685,0.2795419299758734,0.08303482804869655,0.6958614069361059,0.690027741114017,-0.005833665822088885,0.10666666666666665,0.07065831678368514,0.7877565966537817,0.027347565301107674,0.04331075148257747,0.0010954847526256325,5,4,5,5,4,True
OpenBMI_MI,4,H_CONCAT,H_SHARED1,0.16678619254744087,0.2850339045178257,0.1182477119703848,0.22974903754599343,0.5076845446376679,0.27793550709167447,0.08354166666666664,0.06359746847328765,0.9105451782138124,0.019853234102762574,0.043744234370525076,0.0007236533752597739,5,4,5,5,4,True
OpenBMI_MI,POOLED,H_CONCAT,H_SHARED1,0.12023592741839624,0.21407445140995138,0.09383852399155515,0.6049482338927614,0.6753097269503797,0.07036149305761838,0.11469791666666666,0.07043112995728466,0.794897824148679,0.025528189924996846,0.044902940032287814,0.0009895084369623665,5,4,5,5,4,True
OpenBMI_MI,0,H_SHARED1,H_SHARED2,0.24967504648729574,0.3441109970208717,0.09443595053357598,0.7194750875526433,0.6956562254781862,-0.02381886207445716,0.09541666666666666,0.08039015163429516,0.777284985634837,0.03380217522783544,0.04658797640645972,0.001161989214203702,5,1,5,5,3,True
OpenBMI_MI,1,H_SHARED1,H_SHARED2,0.26674211805543313,0.36212041954625385,0.09537830149082072,0.7491392412529231,0.7405184484576499,-0.008620792795273169,0.12708333333333333,0.06668469751144616,0.7707623909833982,0.032181601469314106,0.03450309604213206,0.0011617401612053146,5,1,5,5,3,True
OpenBMI_MI,2,H_SHARED1,H_SHARED2,0.2569652260562108,0.3422919686415475,0.08532674258533668,0.7102220201946476,0.6943744134601741,-0.015847606734473496,0.11916666666666663,0.08127327166239486,0.8459463463468978,0.03319354828893416,0.0480797233734607,0.001519913325095659,5,1,5,5,3,True
OpenBMI_MI,3,H_SHARED1,H_SHARED2,0.2795419299758734,0.381640499243795,0.1020985692679216,0.690027741114017,0.644112369838592,-0.045915371275425,0.12083333333333335,0.06997125037009821,0.7816537132990129,0.03244084913889126,0.037530401231206954,0.0014515113883063126,5,1,5,5,3,True
