task,fold,split,source_stage,successor_stage,source_rho,successor_rho,delta_rho,positive_folds
OpenBMI_MI,0,DISCOVERY,H_CONCAT,H_SHARED1,0.6968713911143725,0.7194750875526433,0.02260369643827087,
OpenBMI_MI,1,DISCOVERY,H_CONCAT,H_SHARED1,0.7262556420402647,0.7491392412529231,0.022883599212658368,
OpenBMI_MI,2,DISCOVERY,H_CONCAT,H_SHARED1,0.6760036918270705,0.7102220201946476,0.0342183283675771,
OpenBMI_MI,3,DISCOVERY,H_CONCAT,H_SHARED1,0.6958614069361059,0.690027741114017,-0.005833665822088885,
OpenBMI_MI,4,DISCOVERY,H_CONCAT,H_SHARED1,0.22974903754599343,0.5076845446376679,0.27793550709167447,
OpenBMI_MI,POOLED_FOLDS,DISCOVERY,H_CONCAT,H_SHARED1,0.6049482338927614,0.6753097269503797,0.07036149305761838,4
OpenBMI_MI,0,INNER_TRAIN,H_CONCAT,H_SHARED1,0.6860013365905551,0.6827181359998485,-0.0032832005907065254,
OpenBMI_MI,1,INNER_TRAIN,H_CONCAT,H_SHARED1,0.7452973844836799,0.7801041934984455,0.03480680901476563,
OpenBMI_MI,2,INNER_TRAIN,H_CONCAT,H_SHARED1,0.7321776205282288,0.7644131770974968,0.03223555656926802,
OpenBMI_MI,3,INNER_TRAIN,H_CONCAT,H_SHARED1,0.7474659323501636,0.7684662209685948,0.021000288618431284,
OpenBMI_MI,4,INNER_TRAIN,H_CONCAT,H_SHARED1,0.6977585527965342,0.7146450731788009,0.01688652038226668,
OpenBMI_MI,0,DISCOVERY,H_SHARED1,H_SHARED2,0.7194750875526433,0.6956562254781862,-0.02381886207445716,
OpenBMI_MI,1,DISCOVERY,H_SHARED1,H_SHARED2,0.7491392412529231,0.7405184484576499,-0.008620792795273169,
OpenBMI_MI,2,DISCOVERY,H_SHARED1,H_SHARED2,0.7102220201946476,0.6943744134601741,-0.015847606734473496,
OpenBMI_MI,3,DISCOVERY,H_SHARED1,H_SHARED2,0.690027741114017,0.644112369838592,-0.045915371275425,
OpenBMI_MI,4,DISCOVERY,H_SHARED1,H_SHARED2,0.5076845446376679,0.5796479548106839,0.071963410173016,
OpenBMI_MI,POOLED_FOLDS,DISCOVERY,H_SHARED1,H_SHARED2,0.6753097269503797,0.6708618824090572,-0.004447844541322565,1
OpenBMI_MI,0,INNER_TRAIN,H_SHARED1,H_SHARED2,0.6827181359998485,0.6861369025954726,0.003418766595624012,
OpenBMI_MI,1,INNER_TRAIN,H_SHARED1,H_SHARED2,0.7801041934984455,0.7955832877623796,0.015479094263934123,
OpenBMI_MI,2,INNER_TRAIN,H_SHARED1,H_SHARED2,0.7644131770974968,0.7703603003186861,0.005947123221189288,
OpenBMI_MI,3,INNER_TRAIN,H_SHARED1,H_SHARED2,0.7684662209685948,0.769758312266817,0.0012920912982221644,
OpenBMI_MI,4,INNER_TRAIN,H_SHARED1,H_SHARED2,0.7146450731788009,0.7316007835681588,0.016955710389357947,
OpenBMI_MI,0,DISCOVERY,H_SHARED2,EMBEDDING,0.6956562254781862,0.4807165768577144,-0.21493964862047177,
OpenBMI_MI,1,DISCOVERY,H_SHARED2,EMBEDDING,0.7405184484576499,0.6187793495917587,-0.12173909886589118,
OpenBMI_MI,2,DISCOVERY,H_SHARED2,EMBEDDING,0.6943744134601741,0.6713437963481873,-0.02303061711198684,
OpenBMI_MI,3,DISCOVERY,H_SHARED2,EMBEDDING,0.644112369838592,0.5630381853700841,-0.08107418446850789,
OpenBMI_MI,4,DISCOVERY,H_SHARED2,EMBEDDING,0.5796479548106839,0.5035295779213194,-0.07611837688936451,
OpenBMI_MI,POOLED_FOLDS,DISCOVERY,H_SHARED2,EMBEDDING,0.6708618824090572,0.5674814972178128,-0.10338038519124444,0
OpenBMI_MI,0,INNER_TRAIN,H_SHARED2,EMBEDDING,0.6861369025954726,0.6622277006817415,-0.023909201913731026,
OpenBMI_MI,1,INNER_TRAIN,H_SHARED2,EMBEDDING,0.7955832877623796,0.7404115263953759,-0.05517176136700375,
OpenBMI_MI,2,INNER_TRAIN,H_SHARED2,EMBEDDING,0.7703603003186861,0.7177213176578028,-0.05263898266088329,
OpenBMI_MI,3,INNER_TRAIN,H_SHARED2,EMBEDDING,0.769758312266817,0.7218652670886754,-0.047893045178141636,
OpenBMI_MI,4,INNER_TRAIN,H_SHARED2,EMBEDDING,0.7316007835681588,0.6796049030293617,-0.05199588053879711,
