Model,Task,fold,seed,draw,session,subject_id,BA
EEGNet,OpenBMI_MI,0,0,0,S1,4,0.546875
EEGNet,OpenBMI_MI,0,0,0,S1,12,0.5
EEGNet,OpenBMI_MI,0,0,0,S1,13,0.453125
EEGNet,OpenBMI_MI,0,0,0,S1,17,0.671875
EEGNet,OpenBMI_MI,0,0,0,S1,18,0.53125
EEGNet,OpenBMI_MI,0,0,0,S1,24,0.71875
EEGNet,OpenBMI_MI,0,0,0,S1,25,0.625
EEGNet,OpenBMI_MI,0,0,0,S1,29,0.5
EEGNet,OpenBMI_MI,0,0,0,S1,36,0.640625
EEGNet,OpenBMI_MI,0,0,0,S1,37,0.578125
EEGNet,OpenBMI_MI,0,0,0,S1,39,0.53125
EEGNet,OpenBMI_MI,0,0,0,S1,42,0.578125
EEGNet,OpenBMI_MI,0,0,0,S1,51,0.5625
EEGNet,OpenBMI_MI,0,0,0,S1,54,0.546875
EEGNet,OpenBMI_MI,0,0,1,S1,4,0.578125
EEGNet,OpenBMI_MI,0,0,1,S1,12,0.703125
EEGNet,OpenBMI_MI,0,0,1,S1,13,0.59375
EEGNet,OpenBMI_MI,0,0,1,S1,17,0.71875
EEGNet,OpenBMI_MI,0,0,1,S1,18,0.5625
EEGNet,OpenBMI_MI,0,0,1,S1,24,0.578125
EEGNet,OpenBMI_MI,0,0,1,S1,25,0.703125
EEGNet,OpenBMI_MI,0,0,1,S1,29,0.515625
EEGNet,OpenBMI_MI,0,0,1,S1,36,0.6875
EEGNet,OpenBMI_MI,0,0,1,S1,37,0.578125
EEGNet,OpenBMI_MI,0,0,1,S1,39,0.6875
EEGNet,OpenBMI_MI,0,0,1,S1,42,0.59375
EEGNet,OpenBMI_MI,0,0,1,S1,51,0.578125
EEGNet,OpenBMI_MI,0,0,1,S1,54,0.546875
EEGNet,OpenBMI_MI,0,0,2,S1,4,0.546875
EEGNet,OpenBMI_MI,0,0,2,S1,12,0.546875
EEGNet,OpenBMI_MI,0,0,2,S1,13,0.546875
EEGNet,OpenBMI_MI,0,0,2,S1,17,0.453125
EEGNet,OpenBMI_MI,0,0,2,S1,18,0.53125
EEGNet,OpenBMI_MI,0,0,2,S1,24,0.5
EEGNet,OpenBMI_MI,0,0,2,S1,25,0.578125
EEGNet,OpenBMI_MI,0,0,2,S1,29,0.4375
EEGNet,OpenBMI_MI,0,0,2,S1,36,0.59375
EEGNet,OpenBMI_MI,0,0,2,S1,37,0.515625
EEGNet,OpenBMI_MI,0,0,2,S1,39,0.53125
EEGNet,OpenBMI_MI,0,0,2,S1,42,0.46875
EEGNet,OpenBMI_MI,0,0,2,S1,51,0.609375
EEGNet,OpenBMI_MI,0,0,2,S1,54,0.484375
EEGNet,OpenBMI_MI,0,0,3,S1,4,0.71875
EEGNet,OpenBMI_MI,0,0,3,S1,12,0.59375
EEGNet,OpenBMI_MI,0,0,3,S1,13,0.5625
EEGNet,OpenBMI_MI,0,0,3,S1,17,0.578125
EEGNet,OpenBMI_MI,0,0,3,S1,18,0.578125
EEGNet,OpenBMI_MI,0,0,3,S1,24,0.546875
EEGNet,OpenBMI_MI,0,0,3,S1,25,0.640625
EEGNet,OpenBMI_MI,0,0,3,S1,29,0.5
EEGNet,OpenBMI_MI,0,0,3,S1,36,0.59375
EEGNet,OpenBMI_MI,0,0,3,S1,37,0.5625
EEGNet,OpenBMI_MI,0,0,3,S1,39,0.703125
EEGNet,OpenBMI_MI,0,0,3,S1,42,0.625
EEGNet,OpenBMI_MI,0,0,3,S1,51,0.53125
EEGNet,OpenBMI_MI,0,0,3,S1,54,0.59375
EEGNet,OpenBMI_MI,0,0,4,S1,4,0.65625
EEGNet,OpenBMI_MI,0,0,4,S1,12,0.53125
EEGNet,OpenBMI_MI,0,0,4,S1,13,0.5
EEGNet,OpenBMI_MI,0,0,4,S1,17,0.671875
EEGNet,OpenBMI_MI,0,0,4,S1,18,0.59375
EEGNet,OpenBMI_MI,0,0,4,S1,24,0.640625
EEGNet,OpenBMI_MI,0,0,4,S1,25,0.5625
EEGNet,OpenBMI_MI,0,0,4,S1,29,0.46875
EEGNet,OpenBMI_MI,0,0,4,S1,36,0.609375
EEGNet,OpenBMI_MI,0,0,4,S1,37,0.515625
EEGNet,OpenBMI_MI,0,0,4,S1,39,0.46875
EEGNet,OpenBMI_MI,0,0,4,S1,42,0.421875
EEGNet,OpenBMI_MI,0,0,4,S1,51,0.609375
EEGNet,OpenBMI_MI,0,0,4,S1,54,0.546875
EEGNet,OpenBMI_MI,0,0,5,S1,4,0.5
EEGNet,OpenBMI_MI,0,0,5,S1,12,0.625
EEGNet,OpenBMI_MI,0,0,5,S1,13,0.609375
EEGNet,OpenBMI_MI,0,0,5,S1,17,0.734375
EEGNet,OpenBMI_MI,0,0,5,S1,18,0.546875
EEGNet,OpenBMI_MI,0,0,5,S1,24,0.546875
EEGNet,OpenBMI_MI,0,0,5,S1,25,0.796875
EEGNet,OpenBMI_MI,0,0,5,S1,29,0.578125
EEGNet,OpenBMI_MI,0,0,5,S1,36,0.703125
EEGNet,OpenBMI_MI,0,0,5,S1,37,0.5625
EEGNet,OpenBMI_MI,0,0,5,S1,39,0.671875
EEGNet,OpenBMI_MI,0,0,5,S1,42,0.515625
EEGNet,OpenBMI_MI,0,0,5,S1,51,0.578125
EEGNet,OpenBMI_MI,0,0,5,S1,54,0.515625
EEGNet,OpenBMI_MI,0,0,6,S1,4,0.53125
EEGNet,OpenBMI_MI,0,0,6,S1,12,0.515625
EEGNet,OpenBMI_MI,0,0,6,S1,13,0.5625
EEGNet,OpenBMI_MI,0,0,6,S1,17,0.6875
EEGNet,OpenBMI_MI,0,0,6,S1,18,0.53125
EEGNet,OpenBMI_MI,0,0,6,S1,24,0.65625
EEGNet,OpenBMI_MI,0,0,6,S1,25,0.59375
EEGNet,OpenBMI_MI,0,0,6,S1,29,0.578125
EEGNet,OpenBMI_MI,0,0,6,S1,36,0.59375
EEGNet,OpenBMI_MI,0,0,6,S1,37,0.53125
EEGNet,OpenBMI_MI,0,0,6,S1,39,0.578125
EEGNet,OpenBMI_MI,0,0,6,S1,42,0.640625
EEGNet,OpenBMI_MI,0,0,6,S1,51,0.46875
EEGNet,OpenBMI_MI,0,0,6,S1,54,0.515625
EEGNet,OpenBMI_MI,0,0,7,S1,4,0.515625
EEGNet,OpenBMI_MI,0,0,7,S1,12,0.46875
EEGNet,OpenBMI_MI,0,0,7,S1,13,0.5
EEGNet,OpenBMI_MI,0,0,7,S1,17,0.53125
EEGNet,OpenBMI_MI,0,0,7,S1,18,0.578125
EEGNet,OpenBMI_MI,0,0,7,S1,24,0.640625
EEGNet,OpenBMI_MI,0,0,7,S1,25,0.515625
EEGNet,OpenBMI_MI,0,0,7,S1,29,0.515625
EEGNet,OpenBMI_MI,0,0,7,S1,36,0.515625
EEGNet,OpenBMI_MI,0,0,7,S1,37,0.5625
EEGNet,OpenBMI_MI,0,0,7,S1,39,0.59375
EEGNet,OpenBMI_MI,0,0,7,S1,42,0.578125
EEGNet,OpenBMI_MI,0,0,7,S1,51,0.625
EEGNet,OpenBMI_MI,0,0,7,S1,54,0.578125
EEGNet,OpenBMI_MI,0,0,8,S1,4,0.6875
EEGNet,OpenBMI_MI,0,0,8,S1,12,0.5625
EEGNet,OpenBMI_MI,0,0,8,S1,13,0.5625
EEGNet,OpenBMI_MI,0,0,8,S1,17,0.59375
EEGNet,OpenBMI_MI,0,0,8,S1,18,0.453125
EEGNet,OpenBMI_MI,0,0,8,S1,24,0.46875
EEGNet,OpenBMI_MI,0,0,8,S1,25,0.59375
EEGNet,OpenBMI_MI,0,0,8,S1,29,0.484375
EEGNet,OpenBMI_MI,0,0,8,S1,36,0.609375
EEGNet,OpenBMI_MI,0,0,8,S1,37,0.59375
EEGNet,OpenBMI_MI,0,0,8,S1,39,0.546875
EEGNet,OpenBMI_MI,0,0,8,S1,42,0.5625
EEGNet,OpenBMI_MI,0,0,8,S1,51,0.546875
EEGNet,OpenBMI_MI,0,0,8,S1,54,0.59375
EEGNet,OpenBMI_MI,0,0,9,S1,4,0.609375
EEGNet,OpenBMI_MI,0,0,9,S1,12,0.53125
EEGNet,OpenBMI_MI,0,0,9,S1,13,0.46875
EEGNet,OpenBMI_MI,0,0,9,S1,17,0.5
EEGNet,OpenBMI_MI,0,0,9,S1,18,0.671875
EEGNet,OpenBMI_MI,0,0,9,S1,24,0.6875
EEGNet,OpenBMI_MI,0,0,9,S1,25,0.578125
EEGNet,OpenBMI_MI,0,0,9,S1,29,0.453125
EEGNet,OpenBMI_MI,0,0,9,S1,36,0.65625
EEGNet,OpenBMI_MI,0,0,9,S1,37,0.4375
EEGNet,OpenBMI_MI,0,0,9,S1,39,0.5
EEGNet,OpenBMI_MI,0,0,9,S1,42,0.59375
EEGNet,OpenBMI_MI,0,0,9,S1,51,0.578125
EEGNet,OpenBMI_MI,0,0,9,S1,54,0.578125
EEGNet,OpenBMI_MI,0,0,10,S1,4,0.6875
EEGNet,OpenBMI_MI,0,0,10,S1,12,0.640625
EEGNet,OpenBMI_MI,0,0,10,S1,13,0.59375
EEGNet,OpenBMI_MI,0,0,10,S1,17,0.609375
EEGNet,OpenBMI_MI,0,0,10,S1,18,0.546875
EEGNet,OpenBMI_MI,0,0,10,S1,24,0.515625
EEGNet,OpenBMI_MI,0,0,10,S1,25,0.578125
EEGNet,OpenBMI_MI,0,0,10,S1,29,0.484375
EEGNet,OpenBMI_MI,0,0,10,S1,36,0.65625
EEGNet,OpenBMI_MI,0,0,10,S1,37,0.515625
EEGNet,OpenBMI_MI,0,0,10,S1,39,0.546875
EEGNet,OpenBMI_MI,0,0,10,S1,42,0.625
EEGNet,OpenBMI_MI,0,0,10,S1,51,0.65625
EEGNet,OpenBMI_MI,0,0,10,S1,54,0.53125
EEGNet,OpenBMI_MI,0,0,11,S1,4,0.71875
EEGNet,OpenBMI_MI,0,0,11,S1,12,0.59375
EEGNet,OpenBMI_MI,0,0,11,S1,13,0.5625
EEGNet,OpenBMI_MI,0,0,11,S1,17,0.65625
EEGNet,OpenBMI_MI,0,0,11,S1,18,0.625
EEGNet,OpenBMI_MI,0,0,11,S1,24,0.5
EEGNet,OpenBMI_MI,0,0,11,S1,25,0.578125
EEGNet,OpenBMI_MI,0,0,11,S1,29,0.484375
EEGNet,OpenBMI_MI,0,0,11,S1,36,0.671875
EEGNet,OpenBMI_MI,0,0,11,S1,37,0.5
EEGNet,OpenBMI_MI,0,0,11,S1,39,0.625
EEGNet,OpenBMI_MI,0,0,11,S1,42,0.59375
EEGNet,OpenBMI_MI,0,0,11,S1,51,0.65625
EEGNet,OpenBMI_MI,0,0,11,S1,54,0.546875
EEGNet,OpenBMI_MI,0,0,12,S1,4,0.453125
EEGNet,OpenBMI_MI,0,0,12,S1,12,0.484375
EEGNet,OpenBMI_MI,0,0,12,S1,13,0.5
EEGNet,OpenBMI_MI,0,0,12,S1,17,0.578125
EEGNet,OpenBMI_MI,0,0,12,S1,18,0.546875
EEGNet,OpenBMI_MI,0,0,12,S1,24,0.59375
EEGNet,OpenBMI_MI,0,0,12,S1,25,0.5625
EEGNet,OpenBMI_MI,0,0,12,S1,29,0.4375
EEGNet,OpenBMI_MI,0,0,12,S1,36,0.609375
EEGNet,OpenBMI_MI,0,0,12,S1,37,0.578125
EEGNet,OpenBMI_MI,0,0,12,S1,39,0.4375
EEGNet,OpenBMI_MI,0,0,12,S1,42,0.46875
EEGNet,OpenBMI_MI,0,0,12,S1,51,0.40625
EEGNet,OpenBMI_MI,0,0,12,S1,54,0.515625
EEGNet,OpenBMI_MI,0,0,13,S1,4,0.5625
EEGNet,OpenBMI_MI,0,0,13,S1,12,0.65625
EEGNet,OpenBMI_MI,0,0,13,S1,13,0.59375
EEGNet,OpenBMI_MI,0,0,13,S1,17,0.71875
EEGNet,OpenBMI_MI,0,0,13,S1,18,0.484375
EEGNet,OpenBMI_MI,0,0,13,S1,24,0.578125
