Model,Task,fold,seed,session,subject_id,BA
EEGNet,OpenBMI_MI,0,0,S1,4,0.546875
EEGNet,OpenBMI_MI,0,0,S1,12,0.6875
EEGNet,OpenBMI_MI,0,0,S1,13,0.59375
EEGNet,OpenBMI_MI,0,0,S1,17,0.71875
EEGNet,OpenBMI_MI,0,0,S1,18,0.5625
EEGNet,OpenBMI_MI,0,0,S1,24,0.609375
EEGNet,OpenBMI_MI,0,0,S1,25,0.71875
EEGNet,OpenBMI_MI,0,0,S1,29,0.578125
EEGNet,OpenBMI_MI,0,0,S1,36,0.71875
EEGNet,OpenBMI_MI,0,0,S1,37,0.609375
EEGNet,OpenBMI_MI,0,0,S1,39,0.671875
EEGNet,OpenBMI_MI,0,0,S1,42,0.546875
EEGNet,OpenBMI_MI,0,0,S1,51,0.59375
EEGNet,OpenBMI_MI,0,0,S1,54,0.53125
EEGNet,OpenBMI_MI,0,0,S2,4,0.609375
EEGNet,OpenBMI_MI,0,0,S2,12,0.609375
EEGNet,OpenBMI_MI,0,0,S2,13,0.640625
EEGNet,OpenBMI_MI,0,0,S2,17,0.609375
EEGNet,OpenBMI_MI,0,0,S2,18,0.578125
EEGNet,OpenBMI_MI,0,0,S2,24,0.5
EEGNet,OpenBMI_MI,0,0,S2,25,0.953125
EEGNet,OpenBMI_MI,0,0,S2,29,0.515625
EEGNet,OpenBMI_MI,0,0,S2,36,0.765625
EEGNet,OpenBMI_MI,0,0,S2,37,0.625
EEGNet,OpenBMI_MI,0,0,S2,39,0.546875
EEGNet,OpenBMI_MI,0,0,S2,42,0.625
EEGNet,OpenBMI_MI,0,0,S2,51,0.609375
EEGNet,OpenBMI_MI,0,0,S2,54,0.625
EEGNet,OpenBMI_MI,1,0,S1,4,0.671875
EEGNet,OpenBMI_MI,1,0,S1,12,0.6875
EEGNet,OpenBMI_MI,1,0,S1,13,0.640625
EEGNet,OpenBMI_MI,1,0,S1,17,0.734375
EEGNet,OpenBMI_MI,1,0,S1,18,0.703125
EEGNet,OpenBMI_MI,1,0,S1,24,0.703125
EEGNet,OpenBMI_MI,1,0,S1,25,0.6875
EEGNet,OpenBMI_MI,1,0,S1,29,0.5
EEGNet,OpenBMI_MI,1,0,S1,36,0.734375
EEGNet,OpenBMI_MI,1,0,S1,37,0.578125
EEGNet,OpenBMI_MI,1,0,S1,39,0.640625
EEGNet,OpenBMI_MI,1,0,S1,42,0.5625
EEGNet,OpenBMI_MI,1,0,S1,51,0.71875
EEGNet,OpenBMI_MI,1,0,S1,54,0.609375
EEGNet,OpenBMI_MI,1,0,S2,4,0.78125
EEGNet,OpenBMI_MI,1,0,S2,12,0.6875
EEGNet,OpenBMI_MI,1,0,S2,13,0.65625
EEGNet,OpenBMI_MI,1,0,S2,17,0.6875
EEGNet,OpenBMI_MI,1,0,S2,18,0.625
EEGNet,OpenBMI_MI,1,0,S2,24,0.59375
EEGNet,OpenBMI_MI,1,0,S2,25,0.96875
EEGNet,OpenBMI_MI,1,0,S2,29,0.640625
EEGNet,OpenBMI_MI,1,0,S2,36,0.828125
EEGNet,OpenBMI_MI,1,0,S2,37,0.734375
EEGNet,OpenBMI_MI,1,0,S2,39,0.515625
EEGNet,OpenBMI_MI,1,0,S2,42,0.65625
EEGNet,OpenBMI_MI,1,0,S2,51,0.640625
EEGNet,OpenBMI_MI,1,0,S2,54,0.671875
EEGNet,OpenBMI_MI,2,0,S1,4,0.703125
EEGNet,OpenBMI_MI,2,0,S1,12,0.734375
EEGNet,OpenBMI_MI,2,0,S1,13,0.5
EEGNet,OpenBMI_MI,2,0,S1,17,0.703125
EEGNet,OpenBMI_MI,2,0,S1,18,0.65625
EEGNet,OpenBMI_MI,2,0,S1,24,0.578125
EEGNet,OpenBMI_MI,2,0,S1,25,0.625
EEGNet,OpenBMI_MI,2,0,S1,29,0.453125
EEGNet,OpenBMI_MI,2,0,S1,36,0.671875
EEGNet,OpenBMI_MI,2,0,S1,37,0.609375
EEGNet,OpenBMI_MI,2,0,S1,39,0.8125
EEGNet,OpenBMI_MI,2,0,S1,42,0.609375
EEGNet,OpenBMI_MI,2,0,S1,51,0.671875
EEGNet,OpenBMI_MI,2,0,S1,54,0.546875
EEGNet,OpenBMI_MI,2,0,S2,4,0.796875
EEGNet,OpenBMI_MI,2,0,S2,12,0.6875
EEGNet,OpenBMI_MI,2,0,S2,13,0.703125
EEGNet,OpenBMI_MI,2,0,S2,17,0.484375
EEGNet,OpenBMI_MI,2,0,S2,18,0.578125
EEGNet,OpenBMI_MI,2,0,S2,24,0.625
EEGNet,OpenBMI_MI,2,0,S2,25,0.984375
EEGNet,OpenBMI_MI,2,0,S2,29,0.5
EEGNet,OpenBMI_MI,2,0,S2,36,0.65625
EEGNet,OpenBMI_MI,2,0,S2,37,0.671875
EEGNet,OpenBMI_MI,2,0,S2,39,0.578125
EEGNet,OpenBMI_MI,2,0,S2,42,0.5625
EEGNet,OpenBMI_MI,2,0,S2,51,0.71875
EEGNet,OpenBMI_MI,2,0,S2,54,0.6875
EEGNet,OpenBMI_MI,3,0,S1,4,0.734375
EEGNet,OpenBMI_MI,3,0,S1,12,0.640625
EEGNet,OpenBMI_MI,3,0,S1,13,0.6875
EEGNet,OpenBMI_MI,3,0,S1,17,0.703125
EEGNet,OpenBMI_MI,3,0,S1,18,0.609375
EEGNet,OpenBMI_MI,3,0,S1,24,0.703125
EEGNet,OpenBMI_MI,3,0,S1,25,0.78125
EEGNet,OpenBMI_MI,3,0,S1,29,0.484375
EEGNet,OpenBMI_MI,3,0,S1,36,0.609375
EEGNet,OpenBMI_MI,3,0,S1,37,0.53125
EEGNet,OpenBMI_MI,3,0,S1,39,0.71875
EEGNet,OpenBMI_MI,3,0,S1,42,0.671875
EEGNet,OpenBMI_MI,3,0,S1,51,0.65625
EEGNet,OpenBMI_MI,3,0,S1,54,0.578125
EEGNet,OpenBMI_MI,3,0,S2,4,0.75
EEGNet,OpenBMI_MI,3,0,S2,12,0.59375
EEGNet,OpenBMI_MI,3,0,S2,13,0.6875
EEGNet,OpenBMI_MI,3,0,S2,17,0.515625
EEGNet,OpenBMI_MI,3,0,S2,18,0.5625
EEGNet,OpenBMI_MI,3,0,S2,24,0.5
EEGNet,OpenBMI_MI,3,0,S2,25,0.953125
EEGNet,OpenBMI_MI,3,0,S2,29,0.515625
EEGNet,OpenBMI_MI,3,0,S2,36,0.75
EEGNet,OpenBMI_MI,3,0,S2,37,0.53125
EEGNet,OpenBMI_MI,3,0,S2,39,0.59375
EEGNet,OpenBMI_MI,3,0,S2,42,0.609375
EEGNet,OpenBMI_MI,3,0,S2,51,0.671875
EEGNet,OpenBMI_MI,3,0,S2,54,0.65625
EEGNet,OpenBMI_MI,4,0,S1,4,0.59375
EEGNet,OpenBMI_MI,4,0,S1,12,0.71875
EEGNet,OpenBMI_MI,4,0,S1,13,0.671875
EEGNet,OpenBMI_MI,4,0,S1,17,0.71875
EEGNet,OpenBMI_MI,4,0,S1,18,0.59375
EEGNet,OpenBMI_MI,4,0,S1,24,0.609375
EEGNet,OpenBMI_MI,4,0,S1,25,0.703125
EEGNet,OpenBMI_MI,4,0,S1,29,0.609375
EEGNet,OpenBMI_MI,4,0,S1,36,0.734375
EEGNet,OpenBMI_MI,4,0,S1,37,0.546875
EEGNet,OpenBMI_MI,4,0,S1,39,0.75
EEGNet,OpenBMI_MI,4,0,S1,42,0.671875
EEGNet,OpenBMI_MI,4,0,S1,51,0.75
EEGNet,OpenBMI_MI,4,0,S1,54,0.484375
EEGNet,OpenBMI_MI,4,0,S2,4,0.71875
EEGNet,OpenBMI_MI,4,0,S2,12,0.609375
EEGNet,OpenBMI_MI,4,0,S2,13,0.59375
EEGNet,OpenBMI_MI,4,0,S2,17,0.578125
EEGNet,OpenBMI_MI,4,0,S2,18,0.53125
EEGNet,OpenBMI_MI,4,0,S2,24,0.5625
EEGNet,OpenBMI_MI,4,0,S2,25,0.9375
EEGNet,OpenBMI_MI,4,0,S2,29,0.5625
EEGNet,OpenBMI_MI,4,0,S2,36,0.703125
