Model,Task,cells_available,cells_required,Protected-only WS-BA,Random-only WS-BA,PSWA mean,PSWA median,PSWA CI low,PSWA CI high,Significant,Status,Reason
EEGNet,OpenBMI_MI,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
EEGNet,OpenBMI_ERP,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
EEGNet,OpenBMI_SSVEP,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
EEGNet,WBCIC_MI,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
CBraMod,OpenBMI_MI,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
CBraMod,OpenBMI_ERP,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
CBraMod,OpenBMI_SSVEP,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
CBraMod,WBCIC_MI,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
TeCh,OpenBMI_MI,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
TeCh,OpenBMI_ERP,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
TeCh,OpenBMI_SSVEP,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
TeCh,WBCIC_MI,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
ModernTCN,OpenBMI_MI,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
ModernTCN,OpenBMI_ERP,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
ModernTCN,OpenBMI_SSVEP,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
ModernTCN,WBCIC_MI,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
Medformer,OpenBMI_MI,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
Medformer,OpenBMI_ERP,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
Medformer,OpenBMI_SSVEP,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
Medformer,WBCIC_MI,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
SGN,OpenBMI_MI,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
SGN,OpenBMI_ERP,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
SGN,OpenBMI_SSVEP,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
SGN,WBCIC_MI,0,15,,,,,,,NOT_ESTIMATED,INCOMPLETE,no model-task has a complete 15-cell frozen PSWA artifact matrix
