task,fold,seed,normalizer_sha256,recomputed_exact,shared_by_B0_and_W0R0,source_path
OpenBMI_MI,0,0,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold0.npz
OpenBMI_MI,1,0,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold1.npz
OpenBMI_MI,2,0,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold2.npz
OpenBMI_MI,3,0,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold3.npz
OpenBMI_MI,4,0,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold4.npz
OpenBMI_ERP,0,0,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold0.npz
OpenBMI_ERP,1,0,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold1.npz
OpenBMI_ERP,2,0,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold2.npz
OpenBMI_ERP,3,0,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold3.npz
OpenBMI_ERP,4,0,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold4.npz
OpenBMI_SSVEP,0,0,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_ssvep_fold0.npz
OpenBMI_SSVEP,1,0,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_ssvep_fold1.npz
OpenBMI_SSVEP,2,0,65457744184c97f7501093f7f0ae77803c77c55c76221e4319732fe46e157686,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_ssvep_fold2.npz
OpenBMI_SSVEP,3,0,23fc006691b42bd16828108fc89922654fa7567a759b789614a5642702113b52,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_ssvep_fold3.npz
OpenBMI_SSVEP,4,0,f35658c5b6e9edf7065b881ffbf59d3e0e0afa7726e18c3849663747b9413dda,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_ssvep_fold4.npz
WBCIC_MI,0,0,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/wbcic_mi_fold0.npz
WBCIC_MI,1,0,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/wbcic_mi_fold1.npz
WBCIC_MI,2,0,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/wbcic_mi_fold2.npz
WBCIC_MI,3,0,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/wbcic_mi_fold3.npz
WBCIC_MI,4,0,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e,True,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/wbcic_mi_fold4.npz
