task,model,parameter_count,representation_dimension
OpenBMI_MI,B0,47978,64
OpenBMI_MI,W0R0,101299,64
OpenBMI_ERP,B0,47978,64
OpenBMI_ERP,W0R0,101299,64
OpenBMI_SSVEP,B0,48108,64
OpenBMI_SSVEP,W0R0,101429,64
WBCIC_MI,B0,47786,64
WBCIC_MI,W0R0,101107,64
