task,fold,seed,checkpoint_path,checkpoint_sha256,strict_load,depth1_weight_shape,head_weight_shape,architecture
OpenBMI_MI,0,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold0_seed0_litebn/selected_best.pt,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,True,"(48, 1, 1, 15)","(2, 64)",historical_64_feature_CompactLite_BN
OpenBMI_MI,1,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold1_seed0_litebn/selected_best.pt,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,True,"(48, 1, 1, 15)","(2, 64)",historical_64_feature_CompactLite_BN
OpenBMI_MI,2,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold2_seed0_litebn/selected_best.pt,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814,True,"(48, 1, 1, 15)","(2, 64)",historical_64_feature_CompactLite_BN
OpenBMI_MI,3,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold3_seed0_litebn/selected_best.pt,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,True,"(48, 1, 1, 15)","(2, 64)",historical_64_feature_CompactLite_BN
OpenBMI_MI,4,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold4_seed0_litebn/selected_best.pt,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,True,"(48, 1, 1, 15)","(2, 64)",historical_64_feature_CompactLite_BN
OpenBMI_ERP,0,0,/root/rivermind-data/openbmi_task_generality_runtime/erp_fold0_seed0_litebn/selected_best.pt,2abd5a36099dd7886c813f1ca9deaa043158ce533a29b6ab31aacf611848f23b,True,"(48, 1, 1, 15)","(2, 64)",historical_64_feature_CompactLite_BN
OpenBMI_ERP,1,0,/root/rivermind-data/openbmi_task_generality_runtime/erp_fold1_seed0_litebn/selected_best.pt,c08f0f3483a798cec6cfcf478741f17cdc1686870da39749ba6ae265536d3c9a,True,"(48, 1, 1, 15)","(2, 64)",historical_64_feature_CompactLite_BN
OpenBMI_ERP,2,0,/root/rivermind-data/openbmi_task_generality_runtime/erp_fold2_seed0_litebn/selected_best.pt,58fc6dc4928d3ab4b8a85ba59773d740388233db674ed3200485ece132a8a3c6,True,"(48, 1, 1, 15)","(2, 64)",historical_64_feature_CompactLite_BN
OpenBMI_ERP,3,0,/root/rivermind-data/openbmi_task_generality_runtime/erp_fold3_seed0_litebn/selected_best.pt,116e47d97d6b3c9e5e55bc077a0ba3ce8d06c99f4b575aebcbd42cef2363dca6,True,"(48, 1, 1, 15)","(2, 64)",historical_64_feature_CompactLite_BN
OpenBMI_ERP,4,0,/root/rivermind-data/openbmi_task_generality_runtime/erp_fold4_seed0_litebn/selected_best.pt,4caeea4ba87063b74c542024a30a05d044454583c0d10a10dccb5228513f421b,True,"(48, 1, 1, 15)","(2, 64)",historical_64_feature_CompactLite_BN
OpenBMI_SSVEP,0,0,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold0_seed0_litebn/selected_best.pt,6b46c3e8d910d5f469accbd9561b3f5b2eaf1d9b21f237d46229d5f85f3347a2,True,"(48, 1, 1, 15)","(4, 64)",historical_64_feature_CompactLite_BN
OpenBMI_SSVEP,1,0,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold1_seed0_litebn/selected_best.pt,4a461aa942074529c03f69729feea592406dbb9a3d16657d7a05e51274a0ab91,True,"(48, 1, 1, 15)","(4, 64)",historical_64_feature_CompactLite_BN
OpenBMI_SSVEP,2,0,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold2_seed0_litebn/selected_best.pt,393369f8bbeb7ed6cf7d11ff2e8634ec97c659caac0a69d0e16b4ee09210e5b8,True,"(48, 1, 1, 15)","(4, 64)",historical_64_feature_CompactLite_BN
OpenBMI_SSVEP,3,0,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold3_seed0_litebn/selected_best.pt,69f2772a3ba8dc5ffb15cf63533bb9e590293fb58e7d095b4121b3fd78786fd0,True,"(48, 1, 1, 15)","(4, 64)",historical_64_feature_CompactLite_BN
