dataset,model,subject_coverage,sample_coverage,folds_covered,classes_covered,technical_precheck
hmc,cbramod,1.0,1.0,5,5,True
hmc,labram,1.0,1.0,5,5,True
hmc,biot,1.0,1.0,5,5,True
eegmmidb,cbramod,1.0,1.0,5,4,True
eegmmidb,labram,1.0,1.0,5,4,True
eegmmidb,biot,1.0,1.0,5,4,True
