model,subject,PSWA_pp,protected_only_WSBA,random_only_WSBA,nonempty_fold_seed_runs,total_fold_seed_runs
EEGNet,sub-003,7.6899195143173555,0.7282941781363709,0.6513949829931974,15,15
EEGNet,sub-015,7.6373167659997145,0.6944648431956861,0.6180916755356889,15,15
EEGNet,sub-017,10.707367149758456,0.8366183574879228,0.7295446859903382,15,15
EEGNet,sub-018,11.68669968919969,0.8221212121212121,0.7052542152292153,15,15
EEGNet,sub-022,7.966906565656562,0.7202525252525251,0.6405834595959595,15,15
EEGNet,sub-024,8.653885467980292,0.7653797208538587,0.6788408661740557,15,15
EEGNet,sub-025,10.20748663101604,0.8021746880570411,0.7000998217468807,15,15
EEGNet,sub-027,10.275515873015873,0.7804365079365078,0.6776813492063493,15,15
EEGNet,sub-032,10.47458333333333,0.7919734432234432,0.6872276098901101,15,15
EEGNet,sub-037,7.537525178687457,0.6863190383365823,0.6109437865497076,15,15
EEGNet,sub-046,8.670019841269843,0.7310912698412699,0.6443910714285714,15,15
EEGNet,sub-056,6.767638888888892,0.7272441520467836,0.6595677631578949,15,15
EEGNet,sub-063,12.42942754113139,0.8331966982195176,0.7089024228082038,15,15
EEGNet,sub-077,6.243737373737373,0.6166666666666667,0.5542292929292929,15,15
EEGNet,sub-078,7.0542438271604935,0.6272751322751323,0.5567326940035273,15,15
EEGNet,sub-079,8.964166666666667,0.7272480620155037,0.6376063953488372,15,15
EEGNet,sub-084,9.575940347837252,0.7887434218970607,0.6929840184186883,15,15
EEGNet,sub-091,5.919924022454513,0.6370833333333332,0.5778840931087884,15,15
SIRE-EEG,sub-003,8.96973461477614,0.7308372884037336,0.6411399422559722,15,15
SIRE-EEG,sub-015,7.826976550305095,0.6866794380587483,0.6084096725556976,15,15
SIRE-EEG,sub-017,9.938749999999999,0.8264371980676329,0.7270496980676329,15,15
SIRE-EEG,sub-018,10.471837606837608,0.8164024864024866,0.7116841103341104,15,15
SIRE-EEG,sub-022,6.120542929292929,0.6913762626262625,0.6301708333333333,15,15
SIRE-EEG,sub-024,7.016545566502466,0.7575061576354681,0.6873407019704434,15,15
SIRE-EEG,sub-025,11.259088680926915,0.7990106951871657,0.6864198083778968,15,15
SIRE-EEG,sub-027,9.757202380952375,0.7670039682539681,0.6694319444444443,15,15
SIRE-EEG,sub-032,9.130700549450552,0.7876510989010989,0.6963440934065935,15,15
SIRE-EEG,sub-037,5.617407407407408,0.6662410656270306,0.6100669915529565,15,15
SIRE-EEG,sub-046,8.798908730158727,0.7134920634920635,0.6255029761904761,15,15
SIRE-EEG,sub-056,10.269269005847956,0.7632821637426901,0.6605894736842105,15,15
SIRE-EEG,sub-063,9.745436387198561,0.7932403651115618,0.6957860012395761,15,15
SIRE-EEG,sub-077,3.4233207070707037,0.5829166666666665,0.5486834595959598,15,15
SIRE-EEG,sub-078,8.528031305114636,0.6329056437389772,0.5476253306878307,15,15
SIRE-EEG,sub-079,7.847296511627906,0.7095058139534884,0.6310328488372093,15,15
SIRE-EEG,sub-084,9.983883326915672,0.7817353356436916,0.6818965023745346,15,15
SIRE-EEG,sub-091,6.9867315137437105,0.6216666666666667,0.5517993515292297,15,15
