model,subject,fold_seed_runs,PEEH_pp,protected_nonempty_runs
EEGNet,sub-003,15,6.862925170068026,15
EEGNet,sub-015,15,7.068568185043278,15
EEGNet,sub-017,15,4.607246376811606,15
EEGNet,sub-018,15,7.218640248640251,15
EEGNet,sub-022,15,11.529292929292914,15
EEGNet,sub-024,15,5.189573070607556,15
EEGNet,sub-025,15,6.714661319073089,15
EEGNet,sub-027,15,5.886507936507928,15
EEGNet,sub-032,15,9.116117216117214,15
EEGNet,sub-037,15,6.774528914879786,15
EEGNet,sub-046,15,1.4095238095238214,15
EEGNet,sub-056,15,3.3098684210526246,15
EEGNet,sub-063,15,7.383975659229211,15
EEGNet,sub-077,15,8.079191919191924,15
EEGNet,sub-078,15,10.932495590828925,15
EEGNet,sub-079,15,5.907751937984497,15
EEGNet,sub-084,15,5.512655628289056,15
EEGNet,sub-091,15,6.356794425087108,15
SIRE-EEG,sub-003,15,5.78194114855244,15
SIRE-EEG,sub-015,15,6.595742869306089,15
SIRE-EEG,sub-017,15,3.995169082125615,15
SIRE-EEG,sub-018,15,6.2767365967366,15
SIRE-EEG,sub-022,15,5.35151515151514,15
SIRE-EEG,sub-024,15,2.569622331691302,15
SIRE-EEG,sub-025,15,7.318270944741533,15
SIRE-EEG,sub-027,15,5.6587301587301555,15
SIRE-EEG,sub-032,15,5.775091575091574,15
SIRE-EEG,sub-037,15,2.3793372319688015,15
SIRE-EEG,sub-046,15,5.6380952380952465,15
SIRE-EEG,sub-056,15,3.537353801169587,15
SIRE-EEG,sub-063,15,5.343944106378182,15
SIRE-EEG,sub-077,15,7.8950505050505155,15
SIRE-EEG,sub-078,15,10.044797178130512,15
SIRE-EEG,sub-079,15,4.724806201550381,15
SIRE-EEG,sub-084,15,4.579078423822355,15
SIRE-EEG,sub-091,15,5.791734417344173,15
