model,subject,seeds_averaged,S2_BA,S2_Macro_F1,WS_BA
EEGNet,sub-003,3,0.9267520961873122,0.9271418024574171,0.9267520961873122
EEGNet,sub-015,3,0.8869022278983966,0.884826577741142,0.8479166666666668
EEGNet,sub-017,3,0.9468599033816426,0.9467360717821366,0.9468599033816426
EEGNet,sub-018,3,0.9721056721056721,0.9720072119466664,0.9721056721056721
EEGNet,sub-022,3,0.9090909090909092,0.9089840628023674,0.875
EEGNet,sub-024,3,0.865968801313629,0.8654178083751433,0.865968801313629
EEGNet,sub-025,3,0.964795008912656,0.9611617722752382,0.9619540998217468
EEGNet,sub-027,3,0.9603174603174603,0.9602678801629453,0.9603174603174603
EEGNet,sub-032,3,0.9427655677655679,0.9440799627858157,0.9410027472527472
EEGNet,sub-037,3,0.8872644574398961,0.8757158798478741,0.8872644574398961
EEGNet,sub-046,3,0.9285714285714285,0.9285309132161089,0.9041666666666668
EEGNet,sub-056,3,0.899122807017544,0.8912880254343669,0.8956505847953217
EEGNet,sub-063,3,0.9630606265494702,0.9631618426637515,0.9630606265494702
EEGNet,sub-077,3,0.9515151515151515,0.9521827474422597,0.7604166666666666
EEGNet,sub-078,3,0.9638447971781305,0.9636243386243386,0.7937500000000001
EEGNet,sub-079,3,0.9069767441860467,0.9069547254638533,0.9069767441860467
EEGNet,sub-084,3,0.9109870363239635,0.9114838401967646,0.9109870363239635
EEGNet,sub-091,3,0.9354432830042586,0.9356284493193501,0.8354166666666666
SIRE-EEG,sub-003,3,0.9291646891314667,0.9290607349661708,0.9291646891314667
SIRE-EEG,sub-015,3,0.9078331204767985,0.9067261320982086,0.8729166666666668
SIRE-EEG,sub-017,3,0.9444444444444443,0.9443446685964805,0.9401871980676328
SIRE-EEG,sub-018,3,0.9695415695415696,0.9694638694638695,0.9695415695415696
SIRE-EEG,sub-022,3,0.9090909090909092,0.9089840628023674,0.8916666666666666
SIRE-EEG,sub-024,3,0.889367816091954,0.8888672831504048,0.889367816091954
SIRE-EEG,sub-025,3,0.946301247771836,0.9438171279808601,0.946301247771836
SIRE-EEG,sub-027,3,0.9484126984126983,0.9483693515244576,0.9396825396825396
SIRE-EEG,sub-032,3,0.9679487179487181,0.9689374411673679,0.9679487179487181
SIRE-EEG,sub-037,3,0.8486029889538661,0.8387532327240712,0.8486029889538661
SIRE-EEG,sub-046,3,0.9444444444444443,0.9443587892538545,0.8854166666666666
SIRE-EEG,sub-056,3,0.9166666666666666,0.906926406926407,0.9055555555555556
SIRE-EEG,sub-063,3,0.9669821951769214,0.9670401693261464,0.9669821951769214
SIRE-EEG,sub-077,3,0.945959595959596,0.9468515452099697,0.7729166666666667
SIRE-EEG,sub-078,3,0.9819223985890653,0.9818141734808402,0.7916666666666666
SIRE-EEG,sub-079,3,0.8759689922480621,0.8759480183898788,0.8759689922480621
SIRE-EEG,sub-084,3,0.9107303298677962,0.9114212806481033,0.9107303298677962
SIRE-EEG,sub-091,3,0.9434765776229191,0.9436792762265714,0.7624999999999998
