model,seed,subject,session,checkpoints_logit_averaged,trials,BA,Macro_F1
EEGNet,0,sub-003,ses-01,5,160,0.9312499999999999,0.9312258215778985
EEGNet,0,sub-003,ses-02,5,184,0.9235880398671097,0.9235880398671097
EEGNet,0,sub-015,ses-01,5,160,0.875,0.8745098039215686
EEGNet,0,sub-015,ses-02,5,168,0.888250319284802,0.8869007547036105
EEGNet,0,sub-017,ses-01,5,160,0.95,0.949874686716792
EEGNet,0,sub-017,ses-02,5,138,0.9492753623188406,0.9491445117136088
EEGNet,0,sub-018,ses-01,5,160,1.0,1.0
EEGNet,0,sub-018,ses-02,5,131,0.9771561771561772,0.9770992366412213
EEGNet,0,sub-022,ses-01,5,160,0.8625,0.8623063683304647
EEGNet,0,sub-022,ses-02,5,66,0.893939393939394,0.893719806763285
EEGNet,0,sub-024,ses-01,5,160,0.98125,0.9812492675495137
EEGNet,0,sub-024,ses-02,5,57,0.8602216748768473,0.8596059113300492
EEGNet,0,sub-025,ses-01,5,160,0.9875,0.9875
EEGNet,0,sub-025,ses-02,5,78,0.9512032085561497,0.9481727574750831
EEGNet,0,sub-027,ses-01,5,160,0.975,0.975
EEGNet,0,sub-027,ses-02,5,84,0.9523809523809523,0.9523539421440725
EEGNet,0,sub-032,ses-01,5,160,0.95,0.9499921862791061
EEGNet,0,sub-032,ses-02,5,54,0.9423076923076923,0.9439640262884815
EEGNet,0,sub-037,ses-01,5,160,0.9437500000000001,0.9437302176546443
EEGNet,0,sub-037,ses-02,5,46,0.8996101364522417,0.8900047824007652
EEGNet,0,sub-046,ses-01,5,160,0.89375,0.8934127512833575
EEGNet,0,sub-046,ses-02,5,42,0.9285714285714286,0.9285309132161089
EEGNet,0,sub-056,ses-01,5,160,0.9125,0.912156862745098
EEGNet,0,sub-056,ses-02,5,43,0.8903508771929824,0.8834688346883468
EEGNet,0,sub-063,ses-01,5,160,0.98125,0.9812492675495137
EEGNet,0,sub-063,ses-02,5,172,0.9592292089249492,0.9592899408284024
EEGNet,0,sub-077,ses-01,5,160,0.7625,0.7611565053425519
EEGNet,0,sub-077,ses-02,5,63,0.9196969696969697,0.9203136858082469
EEGNet,0,sub-078,ses-01,5,160,0.78125,0.7793103448275862
EEGNet,0,sub-078,ses-02,5,55,0.9642857142857143,0.9636243386243386
EEGNet,0,sub-079,ses-01,5,160,0.93125,0.9312473143482167
EEGNet,0,sub-079,ses-02,5,86,0.9302325581395349,0.9301948051948052
EEGNet,0,sub-084,ses-01,5,160,0.975,0.975
EEGNet,0,sub-084,ses-02,5,102,0.9104736234116289,0.9113471752776436
EEGNet,0,sub-091,ses-01,5,160,0.85,0.8488427019367029
EEGNet,0,sub-091,ses-02,5,83,0.9518002322880371,0.9518002322880371
SIRE-EEG,0,sub-003,ses-01,5,160,0.91875,0.9185941841806583
SIRE-EEG,0,sub-003,ses-02,5,184,0.9184859990507831,0.9181858603823922
SIRE-EEG,0,sub-015,ses-01,5,160,0.9,0.899607843137255
SIRE-EEG,0,sub-015,ses-02,5,168,0.9174116645381013,0.9166548547129695
SIRE-EEG,0,sub-017,ses-01,5,160,0.95625,0.9561660991742007
SIRE-EEG,0,sub-017,ses-02,5,138,0.9347826086956522,0.9346143722032114
SIRE-EEG,0,sub-018,ses-01,5,160,1.0,1.0
SIRE-EEG,0,sub-018,ses-02,5,131,0.9543123543123544,0.9541958041958043
SIRE-EEG,0,sub-022,ses-01,5,160,0.90625,0.9059524276029625
SIRE-EEG,0,sub-022,ses-02,5,66,0.9090909090909092,0.9090073529411764
SIRE-EEG,0,sub-024,ses-01,5,160,0.98125,0.9812492675495137
SIRE-EEG,0,sub-024,ses-02,5,57,0.895320197044335,0.8947044334975369
SIRE-EEG,0,sub-025,ses-01,5,160,0.9875,0.9874980465697765
SIRE-EEG,0,sub-025,ses-02,5,78,0.9251336898395721,0.9222591362126246
SIRE-EEG,0,sub-027,ses-01,5,160,0.95,0.95
SIRE-EEG,0,sub-027,ses-02,5,84,0.9761904761904762,0.9761769710720363
SIRE-EEG,0,sub-032,ses-01,5,160,0.9625,0.9624765478424016
SIRE-EEG,0,sub-032,ses-02,5,54,0.9423076923076923,0.9439640262884815
SIRE-EEG,0,sub-037,ses-01,5,160,0.925,0.925
SIRE-EEG,0,sub-037,ses-02,5,46,0.854775828460039,0.8460066953610712
SIRE-EEG,0,sub-046,ses-01,5,160,0.8875,0.887218045112782
SIRE-EEG,0,sub-046,ses-02,5,42,0.9523809523809523,0.9522727272727273
SIRE-EEG,0,sub-056,ses-01,5,160,0.925,0.924812030075188
SIRE-EEG,0,sub-056,ses-02,5,43,0.9166666666666667,0.9069264069264069
SIRE-EEG,0,sub-063,ses-01,5,160,0.99375,0.9937497558498378
SIRE-EEG,0,sub-063,ses-02,5,172,0.9651115618661258,0.9651115618661258
SIRE-EEG,0,sub-077,ses-01,5,160,0.775,0.7732640529050543
SIRE-EEG,0,sub-077,ses-02,5,63,0.9666666666666667,0.968052738336714
SIRE-EEG,0,sub-078,ses-01,5,160,0.76875,0.7608950280706006
SIRE-EEG,0,sub-078,ses-02,5,55,1.0,1.0
SIRE-EEG,0,sub-079,ses-01,5,160,0.925,0.9249530956848031
SIRE-EEG,0,sub-079,ses-02,5,86,0.8837209302325582,0.8836580086580086
SIRE-EEG,0,sub-084,ses-01,5,160,0.975,0.975
SIRE-EEG,0,sub-084,ses-02,5,102,0.9010396611474778,0.9016203703703705
SIRE-EEG,0,sub-091,ses-01,5,160,0.75625,0.754088669950739
SIRE-EEG,0,sub-091,ses-02,5,83,0.9518002322880371,0.9518002322880371
EEGNet,1,sub-003,ses-01,5,160,0.9624999999999999,0.9624941397093296
EEGNet,1,sub-003,ses-02,5,184,0.9221642145230186,0.9233333333333333
EEGNet,1,sub-015,ses-01,5,160,0.84375,0.8419659436608589
EEGNet,1,sub-015,ses-02,5,168,0.8948488718603661,0.8927963698241634
EEGNet,1,sub-017,ses-01,5,160,0.94375,0.9435714565617774
EEGNet,1,sub-017,ses-02,5,138,0.9420289855072463,0.9419191919191919
EEGNet,1,sub-018,ses-01,5,160,1.0,1.0
EEGNet,1,sub-018,ses-02,5,131,0.9771561771561772,0.9770992366412213
EEGNet,1,sub-022,ses-01,5,160,0.86875,0.8686217008797654
EEGNet,1,sub-022,ses-02,5,66,0.9090909090909092,0.9090073529411764
EEGNet,1,sub-024,ses-01,5,160,0.9875,0.9875
EEGNet,1,sub-024,ses-02,5,57,0.8780788177339902,0.8770416024653312
EEGNet,1,sub-025,ses-01,5,160,0.96875,0.9687487792491895
EEGNet,1,sub-025,ses-02,5,78,0.9659090909090908,0.9612261806130903
EEGNet,1,sub-027,ses-01,5,160,0.9750000000000001,0.974996093139553
EEGNet,1,sub-027,ses-02,5,84,0.9523809523809523,0.9522727272727273
EEGNet,1,sub-032,ses-01,5,160,0.95,0.9499687304565353
EEGNet,1,sub-032,ses-02,5,54,0.9244505494505495,0.9255172413793104
EEGNet,1,sub-037,ses-01,5,160,0.9312499999999999,0.9311181558451724
EEGNet,1,sub-037,ses-02,5,46,0.8810916179337231,0.8685714285714285
EEGNet,1,sub-046,ses-01,5,160,0.9125000000000001,0.9122807017543859
EEGNet,1,sub-046,ses-02,5,42,0.9285714285714286,0.9285309132161089
EEGNet,1,sub-056,ses-01,5,160,0.9125000000000001,0.9122807017543859
EEGNet,1,sub-056,ses-02,5,43,0.8903508771929824,0.8834688346883468
EEGNet,1,sub-063,ses-01,5,160,0.9875,0.9874980465697765
EEGNet,1,sub-063,ses-02,5,172,0.9592292089249492,0.9592899408284024
EEGNet,1,sub-077,ses-01,5,160,0.7625,0.762462884825754
EEGNet,1,sub-077,ses-02,5,63,0.9666666666666667,0.968052738336714
EEGNet,1,sub-078,ses-01,5,160,0.76875,0.7619717743556753
EEGNet,1,sub-078,ses-02,5,55,0.9636243386243386,0.9636243386243386
EEGNet,1,sub-079,ses-01,5,160,0.90625,0.9062463377475682
EEGNet,1,sub-079,ses-02,5,86,0.8953488372093024,0.8953346855983773
EEGNet,1,sub-084,ses-01,5,160,0.98125,0.9812492675495137
EEGNet,1,sub-084,ses-02,5,102,0.911243742780131,0.9115521726563253
EEGNet,1,sub-091,ses-01,5,160,0.825,0.8216276477146043
EEGNet,1,sub-091,ses-02,5,83,0.93931475029036,0.9396187981958388
SIRE-EEG,1,sub-003,ses-01,5,160,0.95625,0.9562482909488652
SIRE-EEG,1,sub-003,ses-02,5,184,0.9403179876601804,0.9400029642804208
SIRE-EEG,1,sub-015,ses-01,5,160,0.85625,0.8549753694581281
SIRE-EEG,1,sub-015,ses-02,5,168,0.8886760323541932,0.8868686868686868
SIRE-EEG,1,sub-017,ses-01,5,160,0.95625,0.9561660991742007
SIRE-EEG,1,sub-017,ses-02,5,138,0.9420289855072463,0.9419802396468362
SIRE-EEG,1,sub-018,ses-01,5,160,1.0,1.0
SIRE-EEG,1,sub-018,ses-02,5,131,0.9848484848484849,0.9847319347319348
SIRE-EEG,1,sub-022,ses-01,5,160,0.8812500000000001,0.8812082372709156
SIRE-EEG,1,sub-022,ses-02,5,66,0.893939393939394,0.893719806763285
SIRE-EEG,1,sub-024,ses-01,5,160,0.98125,0.9812492675495137
SIRE-EEG,1,sub-024,ses-02,5,57,0.895320197044335,0.8947044334975369
SIRE-EEG,1,sub-025,ses-01,5,160,0.98125,0.9812492675495137
SIRE-EEG,1,sub-025,ses-02,5,78,0.9512032085561497,0.9481727574750831
SIRE-EEG,1,sub-027,ses-01,5,160,0.96875,0.9687487792491895
SIRE-EEG,1,sub-027,ses-02,5,84,0.9404761904761905,0.9404001702852277
SIRE-EEG,1,sub-032,ses-01,5,160,0.98125,0.9812492675495137
SIRE-EEG,1,sub-032,ses-02,5,54,0.9807692307692308,0.9814241486068112
SIRE-EEG,1,sub-037,ses-01,5,160,0.95,0.9499295884838053
SIRE-EEG,1,sub-037,ses-02,5,46,0.8284600389863548,0.823076923076923
SIRE-EEG,1,sub-046,ses-01,5,160,0.89375,0.8934127512833575
SIRE-EEG,1,sub-046,ses-02,5,42,0.9523809523809523,0.9522727272727273
SIRE-EEG,1,sub-056,ses-01,5,160,0.8999999999999999,0.8994343180389692
SIRE-EEG,1,sub-056,ses-02,5,43,0.9166666666666667,0.9069264069264069
SIRE-EEG,1,sub-063,ses-01,5,160,0.9875,0.9874980465697765
SIRE-EEG,1,sub-063,ses-02,5,172,0.9767410412440838,0.9767410412440838
SIRE-EEG,1,sub-077,ses-01,5,160,0.7625,0.7594556100648837
SIRE-EEG,1,sub-077,ses-02,5,63,0.9515151515151515,0.9521882114849481
SIRE-EEG,1,sub-078,ses-01,5,160,0.8,0.7992156862745098
SIRE-EEG,1,sub-078,ses-02,5,55,0.9821428571428572,0.9818181818181818
SIRE-EEG,1,sub-079,ses-01,5,160,0.9125000000000001,0.9124863259884357
SIRE-EEG,1,sub-079,ses-02,5,86,0.8604651162790697,0.8604651162790697
SIRE-EEG,1,sub-084,ses-01,5,160,0.98125,0.9812492675495137
SIRE-EEG,1,sub-084,ses-02,5,102,0.9104736234116289,0.9113471752776436
SIRE-EEG,1,sub-091,ses-01,5,160,0.79375,0.7927705168962675
SIRE-EEG,1,sub-091,ses-02,5,83,0.93931475029036,0.9396187981958388
EEGNet,2,sub-003,ses-01,5,160,0.9437500000000001,0.9437302176546443
EEGNet,2,sub-003,ses-02,5,184,0.9345040341718083,0.9345040341718083
EEGNet,2,sub-015,ses-01,5,160,0.825,0.8232323232323233
EEGNet,2,sub-015,ses-02,5,168,0.8776074925500212,0.8747826086956522
EEGNet,2,sub-017,ses-01,5,160,0.95,0.949874686716792
EEGNet,2,sub-017,ses-02,5,138,0.9492753623188406,0.9491445117136088
EEGNet,2,sub-018,ses-01,5,160,1.0,1.0
EEGNet,2,sub-018,ses-02,5,131,0.9620046620046621,0.9618231625575566
EEGNet,2,sub-022,ses-01,5,160,0.89375,0.89354624085163
EEGNet,2,sub-022,ses-02,5,66,0.9242424242424243,0.9242250287026407
EEGNet,2,sub-024,ses-01,5,160,0.9750000000000001,0.974996093139553
EEGNet,2,sub-024,ses-02,5,57,0.8596059113300492,0.8596059113300492
EEGNet,2,sub-025,ses-01,5,160,0.96875,0.9687390098081357
EEGNet,2,sub-025,ses-02,5,78,0.9772727272727273,0.9740863787375416
EEGNet,2,sub-027,ses-01,5,160,0.9875,0.9874980465697765
EEGNet,2,sub-027,ses-02,5,84,0.9761904761904762,0.9761769710720363
EEGNet,2,sub-032,ses-01,5,160,0.95625,0.9562072336265884
