model,PEEH_mean_pp,PEEH_CI95_low_pp,PEEH_CI95_high_pp,PEEH_nonempty_coverage,PEEH_empty_runs_zero_effect,PSWA_nonempty_coverage,PSWA_biological_subjects,PSWA_mean_pp,PSWA_CI95_low_pp,PSWA_CI95_high_pp
EEGNet,6.658906597679379,5.58618489214425,7.7584654246568565,15/15,0,15/15,18,8.803461371006177,7.974615933881409,9.657284494536365
SIRE-EEG,5.514278720111122,4.715159243869875,6.370827571861014,15/15,0,15/15,18,8.427314654118298,7.509556780820417,9.263128407894644
