row_type,model,subjects,S2_BA,S2_Macro_F1,WS_BA,contrast,mean,CI95_low,CI95_high
model,EEGNet,18,0.9290191099310631,0.9277329951409745,0.8975314942411986,,,,
model,SIRE-EEG,18,0.9303810779133185,0.9291868646631127,0.8926176207428473,,,,
paired_SIRE_minus_EEGNet,SIRE-EEG minus EEGNet,18,,,,S2_BA,0.001361967982255346,-0.00706311442608664,0.009141531808312408
paired_SIRE_minus_EEGNet,SIRE-EEG minus EEGNet,18,,,,WS_BA,-0.004913873498351336,-0.017065255857539163,0.005734697907538506
