dataset,fold,subject_id,both_correct,both_wrong,stable_only_correct,expressive_only_correct,trials
OpenBMI,0,15,67,9,7,17,100
OpenBMI,0,38,59,13,12,16,100
OpenBMI,0,6,83,5,4,8,100
OpenBMI,0,33,68,13,5,14,100
OpenBMI,0,32,50,27,9,14,100
OpenBMI,0,3,75,7,4,14,100
OpenBMI,0,5,61,17,16,6,100
OpenBMI,0,47,71,8,13,8,100
OpenBMI,1,26,81,7,3,9,100
OpenBMI,1,2,76,16,4,4,100
OpenBMI,1,14,64,16,8,12,100
OpenBMI,1,31,74,5,8,13,100
OpenBMI,1,28,76,12,2,10,100
OpenBMI,1,35,81,7,8,4,100
OpenBMI,1,40,74,12,9,5,100
OpenBMI,1,43,76,7,6,11,100
OpenBMI,2,50,47,18,20,15,100
OpenBMI,2,52,69,12,10,9,100
OpenBMI,2,23,60,19,8,13,100
OpenBMI,2,1,54,26,10,10,100
OpenBMI,2,30,56,17,16,11,100
OpenBMI,2,48,57,22,9,12,100
OpenBMI,2,11,61,21,9,9,100
OpenBMI,2,8,65,16,2,17,100
OpenBMI,3,45,67,14,8,11,100
OpenBMI,3,34,52,23,16,9,100
OpenBMI,3,27,92,5,0,3,100
OpenBMI,3,49,82,12,2,4,100
OpenBMI,3,10,54,13,11,22,100
OpenBMI,3,22,58,28,5,9,100
OpenBMI,3,19,66,19,5,10,100
OpenBMI,3,16,80,12,1,7,100
OpenBMI,4,9,51,26,11,12,100
OpenBMI,4,53,64,14,15,7,100
OpenBMI,4,7,59,21,10,10,100
OpenBMI,4,20,84,10,2,4,100
OpenBMI,4,41,51,16,14,19,100
OpenBMI,4,46,51,26,13,10,100
OpenBMI,4,21,76,11,5,8,100
OpenBMI,4,44,60,13,10,17,100
WBCIC,0,sub-6,175,16,6,3,200
WBCIC,0,sub-22,124,33,22,21,200
WBCIC,0,sub-44,155,22,9,14,200
WBCIC,0,sub-35,187,9,2,2,200
WBCIC,0,sub-18,106,57,15,22,200
WBCIC,0,sub-9,106,64,12,18,200
WBCIC,0,sub-49,169,13,8,10,200
WBCIC,1,sub-28,115,35,24,26,200
WBCIC,1,sub-37,163,15,12,10,200
WBCIC,1,sub-12,134,36,12,18,200
WBCIC,1,sub-30,161,17,15,7,200
WBCIC,1,sub-45,184,10,5,1,200
WBCIC,1,sub-7,152,26,14,8,200
WBCIC,2,sub-50,189,7,3,1,200
WBCIC,2,sub-14,87,65,28,20,200
WBCIC,2,sub-1,184,3,6,7,200
WBCIC,2,sub-32,87,60,17,36,200
WBCIC,2,sub-23,190,6,3,1,200
WBCIC,2,sub-34,77,66,31,26,200
WBCIC,3,sub-24,175,10,5,5,195
WBCIC,3,sub-13,169,16,8,7,200
WBCIC,3,sub-11,116,50,12,22,200
WBCIC,3,sub-29,160,17,8,15,200
WBCIC,3,sub-26,107,47,19,27,200
WBCIC,3,sub-47,182,8,8,2,200
WBCIC,4,sub-36,194,2,2,2,200
WBCIC,4,sub-16,94,56,19,31,200
WBCIC,4,sub-48,146,28,8,18,200
WBCIC,4,sub-41,156,25,10,9,200
WBCIC,4,sub-5,145,38,10,7,200
WBCIC,4,sub-27,105,53,17,25,200
