dataset,EEGNet_BA,LiteBN_BA,Best_Single_Model,REF50_BA,AMSE_Stable_BA,AMSE_Expressive_BA,AMSE_Final_BA,best_single_ref_BA,G_REF_pp,G_AMSE_pp,R,G_INTERNAL_pp,final_positive_folds,final_bootstrap_ci_low_pp,final_bootstrap_ci_high_pp,final_vs_REF50_ci_low_pp,final_vs_REF50_ci_high_pp,positive_subjects_fixed_best,negative_subjects_fixed_best
OpenBMI,0.7577499999999999,0.7915,LiteBN,0.8,0.7455,0.76875,0.77675,0.7915,0.8500000000000063,-1.474999999999993,-1.7352941176470378,0.8000000000000007,1,-3.2000000000000015,0.2756249999999918,-3.8256250000000036,-0.7500000000000011,11,26
WBCIC,0.78268022971652,0.7870401596611275,LiteBN,0.7939839931573802,0.7852523216031279,0.7935035842293908,0.7941469126751385,0.7870401596611275,0.6943833496252716,0.710675301401098,1.0234624747045251,0.06433284457476596,3,-0.9838709677419367,2.4526357323232304,-1.1767717497556205,1.3227476376669933,17,13
