dataset,fold,subject_id,Subject_oracle_ceiling_delta_pp
OpenBMI,0,15,-2.0000000000000018
OpenBMI,0,38,6.000000000000005
OpenBMI,0,6,-3.0000000000000027
OpenBMI,0,33,-7.9999999999999964
OpenBMI,0,32,-5.999999999999995
OpenBMI,0,3,0.0
OpenBMI,0,5,-2.0000000000000018
OpenBMI,0,47,-7.999999999999985
OpenBMI,1,26,3.9999999999999925
OpenBMI,1,2,2.0000000000000018
OpenBMI,1,14,-2.0000000000000018
OpenBMI,1,31,5.999999999999995
OpenBMI,1,28,-8.999999999999986
OpenBMI,1,35,2.0000000000000018
OpenBMI,1,40,4.999999999999993
OpenBMI,1,43,-6.999999999999995
OpenBMI,2,50,-1.9999999999999907
OpenBMI,2,52,1.9999999999999907
OpenBMI,2,23,-4.0000000000000036
OpenBMI,2,1,-2.0000000000000018
OpenBMI,2,30,-8.000000000000007
OpenBMI,2,48,-1.0000000000000009
OpenBMI,2,11,-3.0000000000000027
OpenBMI,2,8,-12.00000000000001
OpenBMI,3,45,8.000000000000007
OpenBMI,3,34,1.0000000000000009
OpenBMI,3,27,-1.0000000000000009
OpenBMI,3,49,0.0
OpenBMI,3,10,-8.000000000000007
OpenBMI,3,22,-3.0000000000000027
OpenBMI,3,19,-5.000000000000004
OpenBMI,3,16,0.0
OpenBMI,4,9,8.999999999999996
OpenBMI,4,53,-10.000000000000009
OpenBMI,4,7,-2.0000000000000018
OpenBMI,4,20,-2.9999999999999916
OpenBMI,4,41,-5.000000000000004
OpenBMI,4,46,-9.999999999999986
OpenBMI,4,21,-3.0000000000000027
OpenBMI,4,44,-5.999999999999995
WBCIC,0,sub-6,-3.500000000000014
WBCIC,0,sub-22,-3.0000000000000027
WBCIC,0,sub-44,4.5000000000000036
WBCIC,0,sub-35,2.499999999999991
WBCIC,0,sub-18,-0.5000000000000004
WBCIC,0,sub-9,0.49999999999998934
WBCIC,0,sub-49,2.500000000000002
WBCIC,1,sub-28,2.0000000000000018
WBCIC,1,sub-37,0.0
WBCIC,1,sub-12,0.5000000000000004
WBCIC,1,sub-30,2.0000000000000018
WBCIC,1,sub-45,0.49999999999998934
WBCIC,1,sub-7,-2.0000000000000018
WBCIC,2,sub-50,0.49999999999998934
WBCIC,2,sub-14,-1.0000000000000009
WBCIC,2,sub-1,1.9999999999999907
WBCIC,2,sub-32,-2.0000000000000018
WBCIC,2,sub-23,-1.5000000000000013
WBCIC,2,sub-34,-6.500000000000005
WBCIC,3,sub-24,1.5309343434343425
WBCIC,3,sub-13,-1.5000000000000013
WBCIC,3,sub-11,0.0
WBCIC,3,sub-29,-2.0000000000000018
WBCIC,3,sub-26,-9.499999999999996
WBCIC,3,sub-47,0.49999999999998934
WBCIC,4,sub-36,-0.5000000000000004
WBCIC,4,sub-16,3.0000000000000027
WBCIC,4,sub-48,-5.499999999999994
WBCIC,4,sub-41,-3.500000000000003
WBCIC,4,sub-5,-3.500000000000003
WBCIC,4,sub-27,-5.499999999999994
