dataset,stable_minus_EEGNet_pp,expressive_minus_LiteBN_pp,stable_positive_folds,expressive_positive_folds,final_minus_strongest_internal_pp
OpenBMI,-1.224999999999999,-2.2749999999999995,2,1,-0.5000000000000007
WBCIC,0.2572091886608018,0.6463424568263262,3,2,-0.7743768328445758
