dataset,fold,subject_id,EEGNet_BA,EEGNet_macro_F1,EEGNet_accuracy,EEGNet_trials,LiteBN_BA,LiteBN_macro_F1,LiteBN_accuracy,LiteBN_trials,REF50_BA,REF50_macro_F1,REF50_accuracy,REF50_trials,AMSE_Stable_BA,AMSE_Stable_macro_F1,AMSE_Stable_accuracy,AMSE_Stable_trials,AMSE_Expressive_BA,AMSE_Expressive_macro_F1,AMSE_Expressive_accuracy,AMSE_Expressive_trials,AMSE_Final_BA,AMSE_Final_macro_F1,AMSE_Final_accuracy,AMSE_Final_trials,Subject_oracle_ceiling_delta_pp,AMSE_Final_minus_best_ref_pp,AMSE_Final_minus_REF50_pp,Stable_minus_EEGNet_pp,Expressive_minus_LiteBN_pp,Final_minus_strongest_internal_pp
OpenBMI,0,15,0.8300000000000001,0.8298468621759583,0.83,100,0.87,0.8698828946051447,0.87,100,0.8999999999999999,0.8998397435897436,0.9,100,0.74,0.7398959583833533,0.74,100,0.84,0.84,0.84,100,0.85,0.84998499849985,0.85,100,-2.0000000000000018,-2.0000000000000018,-4.999999999999993,-9.000000000000007,-3.0000000000000027,1.0000000000000009
OpenBMI,0,38,0.76,0.7519636213311285,0.76,100,0.77,0.757153415690001,0.77,100,0.75,0.736036321402175,0.75,100,0.71,0.7092731829573935,0.71,100,0.75,0.74997499749975,0.75,100,0.8300000000000001,0.8298468621759583,0.83,100,6.000000000000005,6.000000000000005,8.000000000000007,-5.000000000000004,-2.0000000000000018,8.000000000000007
OpenBMI,0,6,0.9299999999999999,0.9298245614035088,0.93,100,0.9099999999999999,0.9099189270343309,0.91,100,0.95,0.9499949994999499,0.95,100,0.87,0.8689384010484928,0.87,100,0.9099999999999999,0.9097744360902256,0.91,100,0.8999999999999999,0.8993558776167472,0.9,100,-3.0000000000000027,-1.0000000000000009,-5.000000000000004,-5.999999999999995,0.0,-1.0000000000000009
OpenBMI,0,33,0.76,0.7552019583843329,0.76,100,0.88,0.8799519807923168,0.88,100,0.85,0.8487750781328763,0.85,100,0.73,0.721964782205746,0.73,100,0.8200000000000001,0.8181818181818181,0.82,100,0.8,0.7960016319869441,0.8,100,-7.9999999999999964,-7.9999999999999964,-4.999999999999993,-3.0000000000000027,-5.999999999999995,-2.0000000000000018
OpenBMI,0,32,0.65,0.6496847162446202,0.65,100,0.7,0.6998799519807923,0.7,100,0.63,0.6290726817042607,0.63,100,0.5900000000000001,0.5889724310776943,0.59,100,0.64,0.6305418719211823,0.64,100,0.64,0.6363636363636364,0.64,100,-5.999999999999995,-5.999999999999995,1.0000000000000009,-5.999999999999995,-5.999999999999995,0.0
OpenBMI,0,3,0.84,0.8383838383838383,0.84,100,0.87,0.8699869986998701,0.87,100,0.86,0.8590982286634461,0.86,100,0.79,0.7898108297467721,0.79,100,0.89,0.8899889988998899,0.89,100,0.87,0.8698828946051447,0.87,100,0.0,0.0,1.0000000000000009,-4.999999999999993,2.0000000000000018,-2.0000000000000018
OpenBMI,0,5,0.73,0.72997299729973,0.73,100,0.75,0.7469379491851402,0.75,100,0.75,0.7487689679429204,0.75,100,0.77,0.7688674505074866,0.77,100,0.67,0.6659580929243851,0.67,100,0.73,0.7286704853783539,0.73,100,-2.0000000000000018,-2.0000000000000018,-2.0000000000000018,4.0000000000000036,-7.9999999999999964,-4.0000000000000036
OpenBMI,0,47,0.8999999999999999,0.8993558776167472,0.9,100,0.86,0.8579545454545454,0.86,100,0.9199999999999999,0.9194847020933977,0.92,100,0.84,0.8399359743897559,0.84,100,0.79,0.7803117480908045,0.79,100,0.8200000000000001,0.8152709359605912,0.82,100,-7.999999999999985,-3.9999999999999925,-9.999999999999986,-5.999999999999995,-6.999999999999995,-1.9999999999999907
OpenBMI,1,26,0.86,0.859775641025641,0.86,100,0.85,0.84998499849985,0.85,100,0.87,0.8698828946051447,0.87,100,0.8400000000000001,0.839421918908069,0.84,100,0.9,0.9,0.9,100,0.8999999999999999,0.8998397435897436,0.9,100,3.9999999999999925,4.999999999999993,2.9999999999999916,-1.9999999999999907,5.000000000000004,-1.1102230246251565e-14
OpenBMI,1,2,0.81,0.8090644156366193,0.81,100,0.78,0.7796474358974359,0.78,100,0.79,0.78997899789979,0.79,100,0.8,0.7999199679871949,0.8,100,0.8,0.7999199679871949,0.8,100,0.8300000000000001,0.8298468621759583,0.83,100,2.0000000000000018,5.000000000000004,4.0000000000000036,-1.0000000000000009,2.0000000000000018,3.0000000000000027
OpenBMI,1,14,0.72,0.7126436781609196,0.72,100,0.75,0.7457023700539112,0.75,100,0.73,0.7297567811029927,0.73,100,0.72,0.7171717171717171,0.72,100,0.76,0.7599039615846338,0.76,100,0.73,0.7277951406391774,0.73,100,-2.0000000000000018,-2.0000000000000018,0.0,0.0,1.0000000000000009,-3.0000000000000027
OpenBMI,1,31,0.8,0.7960016319869441,0.8,100,0.79,0.7874278773155178,0.79,100,0.8,0.7947454844006567,0.8,100,0.8200000000000001,0.8164014687882497,0.82,100,0.87,0.8698828946051447,0.87,100,0.86,0.8590982286634461,0.86,100,5.999999999999995,6.999999999999995,5.999999999999995,2.0000000000000018,7.9999999999999964,-1.0000000000000009
OpenBMI,1,28,0.78,0.7726333195535345,0.78,100,0.9299999999999999,0.9298245614035088,0.93,100,0.9199999999999999,0.9197109594540345,0.92,100,0.78,0.7756017951856384,0.78,100,0.86,0.859775641025641,0.86,100,0.8400000000000001,0.839421918908069,0.84,100,-8.999999999999986,-8.999999999999986,-7.999999999999985,0.0,-6.999999999999995,-1.9999999999999907
OpenBMI,1,35,0.86,0.8590982286634461,0.86,100,0.8,0.7933030177759405,0.8,100,0.8300000000000001,0.8260869565217391,0.83,100,0.89,0.8886526976414617,0.89,100,0.8500000000000001,0.849624060150376,0.85,100,0.88,0.8792270531400965,0.88,100,2.0000000000000018,7.9999999999999964,4.999999999999993,3.0000000000000027,5.000000000000004,-1.0000000000000009
OpenBMI,1,40,0.8200000000000001,0.8197115384615384,0.82,100,0.81,0.8067338012409724,0.81,100,0.86,0.8585858585858586,0.86,100,0.8300000000000001,0.8291628982011858,0.83,100,0.79,0.7882851093860268,0.79,100,0.87,0.8696741854636592,0.87,100,4.999999999999993,5.999999999999995,1.0000000000000009,1.0000000000000009,-2.0000000000000018,3.9999999999999925
OpenBMI,1,43,0.85,0.84998499849985,0.85,100,0.95,0.9499549594635172,0.95,100,0.94,0.9399759903961584,0.94,100,0.8200000000000001,0.8193496587715776,0.82,100,0.87,0.8689384010484928,0.87,100,0.88,0.8798076923076923,0.88,100,-6.999999999999995,-6.999999999999995,-5.999999999999995,-2.9999999999999916,-7.9999999999999964,1.0000000000000009
OpenBMI,2,50,0.6699999999999999,0.6697027324592133,0.67,100,0.63,0.6236395076797885,0.63,100,0.6599999999999999,0.6594551282051282,0.66,100,0.6699999999999999,0.6683750376846548,0.67,100,0.62,0.5924495924495925,0.62,100,0.65,0.6457131288591963,0.65,100,-1.9999999999999907,2.0000000000000018,-0.9999999999999898,0.0,-1.0000000000000009,-1.9999999999999907
OpenBMI,2,52,0.78,0.779205138498595,0.78,100,0.81,0.8090644156366193,0.81,100,0.8400000000000001,0.8397435897435898,0.84,100,0.79,0.7898108297467721,0.79,100,0.78,0.7726333195535345,0.78,100,0.83,0.8270776116366596,0.83,100,1.9999999999999907,1.9999999999999907,-1.000000000000012,1.0000000000000009,-3.0000000000000027,3.9999999999999925
OpenBMI,2,23,0.7,0.6980676328502415,0.7,100,0.74,0.7348021215830274,0.74,100,0.77,0.7660461804495982,0.77,100,0.6799999999999999,0.6715927750410509,0.68,100,0.73,0.7087692805522597,0.73,100,0.7,0.6744791666666667,0.7,100,-4.0000000000000036,-4.0000000000000036,-7.000000000000006,-2.0000000000000018,-1.0000000000000009,-3.0000000000000027
OpenBMI,2,1,0.63,0.6254681647940075,0.63,100,0.65,0.6266666666666667,0.65,100,0.65,0.6266666666666667,0.65,100,0.64,0.625,0.64,100,0.64,0.6305418719211823,0.64,100,0.63,0.6161427533976553,0.63,100,-2.0000000000000018,-2.0000000000000018,-2.0000000000000018,1.0000000000000009,-1.0000000000000009,-1.0000000000000009
OpenBMI,2,30,0.69,0.6862030569895738,0.69,100,0.75,0.7493734335839599,0.75,100,0.78,0.7796474358974359,0.78,100,0.72,0.7198879551820728,0.72,100,0.67,0.648,0.67,100,0.6699999999999999,0.6576408341114224,0.67,100,-8.000000000000007,-8.000000000000007,-11.00000000000001,3.0000000000000027,-7.9999999999999964,-5.000000000000004
OpenBMI,2,48,0.6699999999999999,0.6624040920716112,0.67,100,0.66,0.6565656565656566,0.66,100,0.7,0.7,0.7,100,0.66,0.6353496353496353,0.66,100,0.69,0.6874684948079444,0.69,100,0.6599999999999999,0.6486151302190988,0.66,100,-1.0000000000000009,-1.1102230246251565e-14,-4.0000000000000036,-0.9999999999999898,2.9999999999999916,-3.0000000000000027
