dataset,G_REF_pp,G_AMSE_pp,R,G_INTERNAL_pp,final_vs_REF50
OpenBMI,0.8500000000000063,-1.474999999999993,-1.7352941176470378,0.8000000000000007,"{'n_subjects': 40, 'mean_delta_pp': -2.3250000000000006, 'median_delta_pp': -2.9999999999999973, 'ci_low_pp': -3.8256250000000036, 'ci_high_pp': -0.7500000000000011, 'positive_subjects': 11, 'negative_subjects': 28}"
WBCIC,0.6943833496252716,0.710675301401098,1.0234624747045251,0.06433284457476596,"{'n_subjects': 31, 'mean_delta_pp': 0.016291951775822863, 'median_delta_pp': -0.5000000000000115, 'ci_low_pp': -1.1767717497556205, 'ci_high_pp': 1.3227476376669933, 'positive_subjects': 12, 'negative_subjects': 18}"
