subject,ba,run,model
11,0.62,fold-1/seed-0,method
17,0.66,fold-1/seed-0,method
19,0.76,fold-1/seed-0,method
22,0.74,fold-1/seed-0,method
3,0.89,fold-1/seed-0,method
38,0.71,fold-1/seed-0,method
40,0.765,fold-1/seed-0,method
50,0.53,fold-1/seed-0,method
7,0.685,fold-1/seed-0,method
