task,model,fold,seed,absolute_CE_harm_CI95,absolute_CE_harm_mean,block,coordinates,excess_CE_harm_CI95,excess_CE_harm_mean,persistence_supported,protected,rank,rho_G,rho_null_p95,selection_subjects
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,"[-0.0009493546227427728, 0.0004104664817824103]",-0.00017594901766310815,0,[0],"[-0.012824788731042007, -0.010154618920195528]",-0.011494473669016214,True,False,1,0.6216073358713735,0.21385756002706935,24
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,"[-0.00012529707886842234, 0.0009032638474075888]",0.0003761722516476987,1,[1],"[-0.012161609855095767, -0.009773546214324653]",-0.010922619173447194,True,False,1,0.4186554578185301,0.1409359958882419,24
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,"[0.001297850815762097, 0.0056499761325562725]",0.0034651131317885767,2,[2],"[-0.009725942221087717, -0.00568559871593645]",-0.007687987400031611,True,False,1,0.23964682543741422,0.10195777393175513,24
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,"[0.05216989813905053, 0.08169240093506959]",0.06578248102995835,3,"[3, 4, 5, 6]","[0.019885033713037768, 0.04663740962325667]",0.03226057614889075,True,True,4,0.13006652256911255,0.03027727501834812,24
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,"[0.1052978477891706, 0.13598417547855263]",0.12025797573342767,4,"[7, 8, 9, 10]","[0.08505067667441833, 0.11264324025113065]",0.09866824387683286,True,True,4,0.033447238948772384,0.008301592624750775,24
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,"[0.0014621208687908085, 0.0035487150157779025]",0.002478508602075362,5,"[11, 12, 13, 14]","[-0.05293791898923356, -0.04121009770917854]",-0.04695694433528071,True,False,4,0.004836225359172955,0.004086110390054487,24
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,"[0.014166562178863492, 0.020606147196860124]",0.017448625757121184,6,"[15, 16, 17, 18]","[-0.03494387175279076, -0.021929207366603438]",-0.028305662137136926,False,False,4,-0.012931237014776343,0.0069841379652379135,24
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,"[-0.0005929625375913721, 0.00015108663803639]",-0.00020452849617057264,7,[19],"[-0.015650837392831844, -0.011783954505483382]",-0.013672118057595021,False,False,1,-0.03455187614771551,0.018617125911418585,24
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,1,0,"[-0.0006706045744166709, 0.0010360247659565538]",0.00016077172160590172,0,"[0, 1]","[-0.03644842353436138, -0.02816644370154538]",-0.0321753122401222,True,False,2,0.4652386772292136,0.112059620227505,23
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,1,0,"[0.002884220024910464, 0.006568472300933125]",0.004751110010492938,1,"[2, 3]","[-0.03117222488735645, -0.02339319621184483]",-0.027136153119252684,True,False,2,0.21041244771533255,0.055695047021656716,23
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,1,0,"[0.1377371020903012, 0.18840249900502046]",0.16237520018839732,2,"[4, 5, 6, 7]","[0.11294200310008486, 0.16175645632134192]",0.13680653865785364,True,True,4,0.09489112866635474,0.018186674110018015,23
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,1,0,"[0.06883942071606562, 0.0863567098697255]",0.0774991833865597,3,"[8, 9, 10, 11]","[0.02270861401872219, 0.03877200076022002]",0.030894304111926653,True,True,4,0.035804610459541975,0.008563132942091527,23
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,1,0,"[0.010214842230583061, 0.016261217869704674]",0.013255341010730863,4,"[12, 13, 14, 15]","[-0.05758286449922269, -0.04195504635355847]",-0.04962955641932612,False,False,4,0.0015684378400012092,0.0046021957508143516,23
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,1,0,"[-0.0004221164677094695, 0.0011342886919602972]",0.0003888298380989169,5,"[16, 17, 18, 19]","[-0.07331320417711545, -0.058064303821430095]",-0.06555419198959761,False,False,4,-0.023015357991031316,0.007250985466220814,23
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,2,0,"[-0.00026517510547602064, 0.00016512616178232677]",-2.8606290173447486e-05,0,[0],"[-0.014403385864271975, -0.012136910840482556]",-0.013278018460598326,True,False,1,0.48515906122294183,0.20354182777117433,24
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,2,0,"[-0.00029537010642023963, 0.002503111796585061]",0.0011229533190042706,1,"[1, 2]","[-0.030974299911536433, -0.025558128327167626]",-0.028322196107899072,True,False,2,0.26379161837981535,0.07262720948276948,24
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,2,0,"[-0.0003067492195375096, 0.0021953261238700983]",0.0009178032166637772,2,[3],"[-0.013810644268420295, -0.010849438565392902]",-0.01232058987794707,True,False,1,0.15386246674263399,0.04743557078088526,24
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,2,0,"[0.06029068274641079, 0.07579154128268697]",0.06781625238470794,3,"[4, 5, 6, 7]","[0.007455162762346174, 0.023752374884227073]",0.015278825390592143,True,True,4,0.07475810103127023,0.018507973486916882,24
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,2,0,"[0.1716001310861024, 0.20926718349675882]",0.19032402225337594,4,"[8, 9, 10, 11]","[0.14977525460207416, 0.18718987270153328]",0.16805980224687567,True,True,4,0.032960514041124364,0.009529000670555706,24
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,2,0,"[0.010374604629461732, 0.014697709300715532]",0.012576710356267534,5,"[12, 13, 14, 15]","[-0.06014406005970467, -0.04817553749652187]",-0.05418707096185841,True,False,4,0.006306642477778012,0.005565658818085933,24
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,2,0,"[0.002614117496439059, 0.0054406146966681146]",0.00397298305206547,6,"[16, 17, 18, 19]","[-0.06986527363721316, -0.06030184009136596]",-0.06498041621034306,False,False,4,-0.02075059150169497,0.008255280489643364,24
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,3,0,"[-0.00010859297734043477, 0.00019439864146292025]",4.290389067443459e-05,0,[0],"[-0.014259675537141909, -0.011822964591094748]",-0.013100663670954188,True,False,1,0.4255732403488703,0.17737034464086068,23
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,3,0,"[2.816419653825604e-05, 0.0008099953444308617]",0.00041630212120327475,1,[1],"[-0.01390954472021432, -0.011420849625412606]",-0.012700023446831523,True,False,1,0.3784632804633045,0.16111919521797183,23
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,3,0,"[0.00035653178408275114, 0.002034244018805291]",0.0011838791915908052,2,[2],"[-0.013286735375757766, -0.010454238543632127]",-0.011869731779419728,True,False,1,0.1788258285913735,0.064684376671094,23
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,3,0,"[0.09484263739376149, 0.13405060192088045]",0.11462232648420345,3,"[3, 4, 5, 6]","[0.055997258747883805, 0.09484551154209218]",0.07585477124282437,True,True,4,0.0897798505740679,0.01613533298592821,23
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,3,0,"[0.10953562209928161, 0.13008344780233377]",0.11988447580575082,4,"[7, 8, 9, 10]","[0.07189930382234991, 0.09252444566589692]",0.08223156980595957,True,True,4,0.0385396959984215,0.01243010114051909,23
