task,model,fold,seed,path,sha256
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold0_seed0_litebn/selected_best.pt,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,1,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold1_seed0_litebn/selected_best.pt,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,2,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold2_seed0_litebn/selected_best.pt,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,3,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold3_seed0_litebn/selected_best.pt,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,4,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold4_seed0_litebn/selected_best.pt,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63
OpenBMI_MI,B1_SAME_SCALE_63,0,0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold0/selected.pt,1e2e4993f771e565a3e6e4c5185b54b75a660fd9509ef041e1fe6e4591e7a6b4
OpenBMI_MI,B1_SAME_SCALE_63,1,0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold1/selected.pt,be40c243d1bedfdf843e0f9b1fac18c6406aeca17b8af72354ded89f5c5567f4
OpenBMI_MI,B1_SAME_SCALE_63,2,0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold2/selected.pt,f61d7c6094fd254c7a7b75627fefa2004ecf8f8166d243403ed3e6920430ea0b
OpenBMI_MI,B1_SAME_SCALE_63,3,0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold3/selected.pt,ee49dd726605960c4f7cc74cf9550d318a6dd0801b255ad416fae6ac4b7dbd42
OpenBMI_MI,B1_SAME_SCALE_63,4,0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold4/selected.pt,dc596015a689eacc0ff8cb78e801f8fd3e675df71dcb7eb1921fd15322f903ae
