subject_id,source_fold,R_dynamic,risk_quartile,FutureDeltaBA,NegativeTransfer
14,0,-0.5410743458764142,1,0.0,0
19,0,-0.5410743458764142,1,0.050000000000000044,0
2,0,5.050027228179853,4,0.030000000000000027,0
32,0,-0.5410743458764142,1,0.0,0
33,0,-0.5410743458764142,2,0.0,0
40,0,-0.5410743458764142,2,0.0,0
47,0,-0.5410743458764142,3,-0.010000000000000009,1
50,0,3.6522518346657975,4,0.0,0
53,0,0.8567010476376554,3,0.0,0
1,1,1.8910431956400522,4,-0.009999999999999898,1
10,1,-0.7143940961306846,1,-0.04999999999999993,1
16,1,-0.7143940961306846,1,0.0,0
35,1,-0.7143940961306846,1,0.0,0
43,1,-0.7143940961306846,2,0.0,0
45,1,-0.7143940961306846,2,0.0,0
48,1,-0.7143940961306846,3,0.010000000000000009,0
5,1,0.5883245497546832,4,0.0,0
6,1,-0.7143940961306846,3,0.0,0
22,2,0.7487391150706029,3,0.019999999999999907,0
26,2,-0.5911098276873278,1,0.010000000000000009,0
34,2,3.428437000586493,4,0.030000000000000027,0
44,2,-0.5911098276873278,1,0.0,0
52,2,-0.5911098276873278,2,-0.009999999999999898,1
7,2,0.7487391150706165,4,0.0,0
15,3,-0.5964784984449261,1,0.0,0
20,3,-0.5964784984449261,1,0.0,0
21,3,1.8689659617941021,4,0.0,0
27,3,-0.5964784984449261,1,0.0,0
28,3,-0.5964784984449261,2,-0.010000000000000009,1
38,3,-0.5964784984449261,2,0.0,0
41,3,-0.5964784984449261,3,0.010000000000000009,0
46,3,-0.5964784984449261,3,0.0,0
9,3,-0.5964784984449261,4,-0.010000000000000009,1
11,4,-0.5815532016404754,1,0.050000000000000044,0
23,4,1.817353755126489,4,0.0,0
3,4,-0.5815532016404754,1,0.0,0
30,4,0.6179002767430072,3,0.010000000000000009,0
31,4,-0.5815532016404754,2,0.0,0
49,4,0.6179002767430072,4,0.0,0
8,4,-0.5815532016404754,2,0.029999999999999916,0
