subject_id,source_fold,step,checkpoint,finite_decision_change,predicted_decision_damage_finite
1,0,0,t0,0.01,0.0
1,0,1,t1,-0.01,0.01
1,0,2,t2,0.0,0.0
1,0,3,t3,0.0,0.0
1,0,4,t4,0.0,0.0
10,0,0,t0,0.01,0.0
10,0,1,t1,0.0,0.0
10,0,2,t2,0.0,0.0
10,0,3,t3,0.019999999999999997,0.0
10,0,4,t4,0.0,0.0
11,0,0,t0,0.0,0.0
11,0,1,t1,0.02,0.0
11,0,2,t2,0.0,0.0
11,0,3,t3,0.0,0.0
11,0,4,t4,0.02,0.0
14,0,0,t0,0.0,0.0
14,0,1,t1,0.0,0.0
14,0,2,t2,0.0,0.0
14,0,3,t3,0.01,0.0
14,0,4,t4,0.0,0.0
15,0,0,t0,0.0,0.0
15,0,1,t1,0.0,0.0
15,0,2,t2,0.0,0.0
15,0,3,t3,0.0,0.0
15,0,4,t4,0.0,0.0
16,0,0,t0,0.0,0.0
16,0,1,t1,0.0,0.0
16,0,2,t2,0.0,0.0
16,0,3,t3,0.0,0.0
16,0,4,t4,0.0,0.0
19,0,0,t0,0.0,0.0
19,0,1,t1,0.0,0.0
19,0,2,t2,0.0,0.0
19,0,3,t3,0.0,0.0
19,0,4,t4,0.02,0.0
2,0,0,t0,0.0,0.0
2,0,1,t1,0.01,0.0
2,0,2,t2,0.0,0.0
2,0,3,t3,0.01,0.0
2,0,4,t4,0.02,0.0
20,0,0,t0,0.0,0.0
20,0,1,t1,0.0,0.0
20,0,2,t2,0.0,0.0
20,0,3,t3,0.0,0.0
20,0,4,t4,0.01,0.0
21,0,0,t0,0.02,0.0
21,0,1,t1,0.0,0.0
21,0,2,t2,-0.02,0.02
21,0,3,t3,0.0,0.0
21,0,4,t4,0.0,0.0
22,0,0,t0,0.0,0.0
22,0,1,t1,0.02,0.0
22,0,2,t2,0.0,0.0
22,0,3,t3,0.009999999999999998,0.0
22,0,4,t4,0.010000000000000002,0.0
23,0,0,t0,0.01,0.0
23,0,1,t1,0.0,0.0
23,0,2,t2,0.0,0.0
23,0,3,t3,0.0,0.0
23,0,4,t4,-0.01,0.01
26,0,0,t0,0.01,0.0
26,0,1,t1,0.0,0.0
26,0,2,t2,0.0,0.0
26,0,3,t3,0.0,0.0
26,0,4,t4,0.01,0.0
27,0,0,t0,0.0,0.0
27,0,1,t1,0.0,0.0
27,0,2,t2,0.0,0.0
27,0,3,t3,0.0,0.0
