model,seed,subject,session,checkpoints_aggregated,BA,Macro_F1,trials_per_checkpoint
EEGNet,0,sub-003,ses-01,5,0.9475,0.9474702814555991,160
EEGNet,0,sub-003,ses-02,5,0.9090175605125772,0.9084111028927842,184
EEGNet,0,sub-015,ses-01,5,0.8712500000000001,0.87061758776115,160
EEGNet,0,sub-015,ses-02,5,0.8991060025542783,0.8976039429228597,168
EEGNet,0,sub-017,ses-01,5,0.9512499999999999,0.9511329692082737,160
EEGNet,0,sub-017,ses-02,5,0.946376811594203,0.9462652311652395,138
EEGNet,0,sub-018,ses-01,5,1.0,1.0,160
EEGNet,0,sub-018,ses-02,5,0.9680419580419581,0.9679348380759241,131
EEGNet,0,sub-022,ses-01,5,0.87375,0.8735684711428473,160
EEGNet,0,sub-022,ses-02,5,0.8939393939393941,0.8938118742147353,66
EEGNet,0,sub-024,ses-01,5,0.98125,0.9812487791576189,160
EEGNet,0,sub-024,ses-02,5,0.8673645320197043,0.8663976327862756,57
EEGNet,0,sub-025,ses-01,5,0.9775,0.9774973629035373,160
EEGNet,0,sub-025,ses-02,5,0.9593582887700535,0.9559763549538143,78
EEGNet,0,sub-027,ses-01,5,0.9712499999999998,0.9712395946687108,160
EEGNet,0,sub-027,ses-02,5,0.9547619047619047,0.9547006680487102,84
EEGNet,0,sub-032,ses-01,5,0.9549999999999998,0.9549509023384832,160
EEGNet,0,sub-032,ses-02,5,0.9538461538461538,0.9552068965517242,54
EEGNet,0,sub-037,ses-01,5,0.9412499999999999,0.9412329509903505,160
EEGNet,0,sub-037,ses-02,5,0.8785575048732944,0.8717709571391401,46
EEGNet,0,sub-046,ses-01,5,0.8887500000000002,0.8883572389523309,160
EEGNet,0,sub-046,ses-02,5,0.9238095238095239,0.9237771115252681,42
EEGNet,0,sub-056,ses-01,5,0.9137500000000001,0.9134443161463336,160
EEGNet,0,sub-056,ses-02,5,0.8914473684210528,0.8835394214407261,43
EEGNet,0,sub-063,ses-01,5,0.98375,0.9837495605297082,160
EEGNet,0,sub-063,ses-02,5,0.9579716024340769,0.9581084562646554,172
EEGNet,0,sub-077,ses-01,5,0.7300000000000001,0.7275213879392262,160
EEGNet,0,sub-077,ses-02,5,0.9263636363636364,0.9267750194016932,63
EEGNet,0,sub-078,ses-01,5,0.7525000000000001,0.7495778270646508,160
EEGNet,0,sub-078,ses-02,5,0.9675925925925928,0.9672727272727272,55
EEGNet,0,sub-079,ses-01,5,0.9199999999999999,0.9199842706375367,160
EEGNet,0,sub-079,ses-02,5,0.9046511627906977,0.9046055335308288,86
EEGNet,0,sub-084,ses-01,5,0.97875,0.9787490721835986,160
EEGNet,0,sub-084,ses-02,5,0.9067000385059684,0.9073784053223577,102
EEGNet,0,sub-091,ses-01,5,0.8262499999999999,0.8247572559852847,160
EEGNet,0,sub-091,ses-02,5,0.9518583042973287,0.9518030309390874,83
SIRE-EEG,0,sub-003,ses-01,5,0.9262499999999999,0.9261137181284077,160
SIRE-EEG,0,sub-003,ses-02,5,0.9222591362126245,0.9215145177585192,184
SIRE-EEG,0,sub-015,ses-01,5,0.8749999999999998,0.8744076511045915,160
SIRE-EEG,0,sub-015,ses-02,5,0.8981694338016177,0.8975484280511541,168
SIRE-EEG,0,sub-017,ses-01,5,0.9425000000000001,0.9422948190889301,160
SIRE-EEG,0,sub-017,ses-02,5,0.9376811594202898,0.9375761630250619,138
SIRE-EEG,0,sub-018,ses-01,5,0.9974999999999999,0.9974999023399352,160
SIRE-EEG,0,sub-018,ses-02,5,0.9467599067599067,0.946521571111281,131
SIRE-EEG,0,sub-022,ses-01,5,0.89,0.8896324823444628,160
SIRE-EEG,0,sub-022,ses-02,5,0.906060606060606,0.9060390240795201,66
SIRE-EEG,0,sub-024,ses-01,5,0.98375,0.9837490721378133,160
SIRE-EEG,0,sub-024,ses-02,5,0.9019704433497537,0.9017371013741251,57
SIRE-EEG,0,sub-025,ses-01,5,0.9875,0.9874986326217362,160
SIRE-EEG,0,sub-025,ses-02,5,0.9287433155080214,0.924957770284293,78
SIRE-EEG,0,sub-027,ses-01,5,0.95875,0.958739300955307,160
SIRE-EEG,0,sub-027,ses-02,5,0.9238095238095239,0.9238000742465662,84
SIRE-EEG,0,sub-032,ses-01,5,0.95875,0.9587185729577582,160
SIRE-EEG,0,sub-032,ses-02,5,0.9692307692307693,0.9701810832549207,54
SIRE-EEG,0,sub-037,ses-01,5,0.91875,0.9186445147826412,160
SIRE-EEG,0,sub-037,ses-02,5,0.8500974658869396,0.8449657319120787,46
SIRE-EEG,0,sub-046,ses-01,5,0.8625,0.8623538686916712,160
SIRE-EEG,0,sub-046,ses-02,5,0.9380952380952381,0.9377826940412752,42
SIRE-EEG,0,sub-056,ses-01,5,0.9075000000000001,0.9070976820758576,160
SIRE-EEG,0,sub-056,ses-02,5,0.9125,0.9022399098349183,43
SIRE-EEG,0,sub-063,ses-01,5,0.9887500000000001,0.9887491697978781,160
SIRE-EEG,0,sub-063,ses-02,5,0.9439621365787694,0.9441248766309135,172
SIRE-EEG,0,sub-077,ses-01,5,0.76875,0.7672728466071643,160
