row_type,population,model,metric,mean,CI95_low,CI95_high,subjects,future BA,future Macro-F1,WS-BA
model,final_heldout,EEGNet,,,,,18,0.9255980188960221,0.9245188446915863,0.8911441603650915
model,final_heldout,SIRE-EEG,,,,,18,0.9231561570749628,0.9220158189907137,0.8837198134436062
paired_SIRE_minus_EEGNet,final_heldout,SIRE-EEG minus EEGNet,future BA,-0.0024418618210595,-0.011686812405905175,0.006845516482566863,18,,,
paired_SIRE_minus_EEGNet,final_heldout,SIRE-EEG minus EEGNet,WS-BA,-0.007424346921485297,-0.019772630666163124,0.004441522359143199,18,,,
model,outer_development,EEGNet,,,,,75,0.9130411897192336,0.9119480637998694,0.8816445732726712
model,outer_development,SIRE-EEG,,,,,75,0.9104955222138833,0.9091943167220135,0.8790282333392021
paired_SIRE_minus_EEGNet,outer_development,SIRE-EEG minus EEGNet,future BA,-0.002545667505350262,-0.008543743767766824,0.0034206928650220366,75,,,
paired_SIRE_minus_EEGNet,outer_development,SIRE-EEG minus EEGNet,WS-BA,-0.0026163399334688453,-0.00922666880421107,0.004121025087144737,75,,,
