model,seed,fold,subject,session,selected_epoch,checkpoint_sha256,BA,Macro_F1,trials
EEGNet,0,0,sub-003,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.9625,0.9625,160
EEGNet,0,0,sub-003,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.9191979117228286,0.9182827535159142,184
EEGNet,0,0,sub-015,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.875,0.8745098039215686,160
EEGNet,0,0,sub-015,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.8767560664112388,0.8749601275917065,168
EEGNet,0,0,sub-017,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.95,0.949874686716792,160
EEGNet,0,0,sub-017,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.9420289855072463,0.9419191919191919,138
EEGNet,0,0,sub-018,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,1.0,1.0,160
EEGNet,0,0,sub-018,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.9620046620046621,0.9618231625575566,131
EEGNet,0,0,sub-022,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.89375,0.89354624085163,160
EEGNet,0,0,sub-022,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.8636363636363636,0.8636050516647531,66
EEGNet,0,0,sub-024,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.98125,0.9812492675495137,160
EEGNet,0,0,sub-024,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.8596059113300492,0.8596059113300492,57
EEGNet,0,0,sub-025,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.98125,0.9812492675495137,160
EEGNet,0,0,sub-025,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.9772727272727273,0.9740863787375416,78
EEGNet,0,0,sub-027,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.96875,0.9687390098081357,160
EEGNet,0,0,sub-027,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.9523809523809523,0.9523539421440725,84
EEGNet,0,0,sub-032,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.9437500000000001,0.9436421275096865,160
EEGNet,0,0,sub-032,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.9230769230769231,0.925,54
EEGNet,0,0,sub-037,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.9375,0.9374609130706691,160
EEGNet,0,0,sub-037,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.8918128654970761,0.8887276245766812,46
