model,seed,fold,subject,session,selected_epoch,checkpoint_sha256,BA,Macro_F1,trials
EEGNet,0,0,sub-006,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.98125,0.9812492675495137,160
EEGNet,0,0,sub-006,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.931422660338323,0.9283963320521744,182
EEGNet,0,0,sub-007,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.875,0.8749804656977653,160
EEGNet,0,0,sub-007,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.9772948033025741,0.9765411893071467,129
EEGNet,0,0,sub-010,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.89375,0.89354624085163,160
EEGNet,0,0,sub-010,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.8775551644781372,0.8777044184865413,172
EEGNet,0,0,sub-021,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.775,0.7668016194331984,160
EEGNet,0,0,sub-021,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.6993548387096775,0.7005347593582887,56
EEGNet,0,0,sub-042,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.9815548780487805,0.9814807758259345,162
EEGNet,0,0,sub-042,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.8658536585365854,0.8656738644825019,82
EEGNet,0,0,sub-048,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.95,0.9499687304565353,160
EEGNet,0,0,sub-048,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.8666666666666667,0.8461538461538461,26
EEGNet,0,0,sub-052,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.825,0.8202535708554004,160
EEGNet,0,0,sub-052,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.8214285714285714,0.8214285714285714,45
EEGNet,0,0,sub-059,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.95625,0.9562482909488652,160
EEGNet,0,0,sub-059,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.9326923076923077,0.9320754716981132,162
EEGNet,0,0,sub-061,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.9125,0.9118249094630766,160
EEGNet,0,0,sub-061,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.905982905982906,0.9056603773584906,53
EEGNet,0,0,sub-073,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.99375,0.9937497558498378,160
EEGNet,0,0,sub-073,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.9335699797160244,0.9357142857142857,63
EEGNet,0,0,sub-076,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.91875,0.9186705767350929,160
EEGNet,0,0,sub-076,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.9446324951644101,0.9449485783424076,91
EEGNet,0,0,sub-081,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.9625,0.9624471913628541,160
EEGNet,0,0,sub-081,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.8517573696145124,0.8542857142857143,85
EEGNet,0,0,sub-083,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.96875,0.9687194525904204,160
EEGNet,0,0,sub-083,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.9652777777777778,0.9646275488972118,85
EEGNet,0,0,sub-090,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.96875,0.9687194525904204,160
EEGNet,0,0,sub-090,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.9027891714520099,0.8989795918367347,99
EEGNet,0,0,sub-092,ses-01,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.8875,0.8860579205570501,160
EEGNet,0,0,sub-092,ses-02,14,8dd738e1d7efc58864d01144a57bed4be533f71e3eea6a5678b1c04c74979a8c,0.8784053156146179,0.8717105263157895,78
SIRE-EEG,0,0,sub-006,ses-01,14,cc217856587eeba6b2648e17a04c657398b9452aec658dddbbcd5dd02558fa6a,0.9625,0.9625,160
SIRE-EEG,0,0,sub-006,ses-02,14,cc217856587eeba6b2648e17a04c657398b9452aec658dddbbcd5dd02558fa6a,0.9213216502373129,0.9174603174603174,182
SIRE-EEG,0,0,sub-007,ses-01,14,cc217856587eeba6b2648e17a04c657398b9452aec658dddbbcd5dd02558fa6a,0.86875,0.8687448728465956,160
SIRE-EEG,0,0,sub-007,ses-02,14,cc217856587eeba6b2648e17a04c657398b9452aec658dddbbcd5dd02558fa6a,0.9702525497814473,0.9687651331719128,129
SIRE-EEG,0,0,sub-010,ses-01,14,cc217856587eeba6b2648e17a04c657398b9452aec658dddbbcd5dd02558fa6a,0.88125,0.8811339198435972,160
SIRE-EEG,0,0,sub-010,ses-02,14,cc217856587eeba6b2648e17a04c657398b9452aec658dddbbcd5dd02558fa6a,0.8707188303776905,0.8714673913043478,172
SIRE-EEG,0,0,sub-021,ses-01,14,cc217856587eeba6b2648e17a04c657398b9452aec658dddbbcd5dd02558fa6a,0.81875,0.8161575339751972,160
SIRE-EEG,0,0,sub-021,ses-02,14,cc217856587eeba6b2648e17a04c657398b9452aec658dddbbcd5dd02558fa6a,0.7393548387096774,0.7417654808959157,56
SIRE-EEG,0,0,sub-042,ses-01,14,cc217856587eeba6b2648e17a04c657398b9452aec658dddbbcd5dd02558fa6a,0.9815548780487805,0.9814807758259345,162
SIRE-EEG,0,0,sub-042,ses-02,14,cc217856587eeba6b2648e17a04c657398b9452aec658dddbbcd5dd02558fa6a,0.8902439024390244,0.8900967982129561,82
SIRE-EEG,0,0,sub-048,ses-01,14,cc217856587eeba6b2648e17a04c657398b9452aec658dddbbcd5dd02558fa6a,0.9624999999999999,0.9624941397093296,160
SIRE-EEG,0,0,sub-048,ses-02,14,cc217856587eeba6b2648e17a04c657398b9452aec658dddbbcd5dd02558fa6a,0.8212121212121212,0.8074074074074074,26
SIRE-EEG,0,0,sub-052,ses-01,14,cc217856587eeba6b2648e17a04c657398b9452aec658dddbbcd5dd02558fa6a,0.7875000000000001,0.7807865892972277,160
SIRE-EEG,0,0,sub-052,ses-02,14,cc217856587eeba6b2648e17a04c657398b9452aec658dddbbcd5dd02558fa6a,0.8452380952380952,0.8441365660564077,45
SIRE-EEG,0,0,sub-059,ses-01,14,cc217856587eeba6b2648e17a04c657398b9452aec658dddbbcd5dd02558fa6a,0.96875,0.9687487792491895,160
