fold,seed,mapping,n_directions,pearson,spearman
0,0,source_U->future_CE,6,0.8869529685411078,0.942857142857143
0,0,source_D->future_D,6,0.9853978328522185,0.942857142857143
0,0,source_P->future_BA,6,0.7686001578019874,0.6571428571428573
0,1,source_U->future_CE,4,0.990857381336385,1.0
0,1,source_D->future_D,4,0.9989398414458536,1.0
0,1,source_P->future_BA,4,0.9518978407637099,0.7999999999999999
0,2,source_U->future_CE,7,0.9681616692369744,0.7857142857142859
0,2,source_D->future_D,7,0.9993931607913138,1.0
0,2,source_P->future_BA,7,0.7934328261762713,0.5357142857142858
1,0,source_U->future_CE,8,0.984343252683882,0.880952380952381
1,0,source_D->future_D,8,0.9959672353592737,1.0
1,0,source_P->future_BA,8,0.8814058190281303,0.8503146459584139
1,1,source_U->future_CE,6,0.9895098392355118,0.8285714285714287
1,1,source_D->future_D,6,0.9979434917735297,1.0
1,1,source_P->future_BA,6,0.8986332686867137,0.4285714285714286
1,2,source_U->future_CE,5,0.9903905539882809,0.7
1,2,source_D->future_D,5,0.9984749831195151,0.9999999999999999
1,2,source_P->future_BA,5,0.7828962825945726,0.7
2,0,source_U->future_CE,5,0.6475163001313325,0.39999999999999997
2,0,source_D->future_D,5,0.9723448629693299,0.9999999999999999
2,0,source_P->future_BA,5,0.6621083352492838,0.3
2,1,source_U->future_CE,6,0.9825634382800948,0.7714285714285715
2,1,source_D->future_D,6,0.9984418546582696,0.942857142857143
2,1,source_P->future_BA,6,0.7201080635592937,0.8285714285714287
2,2,source_U->future_CE,6,0.9279243683590248,0.7714285714285715
2,2,source_D->future_D,6,0.9991545383166563,1.0
2,2,source_P->future_BA,6,0.6590994495317026,0.6
3,0,source_U->future_CE,7,0.787233336233452,-0.10714285714285716
3,0,source_D->future_D,7,0.9922771375039633,0.9285714285714288
3,0,source_P->future_BA,7,0.4277537902587167,0.5
3,1,source_U->future_CE,6,0.9047037350878492,0.942857142857143
3,1,source_D->future_D,6,0.9985563616632241,1.0
3,1,source_P->future_BA,6,0.9314632484235521,0.8285714285714287
3,2,source_U->future_CE,6,0.9700497807090843,0.7714285714285715
3,2,source_D->future_D,6,0.9968189984998925,1.0
3,2,source_P->future_BA,6,0.7110234440951487,0.6
4,0,source_U->future_CE,4,0.5600405827426527,0.7999999999999999
4,0,source_D->future_D,4,0.9981011818470241,1.0
4,0,source_P->future_BA,4,0.6117793238180358,0.39999999999999997
4,1,source_U->future_CE,5,0.9774365153606114,0.8999999999999998
4,1,source_D->future_D,5,0.9996082054306749,0.9999999999999999
4,1,source_P->future_BA,5,0.7644736172724642,0.8999999999999998
4,2,source_U->future_CE,4,0.9926840158997569,1.0
4,2,source_D->future_D,4,0.9981513782322051,1.0
4,2,source_P->future_BA,4,0.5935221488945019,0.39999999999999997
