source,future,mapping_status,n_folds,n_runs,n_run_directions,mean,mean_ci95_l,mean_ci95_u,pearson,spearman,pearson_ci95_l,pearson_ci95_u,spearman_ci95_l,spearman_ci95_u
source_U_repaired,future_CE_erasure_harm,POSITIVE,5,15,85,0.0567612467253659,0.04297816505916343,0.07545774254711368,0.93763572200275,0.8355090873558726,0.7934159653614926,0.9465924325238979,0.57814842521516,0.8828515262269903
source_D_finite_repaired,future_D_finite,POSITIVE,5,15,85,0.7130240296921881,0.6228097457932061,0.8193260016180731,0.9924564962983401,0.9914989251514559,0.9793915417065657,0.9938286498132295,0.9628717946595389,0.9906571086035251
source_P_repaired,future_BA_erasure_harm,POSITIVE,5,15,85,0.028334841628959252,0.019489449404761897,0.03933066964285711,0.6641425547405025,0.732654208109173,0.4899275319460707,0.7447240094028572,0.4607391837013227,0.800682658155353
