fold,seed,subject_id,basis,basis_column,certificate_direction,margin_mean_S1,margin_rms_S1,class0_margin_mean_S1,class1_margin_mean_S1,ba_harm_S1,ce_harm_S1,margin_mean_S2,margin_rms_S2,class0_margin_mean_S2,class1_margin_mean_S2,ba_harm_S2,ce_harm_S2
0,0,15,PUD,0,3,0.2700744867324829,1.0511802434921265,-0.2898140847682953,0.8299630880355835,0.03,0.0677961389615459,0.1337847858667373,1.009962558746338,-0.1823269724845886,0.4498965740203857,0.0999999999999999,0.1267399837925168
0,0,15,PUD,1,5,0.0614468306303024,1.6798462867736816,-1.2677185535430908,1.3906118869781494,0.01,0.0798770384389998,0.0607701987028121,1.1492551565170288,-0.187444120645523,0.3089845180511474,0.0499999999999999,0.0676968020324421
0,0,15,PUD,2,6,-0.0653260573744773,0.6398155093193054,-0.285852313041687,0.1552002280950546,0.01,0.0090179574307018,-0.1327599138021469,0.7598494291305542,-0.3074563443660736,0.0419365279376506,0.0599999999999999,0.0415872249112725
0,0,15,PUD,3,7,0.0970626547932624,0.3934497833251953,-0.0498595423996448,0.2439848929643631,0.01,0.0058530096051162,-0.1455364972352981,0.409089595079422,-0.3054607212543487,0.0143877053633332,0.02,0.0386462282924943
0,0,15,PUD,4,9,0.1488720774650573,0.949231207370758,-0.4056821465492248,0.7034263014793396,0.02,0.0351007699734377,0.0970302522182464,1.0392149686813354,-0.3851262927055359,0.5791867971420288,0.13,0.1523730497903389
0,0,15,PUD,5,11,0.0033577191643416,0.3010841310024261,-0.1094265729188919,0.1161420121788978,0.0,0.0046844236782402,-0.075085736811161,0.3967645466327667,-0.0758478716015815,-0.0743235796689987,-0.01,-0.0126329481242697
0,0,19,PUD,0,3,-0.0608370639383792,1.0460166931152344,-0.5209357738494873,0.3992616236209869,0.0199999999999999,0.1116166838192355,-0.0943764522671699,1.1327011585235596,-0.5175368785858154,0.3287839889526367,0.0499999999999999,0.101524429853306
0,0,19,PUD,1,5,-0.3504050076007843,0.8805012702941895,-0.5310915112495422,-0.1697185635566711,-0.02,-0.0436935098456245,-0.0762003734707832,0.927437961101532,-0.1975681632757187,0.0451673977077007,0.01,0.0390907163199102
0,0,19,PUD,2,6,-0.0907596945762634,0.6524026393890381,-0.1508632600307464,-0.0306561365723609,-0.05,-0.0145143429498695,0.0406234748661518,0.6474866271018982,-0.1890907436609268,0.270337700843811,0.02,0.0509216759942754
0,0,19,PUD,3,7,0.0667206868529319,0.3999145328998565,-0.0246261078864336,0.1580674797296524,0.0,0.0409213647880005,-0.0221110675483942,0.4485913515090942,-0.0596428550779819,0.0154207227751612,-0.01,0.0144058368660648
0,0,19,PUD,4,9,-0.7676559686660767,1.2187221050262451,-1.0190398693084717,-0.5162721872329712,-1.1102230246251563e-16,-0.0971988525365026,-0.2167989015579223,1.0448434352874756,-0.5006481409072876,0.0670503228902816,-0.02,0.0493069479711562
0,0,19,PUD,5,11,-0.0805843323469162,0.3430301547050476,-0.189053788781166,0.0278851240873336,0.0099999999999998,0.0136085923162394,-0.1130675375461578,0.3984368145465851,-0.145657017827034,-0.0804780796170234,0.0,-0.0101460234194182
0,0,32,PUD,0,3,0.7522997260093689,1.805453181266785,0.6391122341156006,0.865487277507782,0.0599999999999999,0.2647801543671882,0.157491534948349,1.265369176864624,-0.1373096108436584,0.4522926807403564,0.0099999999999998,0.1125124301784197
0,0,32,PUD,1,5,-0.0917416736483573,1.2413469552993774,-0.0682414695620536,-0.1152418404817581,-0.01,0.0161075008185793,0.1307823061943054,1.2678232192993164,0.0045631215907633,0.2570014894008636,0.0399999999999999,0.0435523205958099
0,0,32,PUD,2,6,-0.1704673618078231,1.0270843505859375,-0.2864128053188324,-0.0545219406485557,-1.1102230246251563e-16,0.0111383257962731,-0.3156486749649048,1.0226037502288818,-0.4009557068347931,-0.2303417325019836,0.0499999999999998,0.06363033303523
0,0,32,PUD,3,7,-0.3148345351219177,0.7964469790458679,-0.2376751005649566,-0.3919940292835235,0.02,0.0194316423658139,-0.1578214019536972,0.583469808101654,-0.060154553502798,-0.255488246679306,0.0199999999999999,-0.0694448414382938
0,0,32,PUD,4,9,0.1770221292972564,1.0704666376113892,0.1307555586099624,0.2232886850833892,-1.1102230246251563e-16,-0.0157806879883352,-0.1699402630329132,1.0062980651855469,-0.2575471699237823,-0.0823333039879798,-1.1102230246251563e-16,0.064175150452582
0,0,32,PUD,5,11,0.0505098067224025,0.3859389126300812,0.0352924093604087,0.0657271966338157,0.0099999999999998,0.0241015248739553,0.071675069630146,0.3547074794769287,0.0612219274044036,0.0821282118558883,0.0099999999999998,0.0013393019917331
0,0,33,PUD,0,3,-0.1803124547004699,1.307705640792847,-0.9114009737968444,0.5507760643959045,0.0999999999999999,0.1833036033612071,-0.6327601671218872,1.4231977462768557,-1.0911442041397097,-0.1743760108947754,0.0,0.0265388294869053
0,0,33,PUD,1,5,0.2382654994726181,0.9365622401237488,0.0562249943614006,0.4203060567378998,0.03,-0.0185081737071816,0.3489235043525696,1.2559832334518433,-0.0548409074544906,0.752687931060791,0.06,0.1931022977031318
0,0,33,PUD,2,6,0.0985848158597946,0.8347711563110352,-0.2586364448070526,0.455806016921997,0.01,0.0192362635698729,-0.3292836248874664,0.8475395441055298,-0.5664785504341125,-0.0920887738466262,0.01,0.0174956040329438
0,0,33,PUD,3,7,0.1315715909004211,0.510337233543396,-0.0176477562636137,0.2807909250259399,0.02,-0.0012188491934366,-0.1000287756323814,0.5110113620758057,-0.2481835782527923,0.0481260381639003,0.01,0.0358799295693169
0,0,33,PUD,4,9,0.2734667062759399,1.017096757888794,-0.1355593651533126,0.682492733001709,0.0399999999999999,0.0278196546379173,0.1243306994438171,1.1220818758010864,-0.0887013375759124,0.3373627364635467,0.01,0.0497378296135583
0,0,33,PUD,5,11,-0.0116770016029477,0.3312871158123016,-0.1367253363132476,0.1133713349699974,0.03,0.0312839087624789,0.0210818666964769,0.3979297876358032,-0.0471152253448963,0.0892789587378501,-0.01,-0.0042932186132806
0,0,41,PUD,0,3,-0.0758971646428108,1.1559021472930908,-0.3144779205322265,0.1626835763454437,0.05,0.0543944514766897,-0.0656412616372108,0.9725992679595948,-0.4684738516807556,0.3371912240982055,0.07,0.0816234311372056
0,0,41,PUD,1,5,0.0193161554634571,0.99322772026062,-0.2375887334346771,0.2762210369110107,-0.0499999999999999,0.0249224384636766,0.0774330049753189,1.2668591737747192,-0.2168408185243606,0.3717068433761596,0.02,0.0307618039736541
0,0,41,PUD,2,6,0.3138138651847839,0.7234465479850769,0.1460126191377639,0.4816151559352875,0.02,0.0918678113714874,0.2879193723201751,0.9939262866973876,0.0487103462219238,0.5271283984184265,0.08,0.0827993985561028
0,0,41,PUD,3,7,0.2901719510555267,0.5120661854743958,0.1964623034000396,0.3838815689086914,0.0,0.054402787210629,0.2142692357301712,0.517433226108551,0.0929185450077056,0.3356199264526367,0.05,0.0649450084458382
0,0,41,PUD,4,9,-0.5112416744232178,1.066547989845276,-0.676826536655426,-0.3456567823886871,0.06,0.0334027032815222,-0.6130905151367188,1.2576221227645874,-0.7691714763641357,-0.4570097029209137,0.04,0.0405997392014172
0,0,41,PUD,5,11,-0.0877845287322998,0.4140680730342865,-0.1528098583221435,-0.0227592103183269,-0.01,0.0112146972331214,-0.0007201997796073,0.4053650796413421,-0.0064787711016833,0.0050383768975734,0.0,0.0154287536903602
0,0,46,PUD,0,3,0.2174906581640243,1.3308401107788086,0.1206853613257408,0.314296007156372,0.03,0.0775782787732619,0.2936961650848388,1.1136491298675537,0.163411408662796,0.4239808917045593,-0.0199999999999999,-0.0725658305315501
0,0,46,PUD,1,5,-0.1142412349581718,1.3577572107315063,-0.1461440026760101,-0.0823385417461395,-0.0100000000000001,0.0006114876652395,-0.0938226878643035,1.184594750404358,-0.447104275226593,0.2594588994979858,0.03,0.0586422175828802
0,0,46,PUD,2,6,-0.1438811272382736,0.9184715747833252,-0.3174949884414673,0.0297327525913715,0.0299999999999999,0.0580592428864257,-0.1677383184432983,0.927388608455658,-0.2324771881103515,-0.1029994562268257,-0.0199999999999999,-0.0270050203582022
0,0,46,PUD,3,7,0.0781227648258209,0.5315069556236267,0.0550437867641449,0.1012017503380775,0.0,0.0343731507205373,0.1846962124109268,0.52691650390625,0.1271482110023498,0.2422442287206649,-0.0199999999999999,0.0310265966506483
0,0,46,PUD,4,9,-0.2661777138710022,1.183964729309082,-0.3458185493946075,-0.1865368634462356,0.0299999999999999,0.009625208079167,-0.2042329758405685,1.1133060455322266,-0.2880218029022217,-0.1204441636800766,-0.0399999999999998,0.006989549712709
0,0,46,PUD,5,11,0.019156839698553,0.4527225792407989,0.0950180068612098,-0.0567043274641037,-0.01,-0.0616063607409986,-0.0215418189764022,0.3347800374031067,0.0023721212055534,-0.0454557687044143,1.1102230246251563e-16,-0.0099374630102887
0,0,47,PUD,0,3,-0.0622285492718219,1.1917173862457275,-0.6972953081130981,0.572838306427002,0.0599999999999999,0.0788107863112544,-0.1903186440467834,1.2111101150512695,-0.8488922715187073,0.4682550728321075,0.04,0.1194536444045166
0,0,47,PUD,1,5,0.3879356682300567,1.683496356010437,-0.9894651770591736,1.765336513519287,0.1399999999999999,0.2591273389734242,0.084372378885746,1.2743773460388184,-0.5295463800430298,0.6982910633087158,0.0599999999999999,0.2062663703859838
0,0,47,PUD,2,6,-0.4123646914958954,1.0821728706359863,-0.5197097659111023,-0.3050196468830108,0.03,0.0030912448598417,-0.099886380136013,0.9660767912864684,-0.1985607147216797,-0.0012120597530156,0.02,0.0180466335810339
0,0,47,PUD,3,7,0.0645715817809104,0.5046337246894836,-0.0691799223423004,0.198323056101799,0.02,0.0168510483804801,0.0563423633575439,0.552450954914093,-0.1974527388811111,0.3101374506950378,0.01,0.061005232642064
0,0,47,PUD,4,9,-0.400137722492218,1.0561524629592896,-0.5638819336891174,-0.2363936454057693,0.04,0.0516715701982641,-0.598970890045166,1.279239058494568,-0.6754935383796692,-0.5224481225013733,-0.0299999999999999,-0.0125628448256024
0,0,47,PUD,5,11,0.0266888421028852,0.3881551325321197,0.0354265607893466,0.017951127141714,0.03,0.0044815206542051,0.0408590547740459,0.4953978359699249,-0.0435907654464244,0.125308871269226,0.01,0.0195397957605313
0,0,49,PUD,0,3,-0.5327072739601135,1.3649553060531616,-0.860114574432373,-0.2053000330924987,0.05,0.1125437609562446,-0.338588535785675,1.3286253213882446,-0.7303548455238342,0.053177710622549,0.03,0.080969240171251
0,0,49,PUD,1,5,0.3132190406322479,1.357479691505432,-0.0485805049538612,0.6750185489654541,0.02,0.1544448912337092,0.1798804104328155,1.27419114112854,-0.2206064015626907,0.5803672075271606,0.06,0.1435590726732275
0,0,49,PUD,2,6,0.0669319704174995,0.9516463875770568,-0.1445494443178177,0.2784133851528168,0.02,0.060917273734395,-0.222660407423973,0.8766347169876099,-0.4589055180549621,0.0135847376659512,0.03,0.0685025678112738
0,0,49,PUD,3,7,-0.1454883366823196,0.536191999912262,-0.0985090062022209,-0.1924676448106765,-0.0399999999999999,-0.01562748160908,-0.1727805286645889,0.4803976714611053,-0.2134080529212951,-0.1321529895067215,0.0,0.0241306042111985
0,0,49,PUD,4,9,0.3246609568595886,1.1631271839141846,-0.0209516044706106,0.6702734231948853,0.09,0.128202301748849,0.4590752422809601,0.9912800192832948,0.227123275399208,0.6910271644592285,1.1102230246251563e-16,0.0939397003227844
0,0,49,PUD,5,11,0.0566097497940063,0.4773733019828796,0.0220640525221824,0.0911554396152496,0.02,0.02411569894206,-0.1229413598775863,0.3719990849494934,-0.1778952479362487,-0.0679874569177627,-0.01,-0.0085891943356024
0,1,15,PUD,0,3,0.4138460159301758,2.075812578201294,-1.200199842453003,2.0278921127319336,-0.01,0.0617557958135137,0.0777445957064628,1.0850754976272583,-0.2082578092813491,0.3637470304965973,0.06,0.0302605877596947
0,1,15,PUD,1,6,0.2434965372085571,2.117663621902466,-1.4755325317382812,1.9625258445739744,0.02,0.1314054085587536,-0.2052764743566513,1.4064443111419678,-0.9573694467544556,0.5468164682388306,0.12,0.1396631849194477
0,1,15,PUD,2,7,0.1229249015450477,0.31981161236763,0.0416516363620758,0.2041981518268585,-0.01,-0.0139975353356484,0.0777557343244552,0.3834736943244934,0.0499909371137619,0.1055205166339874,-0.01,0.0043039754082634
0,1,15,PUD,3,17,0.0162341855466365,0.3307493925094604,-0.0404575318098068,0.0729259103536605,-0.01,-0.0167699527983769,0.0604380331933498,0.4601729214191437,-0.0702938735485076,0.1911699622869491,0.0599999999999999,0.0402972136328045
0,1,19,PUD,0,3,-0.3266558945178985,1.1064600944519043,-0.3291257917881012,-0.3241860270500183,-0.0499999999999999,-0.0903637980359942,-0.169787049293518,1.146333932876587,-0.4627792835235595,0.123205229640007,0.0,0.04940087011989
0,1,19,PUD,1,6,-0.7268300652503967,1.5452070236206057,-1.534119725227356,0.0804593935608863,0.05,0.0660015397601883,-0.2014682441949844,1.3992514610290527,-0.6904545426368713,0.2875180840492248,0.0499999999999999,0.0533354844293174
0,1,19,PUD,2,7,-0.0301433820277452,0.2796615064144134,-0.033137172460556,-0.027149586006999,-0.02,0.0111631433033251,-0.0540860146284103,0.2989508509635925,-0.0393947586417198,-0.0687772706151008,0.03,0.0033877825761639
0,1,19,PUD,3,17,-0.1495159268379211,0.4103105962276459,-0.1735365539789199,-0.1254953444004058,-0.02,-0.0207309310200177,-0.0825330764055252,0.4502281546592712,-0.0765231549739837,-0.088543027639389,0.01,0.0016629351159815
0,1,32,PUD,0,3,-0.1465997993946075,1.623246431350708,-0.2139762938022613,-0.0792232826352119,0.12,0.1757904546781352,0.3285721242427826,1.7679531574249268,0.0460489094257354,0.6110953688621521,0.0699999999999999,0.1502369984656394
0,1,32,PUD,1,6,-0.0485056862235069,1.3421069383621216,-0.1473066061735153,0.0502952337265014,0.0899999999999999,0.0861654261390028,-0.155633732676506,1.7142102718353271,-0.3245631158351898,0.0132956551387906,0.0899999999999998,0.2046534352969775
0,1,32,PUD,2,7,0.2061976790428161,0.4765483438968658,0.1586081534624099,0.2537872195243835,0.03,-0.0329551137972011,0.0435286089777946,0.3817521035671234,-0.0046983999200165,0.0917556211352348,0.0499999999999999,0.0141450174098126
0,1,32,PUD,3,17,0.193969652056694,0.5544347167015076,0.2154171913862228,0.1725221425294876,-0.01,-0.0228734101606469,0.0318892337381839,0.4955963492393493,-0.0219201538711786,0.0856986343860626,0.0299999999999999,0.0200257759554551
0,1,33,PUD,0,3,0.4966067373752594,1.4789791107177734,-0.0512715056538581,1.0444849729537964,0.0100000000000001,0.0492156919351176,0.1517327725887298,1.4424279928207395,-0.5051519870758057,0.8086175322532654,0.06,0.1556833095522413
0,1,33,PUD,1,6,0.25992551445961,1.9780069589614868,-0.8196508884429932,1.339501976966858,0.1200000000000001,0.1915745899163233,-0.5057381987571716,1.6754462718963623,-1.2069164514541626,0.1954400837421417,0.02,0.0724658575038749
0,1,33,PUD,2,7,-0.0866585671901702,0.3702616691589355,-0.1010517701506614,-0.0722653642296791,-0.0099999999999998,0.0125440645542611,0.0631441324949264,0.3308238983154297,0.0373159125447273,0.0889723598957061,0.01,0.0141549818605962
0,1,33,PUD,3,17,0.0064042205922305,0.5106893181800842,-0.0359531491994857,0.0487615913152694,-0.0199999999999999,0.0122444441043023,-0.1679585576057434,0.4498395621776581,-0.2515225410461426,-0.0843945890665054,-0.02,-0.0065390420873848
