method,fold,BA,macro_f1,subjects
Full-Teacher-KD-Aux,0,0.7816666666666667,0.7788815504855114,8
Full-Teacher-KD-Aux,1,0.7458333333333332,0.7425641073077874,8
Full-Teacher-KD-Aux,2,0.7445833333333334,0.7421267365809335,8
Full-Teacher-KD-Aux,3,0.7933333333333333,0.7903061287822402,8
Full-Teacher-KD-Aux,4,0.8041666666666667,0.799104533884415,8
Identity-Aux,0,0.7716666666666666,0.7699051631293967,8
Identity-Aux,1,0.7370833333333334,0.734546300949297,8
Identity-Aux,2,0.7008333333333333,0.6967083525813144,8
Identity-Aux,3,0.78875,0.7861832725296742,8
Identity-Aux,4,0.7912499999999999,0.7870315642676623,8
Matched-TaskOnly,0,0.7791666666666667,0.7765774387418928,8
Matched-TaskOnly,1,0.7374999999999999,0.7340426029215411,8
Matched-TaskOnly,2,0.74625,0.743876201011857,8
Matched-TaskOnly,3,0.7912500000000001,0.7881380894610522,8
Matched-TaskOnly,4,0.7758333333333334,0.7695208081597168,8
P-only-Aux,0,0.7708333333333334,0.7678302470271182,8
P-only-Aux,1,0.7475,0.7447985216132887,8
P-only-Aux,2,0.7458333333333332,0.7435208034917328,8
P-only-Aux,3,0.7941666666666666,0.7909913538759925,8
P-only-Aux,4,0.7908333333333334,0.785609943463216,8
PUD-Aux,0,0.775,0.7717856775817747,8
PUD-Aux,1,0.7420833333333333,0.739388550952521,8
PUD-Aux,2,0.74375,0.7411371419803734,8
PUD-Aux,3,0.8004166666666667,0.7974329190690622,8
PUD-Aux,4,0.79,0.7847240043558057,8
Random-Aux,0,0.7766666666666667,0.7740940341594197,8
Random-Aux,1,0.73625,0.7332944995033555,8
Random-Aux,2,0.75,0.7476276015524146,8
Random-Aux,3,0.7895833333333333,0.7864802346631499,8
Random-Aux,4,0.7795833333333334,0.773398874634001,8
