fold,seed,kind,path,sha256_before,sha256_after,unchanged
0,0,B1_STRONG_EEGNET,D:\nips-temp\TotalP\P1\CRCICLR_EXP4_HEADROOM_AUDIT\experiments\persist_eeg_persist_net_final_v1\runtime\runs\fold-0\seed-0\checkpoints\B1_STRONG_EEGNET.pt,cf7fc9a2d230a408f379b6f1227eafa43127ed49ea55857c3686ec6ecef5f100,cf7fc9a2d230a408f379b6f1227eafa43127ed49ea55857c3686ec6ecef5f100,True
0,0,PUD_CERTIFICATE,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_final_v1\runtime\runs\fold-0\seed-0\certificate\PUD_CERTIFICATE.npz,433b3ee98a7b1d84c87d0fe61c89f98ebfbc37293ce14e7a6c89d74f0486d074,433b3ee98a7b1d84c87d0fe61c89f98ebfbc37293ce14e7a6c89d74f0486d074,True
0,0,PUD_CERTIFICATION_TABLE,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_final_v1\runtime\runs\fold-0\seed-0\certificate\PUD_CERTIFICATION.csv,b642f76ee39c6d6dc3934efe373993159038de14d8f7ec99cc20eb6b9bc2231c,b642f76ee39c6d6dc3934efe373993159038de14d8f7ec99cc20eb6b9bc2231c,True
0,1,B1_STRONG_EEGNET,D:\nips-temp\TotalP\P1\CRCICLR_EXP4_HEADROOM_AUDIT\experiments\persist_eeg_persist_net_final_v1\runtime\runs\fold-0\seed-1\checkpoints\B1_STRONG_EEGNET.pt,b4c4b23e7ada4a276877eb9e61007f4ae294a962726029feb48871bbdb2066a7,b4c4b23e7ada4a276877eb9e61007f4ae294a962726029feb48871bbdb2066a7,True
0,1,PUD_CERTIFICATE,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_final_v1\runtime\runs\fold-0\seed-1\certificate\PUD_CERTIFICATE.npz,2c1103b2c4281961da3509b257f9fe68b260f5a03793a1d5dcbdecbe6ab04d8a,2c1103b2c4281961da3509b257f9fe68b260f5a03793a1d5dcbdecbe6ab04d8a,True
0,1,PUD_CERTIFICATION_TABLE,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_final_v1\runtime\runs\fold-0\seed-1\certificate\PUD_CERTIFICATION.csv,565d457da60dcf550b97f334aacf879681ddad5196011d1759c7ec1f94b1c0fc,565d457da60dcf550b97f334aacf879681ddad5196011d1759c7ec1f94b1c0fc,True
0,2,B1_STRONG_EEGNET,D:\nips-temp\TotalP\P1\CRCICLR_EXP4_HEADROOM_AUDIT\experiments\persist_eeg_persist_net_final_v1\runtime\runs\fold-0\seed-2\checkpoints\B1_STRONG_EEGNET.pt,eb959d1068bce2aa79043a6f40eae4df4a7661bd7f6afd24f7a5a27d67f8415a,eb959d1068bce2aa79043a6f40eae4df4a7661bd7f6afd24f7a5a27d67f8415a,True
0,2,PUD_CERTIFICATE,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_final_v1\runtime\runs\fold-0\seed-2\certificate\PUD_CERTIFICATE.npz,586be374332c664386aedf60ea39da968eda8819ba3711391b7fd815443ad42c,586be374332c664386aedf60ea39da968eda8819ba3711391b7fd815443ad42c,True
0,2,PUD_CERTIFICATION_TABLE,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_final_v1\runtime\runs\fold-0\seed-2\certificate\PUD_CERTIFICATION.csv,d11ce974c0d7982fbb78c81e2a5cd422d994985da4c05c2f9152b4e485632acc,d11ce974c0d7982fbb78c81e2a5cd422d994985da4c05c2f9152b4e485632acc,True
1,0,B1_STRONG_EEGNET,D:\nips-temp\TotalP\P1\CRCICLR_EXP4_HEADROOM_AUDIT\experiments\persist_eeg_persist_net_final_v1\runtime\runs\fold-1\seed-0\checkpoints\B1_STRONG_EEGNET.pt,3f914c8f135e1a276b8c7ad1ac7795fbe3b22bec483a19f6e883313b54d98300,3f914c8f135e1a276b8c7ad1ac7795fbe3b22bec483a19f6e883313b54d98300,True
