method,seed,BA,macro_f1,subjects
Full-Teacher-KD-Aux,0,0.77275,0.7693706405149305,40
Full-Teacher-KD-Aux,1,0.769,0.7648128870633182,40
Full-Teacher-KD-Aux,2,0.78,0.7776063066462839,40
Identity-Aux,0,0.76725,0.7644234389369365,40
Identity-Aux,1,0.75275,0.7488261976846025,40
Identity-Aux,2,0.7537499999999999,0.7513751554528678,40
Matched-TaskOnly,0,0.7725,0.7695508551161068,40
Matched-TaskOnly,1,0.75975,0.7552231997476302,40
Matched-TaskOnly,2,0.7657499999999999,0.7625190293138989,40
P-only-Aux,0,0.7715,0.7684001657294998,40
P-only-Aux,1,0.766,0.761844352262433,40
P-only-Aux,2,0.772,0.7694060036908763,40
PUD-Aux,0,0.7735000000000001,0.7702760710939123,40
PUD-Aux,1,0.76325,0.759093946307235,40
PUD-Aux,2,0.774,0.7713109589625751,40
Random-Aux,0,0.7745,0.7717173273256119,40
Random-Aux,1,0.76225,0.7578959454503951,40
Random-Aux,2,0.7625,0.7593238739313973,40
