fold,seed,subject_id,direction,source_rho,source_P_score,source_U,source_D_finite,source_PUD_pass,future_BA_erasure_harm,future_CE_erasure_harm,future_D_finite,outcome_margin_rms,basis_column,certificate_direction,source_rho_repaired,source_P_repaired,source_U_repaired,source_D_finite_repaired,source_PUD_pass_repaired
0,0,15,0,0.5774718602017341,0.8908998828910235,-0.040708726839589,0.0121865469952047,False,0.0999999999999999,0.1267399837925168,0.7141514259504699,1.009962558746338,0,3,0.1241563224789094,0.8960464454203224,0.0884788042855757,0.9170418902646882,True
0,0,15,1,0.2573407478395985,0.8477769590903217,-0.016605457370343,0.1264480460885112,False,0.0499999999999999,0.0676968020324421,0.81264617126749,1.1492551565170288,1,5,0.0954816281035822,0.8288982286033212,0.069584993685035,0.8886452600199102,True
0,0,15,2,0.1296405557277313,0.7439720093927845,-0.0033244528888613,0.2199576635447335,False,0.0599999999999999,0.0415872249112725,0.5372946572705576,0.7598494291305542,2,6,0.0686605157915441,0.8185115710850238,0.0434711650975608,0.6493603019062958,True
0,0,15,3,0.1241563224789094,0.8960464454203224,0.0884788042855757,0.9170418902646882,True,0.02,0.0386462282924943,0.2892700022638959,0.409089595079422,3,7,0.0608146553440501,0.6674573067341312,0.0082884314224887,0.3465282425538945,True
0,0,15,4,0.1115469716206802,0.8060829007714394,-0.000329478873878,0.4095732061613902,False,0.13,0.1523730497903389,0.7348359907783861,1.0392149686813354,4,9,0.0371617857860445,0.8306410533114137,0.0555287040864237,0.7223730491925214,True
0,0,15,5,0.0954816281035822,0.8288982286033212,0.069584993685035,0.8886452600199102,True,-0.01,-0.0126329481242697,0.2805549046840845,0.3967645466327667,5,11,0.0263672481487444,0.6811794222162484,0.0045840178174267,0.2812577843641549,True
0,0,19,0,0.5774718602017341,0.8908998828910235,-0.040708726839589,0.0121865469952047,False,0.0499999999999999,0.101524429853306,0.8009406197527503,1.1327011585235596,0,3,0.1241563224789094,0.8960464454203224,0.0884788042855757,0.9170418902646882,True
0,0,19,1,0.2573407478395985,0.8477769590903217,-0.016605457370343,0.1264480460885112,False,0.01,0.0390907163199102,0.6557976583788235,0.927437961101532,1,5,0.0954816281035822,0.8288982286033212,0.069584993685035,0.8886452600199102,True
0,0,19,2,0.1296405557277313,0.7439720093927845,-0.0033244528888613,0.2199576635447335,False,0.02,0.0509216759942754,0.4578421834580831,0.6474866271018982,2,6,0.0686605157915441,0.8185115710850238,0.0434711650975608,0.6493603019062958,True
0,0,19,3,0.1241563224789094,0.8960464454203224,0.0884788042855757,0.9170418902646882,True,-0.01,0.0144058368660648,0.3172019728306988,0.4485913515090942,3,7,0.0608146553440501,0.6674573067341312,0.0082884314224887,0.3465282425538945,True
0,0,19,4,0.1115469716206802,0.8060829007714394,-0.000329478873878,0.4095732061613902,False,-0.02,0.0493069479711562,0.7388158424664157,1.0448434352874756,4,9,0.0371617857860445,0.8306410533114137,0.0555287040864237,0.7223730491925214,True
0,0,19,5,0.0954816281035822,0.8288982286033212,0.069584993685035,0.8886452600199102,True,0.0,-0.0101460234194182,0.281737377111618,0.3984368145465851,5,11,0.0263672481487444,0.6811794222162484,0.0045840178174267,0.2812577843641549,True
0,0,32,0,0.5774718602017341,0.8908998828910235,-0.040708726839589,0.0121865469952047,False,0.0099999999999998,0.1125124301784197,0.8947511492449666,1.265369176864624,0,3,0.1241563224789094,0.8960464454203224,0.0884788042855757,0.9170418902646882,True
0,0,32,1,0.2573407478395985,0.8477769590903217,-0.016605457370343,0.1264480460885112,False,0.0399999999999999,0.0435523205958099,0.8964863562566966,1.2678232192993164,1,5,0.0954816281035822,0.8288982286033212,0.069584993685035,0.8886452600199102,True
0,0,32,2,0.1296405557277313,0.7439720093927845,-0.0033244528888613,0.2199576635447335,False,0.0499999999999998,0.06363033303523,0.7230899948515815,1.0226037502288818,2,6,0.0686605157915441,0.8185115710850238,0.0434711650975608,0.6493603019062958,True
0,0,32,3,0.1241563224789094,0.8960464454203224,0.0884788042855757,0.9170418902646882,True,0.0199999999999999,-0.0694448414382938,0.4125754619827473,0.583469808101654,3,7,0.0608146553440501,0.6674573067341312,0.0082884314224887,0.3465282425538945,True
0,0,32,4,0.1115469716206802,0.8060829007714394,-0.000329478873878,0.4095732061613902,False,-1.1102230246251563e-16,0.064175150452582,0.7115601822356946,1.0062980651855469,4,9,0.0371617857860445,0.8306410533114137,0.0555287040864237,0.7223730491925214,True
0,0,32,5,0.0954816281035822,0.8288982286033212,0.069584993685035,0.8886452600199102,True,0.0099999999999998,0.0013393019917331,0.2508160389667312,0.3547074794769287,5,11,0.0263672481487444,0.6811794222162484,0.0045840178174267,0.2812577843641549,True
0,0,33,0,0.5774718602017341,0.8908998828910235,-0.040708726839589,0.0121865469952047,False,0.0,0.0265388294869053,1.0063526859541214,1.4231977462768557,0,3,0.1241563224789094,0.8960464454203224,0.0884788042855757,0.9170418902646882,True
0,0,33,1,0.2573407478395985,0.8477769590903217,-0.016605457370343,0.1264480460885112,False,0.06,0.1931022977031318,0.8881142794589556,1.2559832334518433,1,5,0.0954816281035822,0.8288982286033212,0.069584993685035,0.8886452600199102,True
0,0,33,2,0.1296405557277313,0.7439720093927845,-0.0033244528888613,0.2199576635447335,False,0.01,0.0174956040329438,0.5993009608868219,0.8475395441055298,2,6,0.0686605157915441,0.8185115710850238,0.0434711650975608,0.6493603019062958,True
0,0,33,3,0.1241563224789094,0.8960464454203224,0.0884788042855757,0.9170418902646882,True,0.01,0.0358799295693169,0.3613396018756347,0.5110113620758057,3,7,0.0608146553440501,0.6674573067341312,0.0082884314224887,0.3465282425538945,True
0,0,33,4,0.1115469716206802,0.8060829007714394,-0.000329478873878,0.4095732061613902,False,0.01,0.0497378296135583,0.7934316589603216,1.1220818758010864,4,9,0.0371617857860445,0.8306410533114137,0.0555287040864237,0.7223730491925214,True
0,0,33,5,0.0954816281035822,0.8288982286033212,0.069584993685035,0.8886452600199102,True,-0.01,-0.0042932186132806,0.2813788455672923,0.3979297876358032,5,11,0.0263672481487444,0.6811794222162484,0.0045840178174267,0.2812577843641549,True
0,0,41,0,0.5774718602017341,0.8908998828910235,-0.040708726839589,0.0121865469952047,False,0.07,0.0816234311372056,0.6877315969146054,0.9725992679595948,0,3,0.1241563224789094,0.8960464454203224,0.0884788042855757,0.9170418902646882,True
0,0,41,1,0.2573407478395985,0.8477769590903217,-0.016605457370343,0.1264480460885112,False,0.02,0.0307618039736541,0.8958047285161025,1.2668591737747192,1,5,0.0954816281035822,0.8288982286033212,0.069584993685035,0.8886452600199102,True
0,0,41,2,0.1296405557277313,0.7439720093927845,-0.0033244528888613,0.2199576635447335,False,0.08,0.0827993985561028,0.7028120535941026,0.9939262866973876,2,6,0.0686605157915441,0.8185115710850238,0.0434711650975608,0.6493603019062958,True
0,0,41,3,0.1241563224789094,0.8960464454203224,0.0884788042855757,0.9170418902646882,True,0.05,0.0649450084458382,0.3658805535227225,0.517433226108551,3,7,0.0608146553440501,0.6674573067341312,0.0082884314224887,0.3465282425538945,True
0,0,41,4,0.1115469716206802,0.8060829007714394,-0.000329478873878,0.4095732061613902,False,0.04,0.0405997392014172,0.8892731547793323,1.2576221227645874,4,9,0.0371617857860445,0.8306410533114137,0.0555287040864237,0.7223730491925214,True
0,0,41,5,0.0954816281035822,0.8288982286033212,0.069584993685035,0.8886452600199102,True,0.0,0.0154287536903602,0.2866364125793232,0.4053650796413421,5,11,0.0263672481487444,0.6811794222162484,0.0045840178174267,0.2812577843641549,True
0,0,46,0,0.5774718602017341,0.8908998828910235,-0.040708726839589,0.0121865469952047,False,-0.0199999999999999,-0.0725658305315501,0.7874688469392251,1.1136491298675537,0,3,0.1241563224789094,0.8960464454203224,0.0884788042855757,0.9170418902646882,True
0,0,46,1,0.2573407478395985,0.8477769590903217,-0.016605457370343,0.1264480460885112,False,0.03,0.0586422175828802,0.8376349955103384,1.184594750404358,1,5,0.0954816281035822,0.8288982286033212,0.069584993685035,0.8886452600199102,True
0,0,46,2,0.1296405557277313,0.7439720093927845,-0.0033244528888613,0.2199576635447335,False,-0.0199999999999999,-0.0270050203582022,0.6557627627628506,0.927388608455658,2,6,0.0686605157915441,0.8185115710850238,0.0434711650975608,0.6493603019062958,True
0,0,46,3,0.1241563224789094,0.8960464454203224,0.0884788042855757,0.9170418902646882,True,-0.0199999999999999,0.0310265966506483,0.3725862565442672,0.52691650390625,3,7,0.0608146553440501,0.6674573067341312,0.0082884314224887,0.3465282425538945,True
0,0,46,4,0.1115469716206802,0.8060829007714394,-0.000329478873878,0.4095732061613902,False,-0.0399999999999998,0.006989549712709,0.7872262678867132,1.1133060455322266,4,9,0.0371617857860445,0.8306410533114137,0.0555287040864237,0.7223730491925214,True
0,0,46,5,0.0954816281035822,0.8288982286033212,0.069584993685035,0.8886452600199102,True,1.1102230246251563e-16,-0.0099374630102887,0.2367252564785843,0.3347800374031067,5,11,0.0263672481487444,0.6811794222162484,0.0045840178174267,0.2812577843641549,True
0,0,47,0,0.5774718602017341,0.8908998828910235,-0.040708726839589,0.0121865469952047,False,0.04,0.1194536444045166,0.8563841627825178,1.2111101150512695,0,3,0.1241563224789094,0.8960464454203224,0.0884788042855757,0.9170418902646882,True
0,0,47,1,0.2573407478395985,0.8477769590903217,-0.016605457370343,0.1264480460885112,False,0.0599999999999999,0.2062663703859838,0.9011207552094564,1.2743773460388184,1,5,0.0954816281035822,0.8288982286033212,0.069584993685035,0.8886452600199102,True
0,0,47,2,0.1296405557277313,0.7439720093927845,-0.0033244528888613,0.2199576635447335,False,0.02,0.0180466335810339,0.6831194442767179,0.9660767912864684,2,6,0.0686605157915441,0.8185115710850238,0.0434711650975608,0.6493603019062958,True
0,0,47,3,0.1241563224789094,0.8960464454203224,0.0884788042855757,0.9170418902646882,True,0.01,0.061005232642064,0.3906418359139328,0.552450954914093,3,7,0.0608146553440501,0.6674573067341312,0.0082884314224887,0.3465282425538945,True
0,0,47,4,0.1115469716206802,0.8060829007714394,-0.000329478873878,0.4095732061613902,False,-0.0299999999999999,-0.0125628448256024,0.904558554692912,1.279239058494568,4,9,0.0371617857860445,0.8306410533114137,0.0555287040864237,0.7223730491925214,True
