fold,subject_id,R_P__A2_SOURCE_ONLY,R_P__IDENTITY_SOURCE_ONLY,R_P__PUD_SOURCE_ONLY,R_P__RANDOM_SOURCE_ONLY,protected_harm__A2_SOURCE_ONLY,protected_harm__IDENTITY_SOURCE_ONLY,protected_harm__PUD_SOURCE_ONLY,protected_harm__RANDOM_SOURCE_ONLY,PUD_minus_Vanilla,delta_R_P_PUD_minus_Dual,delta_harm_PUD_minus_A2_SOURCE_ONLY,delta_harm_PUD_minus_RANDOM_SOURCE_ONLY,delta_harm_PUD_minus_IDENTITY_SOURCE_ONLY
0,15,0.4443004031976064,0.14560099939505255,0.6495052576065063,0.2602347880601883,0.04999999999999997,0.01,0.18666666666666662,0.0266666666666667,-0.11333333333333329,0.20520485440889996,0.13666666666666666,0.15999999999999992,0.1766666666666666
0,19,0.4364677866299947,0.1412461896737416,0.6433046261469523,0.206852118174235,-0.0033333333333333687,-0.013333333333333234,0.08666666666666656,-3.23815048849004e-17,-0.06333333333333346,0.20683683951695758,0.08999999999999993,0.08666666666666659,0.0999999999999998
0,32,0.4557884633541107,0.21420592069625852,0.6723361015319824,0.2886279821395874,-0.0166666666666667,0.009999999999999933,0.029999999999999968,-0.0033333333333332997,-0.08999999999999997,0.2165476381778717,0.04666666666666667,0.03333333333333327,0.020000000000000035
0,33,0.4204853077729543,0.12607954194148382,0.6918718616167704,0.22260638078053788,0.0333333333333333,0.01,0.2166666666666666,0.03333333333333333,-0.009999999999999898,0.2713865538438161,0.1833333333333333,0.18333333333333326,0.20666666666666658
0,41,0.47617945075035095,0.1790521070361137,0.6560470859209696,0.2380527506271998,0.09333333333333334,-0.006666666666666667,0.09999999999999994,0.023333333333333334,-0.030000000000000138,0.17986763517061866,0.006666666666666599,0.0766666666666666,0.1066666666666666
0,46,0.48547616600990295,0.1332096656163533,0.7154581546783447,0.24201091627279914,-0.01666666666666674,-0.0166666666666667,0.05666666666666661,3.2959746043559335e-17,-0.00666666666666671,0.22998198866844177,0.07333333333333335,0.056666666666666574,0.0733333333333333
0,47,0.4658682545026143,0.12209916859865183,0.7078307867050171,0.22703487177689866,0.11666666666666659,-0.0033333333333333327,0.3366666666666666,0.0366666666666666,0.00666666666666671,0.24196253220240277,0.22000000000000003,0.30000000000000004,0.33999999999999997
0,49,0.45595409472783405,0.1419946799675623,0.67054816087087,0.2347563604513804,0.059999999999999866,-0.0033333333333332668,0.14333333333333328,3.23815048849004e-17,-0.043333333333333335,0.21459406614303594,0.08333333333333343,0.14333333333333326,0.14666666666666656
1,14,0.5049015283584595,0.1531934688488642,0.6578938563664755,0.23801044126351675,0.15666666666666665,0.026666666666666672,0.21666666666666665,0.010000000000000002,0.033333333333333326,0.152992328008016,0.06,0.20666666666666664,0.18999999999999997
1,2,0.47567594051361084,0.16250010331471756,0.6698693434397379,0.2595229893922805,0.06333333333333334,0.013333333333333334,0.13333333333333333,0.043333333333333335,-0.043333333333333446,0.19419340292612708,0.06999999999999999,0.09,0.12
