method,fold,seed,subject_id,BA,macro_f1,n_trials,lambda_aux,selected_epoch,target_kind
Matched-TaskOnly,0,0,15,0.88,0.88,100,0.0,38,TASK_ONLY
Matched-TaskOnly,0,0,19,0.76,0.7584541062801933,100,0.0,38,TASK_ONLY
Matched-TaskOnly,0,0,32,0.67,0.66996699669967,100,0.0,38,TASK_ONLY
Matched-TaskOnly,0,0,33,0.81,0.8076728413807066,100,0.0,38,TASK_ONLY
Matched-TaskOnly,0,0,41,0.77,0.769792813532179,100,0.0,38,TASK_ONLY
Matched-TaskOnly,0,0,46,0.6599999999999999,0.6594551282051282,100,0.0,38,TASK_ONLY
Matched-TaskOnly,0,0,47,0.96,0.959983993597439,100,0.0,38,TASK_ONLY
Matched-TaskOnly,0,0,49,0.87,0.8693598633303186,100,0.0,38,TASK_ONLY
Random-Aux,0,0,15,0.87,0.8699869986998701,100,0.05,38,RANDOM
Random-Aux,0,0,19,0.75,0.7487689679429204,100,0.05,38,RANDOM
Random-Aux,0,0,32,0.66,0.6598639455782312,100,0.05,38,RANDOM
Random-Aux,0,0,33,0.8200000000000001,0.8181818181818181,100,0.05,38,RANDOM
Random-Aux,0,0,41,0.75,0.74997499749975,100,0.05,38,RANDOM
Random-Aux,0,0,46,0.6599999999999999,0.6594551282051282,100,0.05,38,RANDOM
Random-Aux,0,0,47,0.96,0.96,100,0.05,38,RANDOM
Random-Aux,0,0,49,0.8799999999999999,0.8795664391810518,100,0.05,38,RANDOM
Identity-Aux,0,0,15,0.84,0.8399359743897559,100,0.05,39,IDENTITY
Identity-Aux,0,0,19,0.74,0.7373737373737375,100,0.05,39,IDENTITY
Identity-Aux,0,0,32,0.7,0.6998799519807923,100,0.05,39,IDENTITY
Identity-Aux,0,0,33,0.8,0.797979797979798,100,0.05,39,IDENTITY
Identity-Aux,0,0,41,0.78,0.78,100,0.05,39,IDENTITY
Identity-Aux,0,0,46,0.68,0.68,100,0.05,39,IDENTITY
Identity-Aux,0,0,47,0.81,0.8028841166096068,100,0.05,39,IDENTITY
Identity-Aux,0,0,49,0.87,0.8693598633303186,100,0.05,39,IDENTITY
Full-Teacher-KD-Aux,0,0,15,0.88,0.8798076923076923,100,0.1,37,FULL_KD
Full-Teacher-KD-Aux,0,0,19,0.74,0.7373737373737375,100,0.1,37,FULL_KD
Full-Teacher-KD-Aux,0,0,32,0.67,0.66996699669967,100,0.1,37,FULL_KD
Full-Teacher-KD-Aux,0,0,33,0.77,0.7647058823529411,100,0.1,37,FULL_KD
Full-Teacher-KD-Aux,0,0,41,0.8,0.7992773986350863,100,0.1,37,FULL_KD
Full-Teacher-KD-Aux,0,0,46,0.62,0.6175523349436394,100,0.1,37,FULL_KD
Full-Teacher-KD-Aux,0,0,47,0.93,0.92999299929993,100,0.1,37,FULL_KD
Full-Teacher-KD-Aux,0,0,49,0.87,0.8693598633303186,100,0.1,37,FULL_KD
P-only-Aux,0,0,15,0.8400000000000001,0.8389694041867954,100,0.25,37,P_ONLY
P-only-Aux,0,0,19,0.75,0.7487689679429204,100,0.25,37,P_ONLY
P-only-Aux,0,0,32,0.64,0.6398559423769508,100,0.25,37,P_ONLY
P-only-Aux,0,0,33,0.75,0.7442455242966752,100,0.25,37,P_ONLY
P-only-Aux,0,0,41,0.75,0.7469379491851402,100,0.25,37,P_ONLY
P-only-Aux,0,0,46,0.62,0.6161616161616161,100,0.25,37,P_ONLY
P-only-Aux,0,0,47,0.94,0.9399759903961584,100,0.25,37,P_ONLY
P-only-Aux,0,0,49,0.8799999999999999,0.8795664391810518,100,0.25,37,P_ONLY
PUD-Aux,0,0,15,0.8500000000000001,0.849624060150376,100,0.25,37,PUD
PUD-Aux,0,0,19,0.75,0.7479584635547938,100,0.25,37,PUD
PUD-Aux,0,0,32,0.63,0.6296667000300271,100,0.25,37,PUD
PUD-Aux,0,0,33,0.75,0.7442455242966752,100,0.25,37,PUD
PUD-Aux,0,0,41,0.78,0.7777777777777778,100,0.25,37,PUD
PUD-Aux,0,0,46,0.63,0.6254681647940075,100,0.25,37,PUD
PUD-Aux,0,0,47,0.95,0.9499549594635172,100,0.25,37,PUD
PUD-Aux,0,0,49,0.88,0.8798076923076923,100,0.25,37,PUD
Matched-TaskOnly,0,1,15,0.8300000000000001,0.8295739348370927,100,0.0,38,TASK_ONLY
Matched-TaskOnly,0,1,19,0.75,0.7457023700539112,100,0.0,38,TASK_ONLY
Matched-TaskOnly,0,1,32,0.65,0.6457131288591963,100,0.0,38,TASK_ONLY
Matched-TaskOnly,0,1,33,0.74,0.7331691297208538,100,0.0,38,TASK_ONLY
Matched-TaskOnly,0,1,41,0.73,0.7253585596582239,100,0.0,38,TASK_ONLY
Matched-TaskOnly,0,1,46,0.63,0.62996299629963,100,0.0,38,TASK_ONLY
Matched-TaskOnly,0,1,47,0.8899999999999999,0.8894583458948849,100,0.0,38,TASK_ONLY
Matched-TaskOnly,0,1,49,0.84,0.8383838383838383,100,0.0,38,TASK_ONLY
Random-Aux,0,1,15,0.8300000000000001,0.8295739348370927,100,0.05,38,RANDOM
Random-Aux,0,1,19,0.75,0.7457023700539112,100,0.05,38,RANDOM
Random-Aux,0,1,32,0.63,0.6254681647940075,100,0.05,38,RANDOM
Random-Aux,0,1,33,0.74,0.7331691297208538,100,0.05,38,RANDOM
Random-Aux,0,1,41,0.73,0.7253585596582239,100,0.05,38,RANDOM
Random-Aux,0,1,46,0.64,0.64,100,0.05,38,RANDOM
Random-Aux,0,1,47,0.8999999999999999,0.8998397435897436,100,0.05,38,RANDOM
Random-Aux,0,1,49,0.84,0.8383838383838383,100,0.05,38,RANDOM
Identity-Aux,0,1,15,0.81,0.8098288459613652,100,0.1,39,IDENTITY
Identity-Aux,0,1,19,0.72,0.7106242248863166,100,0.1,39,IDENTITY
Identity-Aux,0,1,32,0.63,0.628178072555522,100,0.1,39,IDENTITY
Identity-Aux,0,1,33,0.76,0.7564935064935066,100,0.1,39,IDENTITY
Identity-Aux,0,1,41,0.77,0.7688674505074866,100,0.1,39,IDENTITY
Identity-Aux,0,1,46,0.65,0.6471418489767113,100,0.1,39,IDENTITY
Identity-Aux,0,1,47,0.91,0.90999099909991,100,0.1,39,IDENTITY
Identity-Aux,0,1,49,0.8799999999999999,0.8795664391810518,100,0.1,39,IDENTITY
Full-Teacher-KD-Aux,0,1,15,0.8300000000000001,0.8291628982011858,100,0.25,31,FULL_KD
Full-Teacher-KD-Aux,0,1,19,0.7,0.6899545266639107,100,0.25,31,FULL_KD
Full-Teacher-KD-Aux,0,1,32,0.66,0.6598639455782312,100,0.25,31,FULL_KD
Full-Teacher-KD-Aux,0,1,33,0.78,0.7756017951856384,100,0.25,31,FULL_KD
Full-Teacher-KD-Aux,0,1,41,0.77,0.767182913250329,100,0.25,31,FULL_KD
Full-Teacher-KD-Aux,0,1,46,0.68,0.68,100,0.25,31,FULL_KD
Full-Teacher-KD-Aux,0,1,47,0.92,0.92,100,0.25,31,FULL_KD
Full-Teacher-KD-Aux,0,1,49,0.87,0.8699869986998701,100,0.25,31,FULL_KD
P-only-Aux,0,1,15,0.85,0.8498648783905515,100,0.25,39,P_ONLY
P-only-Aux,0,1,19,0.6799999999999999,0.6692848284415047,100,0.25,39,P_ONLY
P-only-Aux,0,1,32,0.6699999999999999,0.6697027324592133,100,0.25,39,P_ONLY
P-only-Aux,0,1,33,0.73,0.721964782205746,100,0.25,39,P_ONLY
P-only-Aux,0,1,41,0.76,0.7564935064935066,100,0.25,39,P_ONLY
P-only-Aux,0,1,46,0.6699999999999999,0.6691729323308271,100,0.25,39,P_ONLY
P-only-Aux,0,1,47,0.92,0.9197109594540344,100,0.25,39,P_ONLY
P-only-Aux,0,1,49,0.8500000000000001,0.849624060150376,100,0.25,39,P_ONLY
PUD-Aux,0,1,15,0.87,0.8699869986998701,100,0.1,38,PUD
PUD-Aux,0,1,19,0.73,0.7237851662404092,100,0.1,38,PUD
PUD-Aux,0,1,32,0.6599999999999999,0.6587715776796468,100,0.1,38,PUD
PUD-Aux,0,1,33,0.72,0.7083333333333334,100,0.1,38,PUD
PUD-Aux,0,1,41,0.74,0.7362012987012987,100,0.1,38,PUD
PUD-Aux,0,1,46,0.64,0.6398559423769508,100,0.1,38,PUD
PUD-Aux,0,1,47,0.87,0.8693598633303186,100,0.1,38,PUD
PUD-Aux,0,1,49,0.86,0.8590982286634461,100,0.1,38,PUD
Matched-TaskOnly,0,2,15,0.86,0.8599439775910365,100,0.0,39,TASK_ONLY
Matched-TaskOnly,0,2,19,0.76,0.7575757575757576,100,0.0,39,TASK_ONLY
Matched-TaskOnly,0,2,32,0.64,0.6328029375764994,100,0.0,39,TASK_ONLY
Matched-TaskOnly,0,2,33,0.78,0.7756017951856384,100,0.0,39,TASK_ONLY
Matched-TaskOnly,0,2,41,0.76,0.7575757575757576,100,0.0,39,TASK_ONLY
Matched-TaskOnly,0,2,46,0.66,0.6427070197562001,100,0.0,39,TASK_ONLY
Matched-TaskOnly,0,2,47,0.91,0.9099189270343307,100,0.0,39,TASK_ONLY
Matched-TaskOnly,0,2,49,0.8899999999999999,0.8897243107769424,100,0.0,39,TASK_ONLY
Random-Aux,0,2,15,0.86,0.8599439775910365,100,0.05,39,RANDOM
Random-Aux,0,2,19,0.75,0.7479584635547938,100,0.05,39,RANDOM
Random-Aux,0,2,32,0.65,0.6439833180754755,100,0.05,39,RANDOM
Random-Aux,0,2,33,0.78,0.7756017951856384,100,0.05,39,RANDOM
Random-Aux,0,2,41,0.76,0.7575757575757576,100,0.05,39,RANDOM
Random-Aux,0,2,46,0.65,0.630450849963045,100,0.05,39,RANDOM
Random-Aux,0,2,47,0.8899999999999999,0.8897243107769424,100,0.05,39,RANDOM
Random-Aux,0,2,49,0.8899999999999999,0.8897243107769424,100,0.05,39,RANDOM
Identity-Aux,0,2,15,0.84,0.84,100,0.1,39,IDENTITY
Identity-Aux,0,2,19,0.7,0.696969696969697,100,0.1,39,IDENTITY
Identity-Aux,0,2,32,0.72,0.7198879551820728,100,0.1,39,IDENTITY
Identity-Aux,0,2,33,0.81,0.8076728413807066,100,0.1,39,IDENTITY
Identity-Aux,0,2,41,0.71,0.7076318177235609,100,0.1,39,IDENTITY
