method,BA,macro_f1,delta_vs_matched_task_only,delta_vs_historical_vanilla
Full-Teacher-KD-Aux,0.7739166666666667,0.7705966114081775,0.007916666666666683,-0.012249999999999983
Identity-Aux,0.7579166666666667,0.7548749306914689,-0.008083333333333331,-0.028249999999999997
Matched-TaskOnly,0.766,0.7624310280592119,0.0,-0.020166666666666666
P-only-Aux,0.7698333333333334,0.7665501738942696,0.0038333333333333552,-0.01633333333333331
PUD-Aux,0.77025,0.7668936587879075,0.004249999999999976,-0.01591666666666669
Random-Aux,0.7664166666666666,0.7629790489024681,0.0004166666666666208,-0.019750000000000045
