fold,subject_id,protected_branch_erasure_harm_BA,adaptive_branch_erasure_harm_BA,protected_D_finite,adaptive_D_finite,functional_teacher_correlation,functional_teacher_RMSE,mechanism_seed_rows,R_P,reliance_seed_rows,vanilla_BA,vanilla_BA_seed_rows,dual_BA,dual_BA_seed_rows,pud_source_BA,pud_source_BA_seed_rows,pud_adapted_BA,pud_adapted_BA_seed_rows,PUD_minus_Vanilla,PUD_minus_Dual,adaptation_gain
0,15,0.18666666666666662,-3.700743415417188e-17,1.312649807581633,0.7081446390672532,0.893298940584934,0.4603192422270134,3,0.6495052576065063,3,0.8966666666666666,3,0.8733333333333334,3,0.7833333333333333,3,0.8233333333333334,3,-0.11333333333333329,-0.09000000000000008,0.040000000000000036
0,19,0.08666666666666656,0.006666666666666633,1.1526860189038812,0.6379641662279746,0.865714828779263,0.46755490017545553,3,0.6433046261469523,3,0.7333333333333334,3,0.6999999999999998,3,0.6699999999999999,3,0.6866666666666666,3,-0.06333333333333346,-0.029999999999999916,0.01666666666666672
0,32,0.029999999999999968,-0.009999999999999933,1.4986498178425507,0.7248714898100315,0.6934254941420303,0.7995373393826245,3,0.6723361015319824,3,0.69,3,0.6866666666666665,3,0.6,3,0.6266666666666666,3,-0.08999999999999997,-0.08666666666666656,0.026666666666666616
0,33,0.2166666666666666,-0.003333333333333332,1.48312194542141,0.6533371091784974,0.8987027993036577,0.5398929839376566,3,0.6918718616167704,3,0.8066666666666666,3,0.8133333333333334,3,0.7966666666666667,3,0.79,3,-0.009999999999999898,-0.016666666666666607,-0.00666666666666671
0,41,0.09999999999999994,0.01333333333333333,1.418845295578821,0.7432666881892304,0.8994741415357305,0.46611207237927843,3,0.6560470859209696,3,0.7600000000000001,3,0.7733333333333334,3,0.73,3,0.7366666666666667,3,-0.030000000000000138,-0.043333333333333446,0.00666666666666671
0,46,0.05666666666666661,-0.010000000000000066,1.5761425182975113,0.6272493928167479,0.8628401735664344,0.5993209546644627,3,0.7154581546783447,3,0.64,3,0.66,3,0.6333333333333333,3,0.64,3,-0.00666666666666671,-0.026666666666666727,0.00666666666666671
0,47,0.3366666666666666,0.05999999999999991,1.598070264176622,0.6577542367000699,0.8742817269423439,0.6011143056894417,3,0.7078307867050171,3,0.9233333333333333,3,0.94,3,0.93,3,0.94,3,0.00666666666666671,-0.009999999999999898,0.009999999999999898
0,49,0.14333333333333328,0.05666666666666661,1.5495275650444775,0.7604014379288068,0.8779093451912509,0.532876001562314,3,0.67054816087087,3,0.8733333333333334,3,0.8766666666666666,3,0.8300000000000001,3,0.8300000000000001,3,-0.043333333333333335,-0.04666666666666652,0.0
1,14,0.21666666666666665,0.06666666666666667,1.5591361095817309,0.8152703481494169,0.7656155988439179,0.85086657868104,3,0.6578938563664755,3,0.75,3,0.7666666666666666,3,0.7833333333333333,3,0.7600000000000001,3,0.033333333333333326,0.01666666666666672,-0.023333333333333206
1,2,0.13333333333333333,0.006666666666666667,1.8472943788267815,0.9112391739951785,0.8485708641347713,0.7568524096123461,3,0.6698693434397379,3,0.7866666666666667,3,0.7633333333333333,3,0.7433333333333333,3,0.7466666666666667,3,-0.043333333333333446,-0.020000000000000018,0.0033333333333334103
