model,task,fold,seed,status,checkpoint_sha256,basis_sha256,protected_assignment_sha256,split_sha256,consistent_0,consistent_1,effect_cosine,layer_name,logit_0,logit_1,margin_0,margin_1,output_P_evidence_cosine,output_P_evidence_normalized_rms,qP_0,qP_1,random_effect_cosine,random_qP_0,random_qP_1,subject_id
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.75,0.875,0.6197208534643021,spatial_elu_pool1,1.1514970399439335,0.619793601334095,0.5291119813919067,-0.44369447231292725,0.9453825354576111,0.3261799216270447,0.6748855821788311,0.4731682585552335,0.6143267980071384,0.3614610921917483,0.25696366946212945,6
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.875,0.75,-0.3018643308355661,spatial_elu_pool1,1.3343505859375,1.3911057263612747,2.668701246380806,-1.7691401243209839,0.9936904311180115,0.75942462682724,0.8465836606919765,0.7580356672406197,-0.01421988072512616,0.42581978977890683,0.40040618694154545,15
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.625,0.625,0.2224691806289525,spatial_elu_pool1,0.9925447553396225,1.0451830886304379,-0.7952717840671539,1.2008113265037537,0.9784111976623535,1.0211710929870605,0.6506107989698648,0.7285529188811779,0.5899891429867716,0.3152644162788056,0.36030152353690936,32
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.75,0.75,0.5348439362328717,spatial_elu_pool1,1.3077576346695423,0.8305474184453487,-1.3206560239195824,0.33371031284332275,0.6867186427116394,0.8016675114631653,0.8960165493190289,0.6222990490496159,0.6811651251855433,0.4212067006807774,0.3464194149756804,33
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.75,0.625,0.587268930381021,spatial_elu_pool1,0.5678699910640717,0.8496519140899181,-0.024308353662490845,-1.4922324791550636,0.9846131801605225,0.22106526792049408,0.7426065504550934,0.6626222543418407,0.2435044813499849,0.35771737767383455,0.34473601188976316,38
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.625,0.375,0.29292033093310205,spatial_elu_pool1,1.1399087347090244,1.0921454541385174,1.3836895301938057,-0.6368526592850685,0.8098069429397583,0.6938744783401489,0.6280603054910898,0.7020182199776173,0.17808639346695274,0.3106626141141169,0.4170560880471021,47
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.75,0.5,0.8100170087198691,depth_point_elu_pool2,0.6594832874834538,1.3901772238314152,0.015748020261526108,-1.0122651979327202,0.9801552891731262,0.21258749067783356,0.7440105937421322,0.8808355536311865,0.7008047238434248,0.35318555958103387,0.45890793443424627,3
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.625,0.625,0.6996379367882333,depth_point_elu_pool2,1.1168389096856117,1.115987204015255,0.00852171704173088,1.5490170121192932,0.8581809401512146,0.5134657621383667,0.8558177147060633,1.0157889612019062,0.6848445839961377,0.45057135811308396,0.43775071365293117,5
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.875,0.75,0.9281846328635485,depth_point_elu_pool2,1.1915636286139488,0.6061088740825653,0.8324562460184097,0.20813718438148499,0.9453825354576111,0.3261799216270447,0.7939450442790985,0.6766628846526146,0.717715053759051,0.4201025988743641,0.3401595065300353,6
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.875,0.75,-0.12534622436540802,depth_point_elu_pool2,1.1007767915725708,1.5024768635630608,1.4492647796869278,-2.26661017537117,0.9936904311180115,0.75942462682724,0.8106965348124504,1.1074073910713196,0.03234198819847507,0.44716454737819733,0.5088011727272533,15
