model,task,fold,seed,status,checkpoint_sha256,basis_sha256,protected_assignment_sha256,split_sha256,B_rank,activation_shape,layer_name,overlap_excess,pathway_dimension,random_overlap,session1_session2_subspace_overlap,singular_values,causal_status
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,4,"[8, 62, 1000]",temporal_bn,0.04365509764291346,4,0.03991910799406469,0.08357420563697815,"[0.004005271941423416, 0.0020426418632268906, 0.0020193636883050203, 0.0017406090628355742]",
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,4,"[16, 1, 250]",spatial_elu_pool1,0.04177258417010307,4,0.12921800211071968,0.17099058628082275,"[0.04392215982079506, 0.02593625709414482, 0.024115195497870445, 0.020862247794866562]",
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,4,"[16, 1, 31]",depth_point_elu_pool2,0.05899494998157023,4,0.24149575717747213,0.30049070715904236,"[0.10644322633743286, 0.0728251188993454, 0.06693002581596375, 0.05783485248684883]",
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,4,[64],embedding_64d,0.08995122224092489,4,0.5921339938044548,0.6820852160453796,"[0.2006901204586029, 0.18660995364189148, 0.1655290126800537, 0.1460193693637848]",
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,4,[64],classifier_input,0.08995122224092489,4,0.5921339938044548,0.6820852160453796,"[0.2006901204586029, 0.18660995364189148, 0.1655290126800537, 0.1460193693637848]",NOT_APPLICABLE_FINAL_AFFINE_HEAD
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,3,"[8, 62, 1000]",temporal_bn,0.010254832408390938,3,0.04056360716465861,0.050818439573049545,"[0.003762883134186268, 0.0021625529043376446, 0.0018584445351734757]",
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,3,"[16, 1, 250]",spatial_elu_pool1,0.07473658218979835,3,0.10764103934168816,0.1823776215314865,"[0.04305701330304146, 0.026577148586511612, 0.02321360632777214]",
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,3,"[16, 1, 31]",depth_point_elu_pool2,0.13310904495418072,3,0.21741085059940815,0.35051989555358887,"[0.10888109356164932, 0.07281339168548584, 0.06291009485721588]",
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,3,[64],embedding_64d,0.24838264882564542,3,0.562645772099495,0.8110284209251404,"[0.19042177498340607, 0.1786879003047943, 0.1330815553665161]",
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,3,[64],classifier_input,0.24838264882564542,3,0.562645772099495,0.8110284209251404,"[0.19042177498340607, 0.1786879003047943, 0.1330815553665161]",NOT_APPLICABLE_FINAL_AFFINE_HEAD
