model,task,fold,seed,status,checkpoint_sha256,basis_sha256,protected_assignment_sha256,split_sha256,m_N,m_P,m_residual,mean_abs_zN,mean_abs_zP,mean_abs_z_residual,n_trials,reconstruction_max_abs_error,subject_id
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.7573627233505249,1.2254507541656494,0.013542933389544487,0.6692699193954468,0.8633428812026978,0.056654490530490875,64,7.152557373046875e-07,3
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.5187022089958191,0.9403555393218994,0.03609383851289749,0.584179162979126,0.8152427673339844,0.062168680131435394,64,7.152557373046875e-07,5
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1.2012284994125366,1.5939562320709229,-0.00040541868656873703,0.694044291973114,1.0452876091003418,0.04224379360675812,64,7.152557373046875e-07,6
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.7242389917373657,0.501253068447113,-0.009188158437609673,0.6211800575256348,0.734416127204895,0.05980568006634712,64,7.152557373046875e-07,15
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.4967106580734253,0.5135953426361084,-0.008302890695631504,0.6957158446311951,0.6493491530418396,0.0647369772195816,64,7.152557373046875e-07,32
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.5207648873329163,0.8437723517417908,-0.0016166046261787415,0.6826095581054688,0.7669414281845093,0.05896727368235588,64,7.152557373046875e-07,33
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.33774563670158386,0.798714816570282,-0.006049353629350662,0.6562625169754028,0.846306324005127,0.05888139456510544,64,8.344650268554688e-07,38
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.73326575756073,0.6368167996406555,-0.0017254049889743328,0.6353274583816528,0.5825300216674805,0.05628237873315811,64,7.152557373046875e-07,47
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.5018329620361328,1.0909513235092163,0.010273706167936325,0.671440601348877,0.8590759038925171,0.0599021278321743,64,5.960464477539062e-07,2
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.18573570251464844,0.8702449798583984,0.00986495241522789,0.5601474046707153,0.7646515965461731,0.056323230266571045,64,7.152557373046875e-07,14
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.6975856423377991,1.3936338424682617,-0.001986476592719555,0.7104105949401855,0.8877636194229126,0.06272594630718231,64,7.152557373046875e-07,26
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.7923761606216431,1.3256043195724487,0.009894288145005703,0.7569952607154846,0.8386865854263306,0.06618575751781464,64,5.960464477539062e-07,28
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.5909103155136108,0.9114961624145508,0.023267365992069244,0.7105560302734375,0.8096762895584106,0.06725218147039413,64,7.748603820800781e-07,31
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.8610247373580933,2.2559103965759277,-0.024262772873044014,0.7702214121818542,1.315583348274231,0.06701324880123138,64,9.5367431640625e-07,35
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.7417261600494385,1.0262068510055542,0.001717560924589634,0.6112854480743408,0.7082290649414062,0.07566919922828674,64,4.76837158203125e-07,40
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.6800030469894409,1.3532863855361938,-0.01833300292491913,0.6121203899383545,0.8427696228027344,0.06612275540828705,64,7.152557373046875e-07,43
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,e6940be75bbe2be6c50f28c1a0669cce25e567d46d20ccb2e8a52e7eb9348ed9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.11224035173654556,0.694618284702301,-0.006251431070268154,0.6616745591163635,0.8251162171363831,0.04853587970137596,64,6.556510925292969e-07,1
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,e6940be75bbe2be6c50f28c1a0669cce25e567d46d20ccb2e8a52e7eb9348ed9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.5586200952529907,0.8318533897399902,-0.06699398905038834,0.6461271643638611,0.8902848958969116,0.06251390278339386,64,7.152557373046875e-07,8
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,e6940be75bbe2be6c50f28c1a0669cce25e567d46d20ccb2e8a52e7eb9348ed9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.3757825195789337,1.1129848957061768,-0.0019216714426875114,0.6471768617630005,0.9200202822685242,0.06317126750946045,64,5.960464477539062e-07,11
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,e6940be75bbe2be6c50f28c1a0669cce25e567d46d20ccb2e8a52e7eb9348ed9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.23845182359218597,0.37543779611587524,-0.007442383095622063,0.6172931790351868,0.8731679320335388,0.05848245695233345,64,4.76837158203125e-07,23
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,e6940be75bbe2be6c50f28c1a0669cce25e567d46d20ccb2e8a52e7eb9348ed9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.11919768154621124,0.8027003407478333,0.04899246245622635,0.7468046545982361,0.8775359988212585,0.06376592814922333,64,9.5367431640625e-07,30
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,e6940be75bbe2be6c50f28c1a0669cce25e567d46d20ccb2e8a52e7eb9348ed9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.27656084299087524,0.44774317741394043,-0.004469381645321846,0.6022340059280396,0.7452331781387329,0.04991822689771652,64,6.407499313354492e-07,48
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,e6940be75bbe2be6c50f28c1a0669cce25e567d46d20ccb2e8a52e7eb9348ed9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.5756701827049255,0.12220467627048492,0.02613118849694729,0.5714122653007507,0.8023146390914917,0.06603864580392838,64,5.960464477539062e-07,50
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,e6940be75bbe2be6c50f28c1a0669cce25e567d46d20ccb2e8a52e7eb9348ed9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.3421960175037384,1.1971709728240967,-0.04373399168252945,0.5899984240531921,0.8999987840652466,0.061142899096012115,64,9.5367431640625e-07,52
EEGNet,OpenBMI_MI,3,0,COMPLETE,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,4ac0159a0f48ef872649e2890646f2a4f2601f1d2c05d741522cfba15d87a42c,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.05223282426595688,0.8473331332206726,-0.007425117306411266,0.4548633098602295,0.8983698487281799,0.0587904267013073,64,7.152557373046875e-07,10
EEGNet,OpenBMI_MI,3,0,COMPLETE,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,4ac0159a0f48ef872649e2890646f2a4f2601f1d2c05d741522cfba15d87a42c,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.39219799637794495,1.5720055103302002,0.038096778094768524,0.4626610279083252,1.0311143398284912,0.03963315859436989,64,9.5367431640625e-07,16
EEGNet,OpenBMI_MI,3,0,COMPLETE,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,4ac0159a0f48ef872649e2890646f2a4f2601f1d2c05d741522cfba15d87a42c,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.04105290025472641,0.7838812470436096,-0.010267798788845539,0.4619910717010498,0.7912402749061584,0.05806571990251541,64,7.152557373046875e-07,19
EEGNet,OpenBMI_MI,3,0,COMPLETE,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,4ac0159a0f48ef872649e2890646f2a4f2601f1d2c05d741522cfba15d87a42c,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.2846616506576538,0.5906482934951782,0.02912098541855812,0.4470539689064026,0.9539093375205994,0.07469508051872253,64,5.960464477539062e-07,22
EEGNet,OpenBMI_MI,3,0,COMPLETE,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,4ac0159a0f48ef872649e2890646f2a4f2601f1d2c05d741522cfba15d87a42c,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.4217706620693207,2.3374361991882324,-0.016501685604453087,0.4501395523548126,1.369433879852295,0.04991690814495087,64,7.152557373046875e-07,27
EEGNet,OpenBMI_MI,3,0,COMPLETE,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,4ac0159a0f48ef872649e2890646f2a4f2601f1d2c05d741522cfba15d87a42c,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.19518056511878967,0.5764871835708618,-0.0277728121727705,0.415706992149353,0.9014779925346375,0.051581624895334244,64,5.960464477539062e-07,34
EEGNet,OpenBMI_MI,3,0,COMPLETE,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,4ac0159a0f48ef872649e2890646f2a4f2601f1d2c05d741522cfba15d87a42c,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.11130475252866745,0.48171719908714294,-0.01578262634575367,0.40560752153396606,0.703987181186676,0.04475634917616844,64,4.76837158203125e-07,45
EEGNet,OpenBMI_MI,3,0,COMPLETE,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,4ac0159a0f48ef872649e2890646f2a4f2601f1d2c05d741522cfba15d87a42c,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.3323826491832733,1.1177148818969727,-0.015530122444033623,0.506611704826355,0.9436638355255127,0.05779062584042549,64,7.152557373046875e-07,49
EEGNet,OpenBMI_MI,4,0,COMPLETE,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,7e0fc10f2744a762d23a150a96ad7eded63bdbe97189126dccdac1d7d91368f7,d93a98ab5397644b26c763b9dac3e0a94b10bf5b8a7cee60d6dd04f12d133758,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.316238135099411,0.9566150903701782,0.00885651633143425,0.6715488433837891,0.8658456206321716,0.06194157153367996,64,7.152557373046875e-07,7
EEGNet,OpenBMI_MI,4,0,COMPLETE,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,7e0fc10f2744a762d23a150a96ad7eded63bdbe97189126dccdac1d7d91368f7,d93a98ab5397644b26c763b9dac3e0a94b10bf5b8a7cee60d6dd04f12d133758,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.2655860483646393,0.24129877984523773,-0.012130544520914555,0.501056432723999,0.7206776142120361,0.057180292904376984,64,4.76837158203125e-07,9
EEGNet,OpenBMI_MI,4,0,COMPLETE,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,7e0fc10f2744a762d23a150a96ad7eded63bdbe97189126dccdac1d7d91368f7,d93a98ab5397644b26c763b9dac3e0a94b10bf5b8a7cee60d6dd04f12d133758,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.8575443029403687,1.4600931406021118,-0.008349678479135036,0.6312153935432434,0.8888626098632812,0.0504273995757103,64,5.960464477539062e-07,20
EEGNet,OpenBMI_MI,4,0,COMPLETE,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,7e0fc10f2744a762d23a150a96ad7eded63bdbe97189126dccdac1d7d91368f7,d93a98ab5397644b26c763b9dac3e0a94b10bf5b8a7cee60d6dd04f12d133758,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.5398295521736145,1.2144923210144043,-0.02420792542397976,0.6172353029251099,0.8897502422332764,0.056476231664419174,64,5.960464477539062e-07,21
EEGNet,OpenBMI_MI,4,0,COMPLETE,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,7e0fc10f2744a762d23a150a96ad7eded63bdbe97189126dccdac1d7d91368f7,d93a98ab5397644b26c763b9dac3e0a94b10bf5b8a7cee60d6dd04f12d133758,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.4063780903816223,0.5495434999465942,-0.003909269813448191,0.5470986366271973,0.7482362985610962,0.047251105308532715,64,7.152557373046875e-07,41
