model,task,fold,seed,status,checkpoint_sha256,basis_sha256,protected_assignment_sha256,split_sha256,P_OPPOSE_COMPLEMENT_OPPOSE,P_OPPOSE_COMPLEMENT_SUPPORT,P_SUPPORT_COMPLEMENT_OPPOSE,P_SUPPORT_COMPLEMENT_SUPPORT,P_dominant_correct_rate,complement_dominant_correct_rate,complement_rescue_rate,correct_trials,error_trials,protected_correct_complement_override_rate,subject_id
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.015625,0.1875,0.25,0.546875,0.5,0.390625,0.140625,58,6,0.03125,3
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.046875,0.265625,0.25,0.4375,0.46875,0.328125,0.1875,51,13,0.078125,5
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.0,0.234375,0.140625,0.625,0.53125,0.34375,0.15625,56,8,0.046875,6
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.015625,0.328125,0.296875,0.359375,0.390625,0.390625,0.234375,53,11,0.0625,15
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.15625,0.203125,0.234375,0.40625,0.296875,0.390625,0.15625,45,19,0.09375,32
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.0625,0.234375,0.265625,0.4375,0.390625,0.328125,0.15625,46,18,0.140625,33
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.109375,0.25,0.328125,0.3125,0.34375,0.328125,0.125,44,20,0.078125,38
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.03125,0.3125,0.25,0.40625,0.390625,0.46875,0.25,55,9,0.046875,47
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.109375,0.15625,0.25,0.484375,0.421875,0.3125,0.09375,47,17,0.09375,2
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.0625,0.21875,0.375,0.34375,0.5,0.1875,0.125,44,20,0.15625,14
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.0625,0.140625,0.3125,0.484375,0.5,0.359375,0.109375,55,9,0.046875,26
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.046875,0.109375,0.21875,0.625,0.5,0.296875,0.03125,51,13,0.078125,28
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.09375,0.1875,0.234375,0.484375,0.421875,0.328125,0.125,48,16,0.09375,31
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.046875,0.09375,0.21875,0.640625,0.703125,0.140625,0.03125,54,10,0.046875,35
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.078125,0.1875,0.25,0.484375,0.5,0.34375,0.140625,54,10,0.03125,40
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,6b64f0bbe8ea79323219019d342d5d03389d6ec53188557c5e50586c4928b0b2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.0625,0.125,0.265625,0.546875,0.453125,0.359375,0.046875,52,12,0.046875,43
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,e6940be75bbe2be6c50f28c1a0669cce25e567d46d20ccb2e8a52e7eb9348ed9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.140625,0.171875,0.328125,0.359375,0.390625,0.296875,0.109375,45,19,0.09375,1
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,e6940be75bbe2be6c50f28c1a0669cce25e567d46d20ccb2e8a52e7eb9348ed9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.09375,0.25,0.296875,0.359375,0.390625,0.296875,0.109375,45,19,0.0625,8
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,e6940be75bbe2be6c50f28c1a0669cce25e567d46d20ccb2e8a52e7eb9348ed9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.140625,0.09375,0.296875,0.46875,0.40625,0.25,0.0,42,22,0.109375,11
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,e6940be75bbe2be6c50f28c1a0669cce25e567d46d20ccb2e8a52e7eb9348ed9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.15625,0.25,0.328125,0.265625,0.390625,0.203125,0.109375,38,26,0.109375,23
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,e6940be75bbe2be6c50f28c1a0669cce25e567d46d20ccb2e8a52e7eb9348ed9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.109375,0.265625,0.375,0.25,0.4375,0.25,0.1875,44,20,0.125,30
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,e6940be75bbe2be6c50f28c1a0669cce25e567d46d20ccb2e8a52e7eb9348ed9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.140625,0.25,0.25,0.359375,0.375,0.265625,0.140625,41,23,0.109375,48
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,e6940be75bbe2be6c50f28c1a0669cce25e567d46d20ccb2e8a52e7eb9348ed9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.125,0.34375,0.1875,0.34375,0.34375,0.3125,0.171875,42,22,0.046875,50
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,e6940be75bbe2be6c50f28c1a0669cce25e567d46d20ccb2e8a52e7eb9348ed9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.0625,0.25,0.359375,0.328125,0.546875,0.203125,0.140625,48,16,0.078125,52
