model,task,fold,seed,status,checkpoint_sha256,basis_sha256,protected_assignment_sha256,split_sha256,delta_qP,delta_qnonP,donor_label_transfer,donor_margin_transfer,flip_rate,layer_name,logit_rms,random_delta_qP,random_delta_qnonP,random_donor_label_transfer,random_donor_margin_transfer,random_flip_rate,random_logit_rms,random_true_margin_loss,subject_id,true_margin_loss
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1.1057841777801514,0.44262397661805153,0.5,1.2898198664188385,0.5,temporal_bn,1.841199453920126,0.7007821311429143,0.5177577047049999,0.5225,0.8588711500167847,0.5225,1.7344111523637549,1.8329932329058647,3,2.794812425971031
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.8463416080921888,0.3346815900877118,0.5,1.5047461539506912,0.375,temporal_bn,1.80610840767622,0.5369177769473754,0.3927139541413635,0.5175,0.8992912254016846,0.4225,1.3452601185487583,1.6736562203615903,5,2.673722878098488
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1.1648913957178593,0.383295439183712,0.375,1.4870078414678574,0.375,temporal_bn,2.0746158324182034,0.6738086206838488,0.46931407645810397,0.3575,1.2048757675290107,0.3575,1.7640996627649292,2.408572440892458,6,3.0072695314884186
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.9751438237726688,0.3449348285794258,0.5,0.8671507388353348,0.5,temporal_bn,1.704358346760273,0.5788066872069613,0.4399610464647412,0.3925,0.09597237661480904,0.4275,1.4974131664074957,0.40933256298303605,15,2.2737720608711243
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.8409457062371075,0.24926759325899184,0.375,-0.0664435476064682,0.5,temporal_bn,1.0365329459309578,0.4941669306613039,0.3839496485213749,0.24375,-0.29952393285930157,0.28125,1.1739755166787653,-0.4891218915209174,32,0.06948566436767578
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.8964047990739346,0.37023501098155975,0.125,-1.2206790149211884,0.25,temporal_bn,1.5139210764318705,0.6198883958673105,0.5495295989746228,0.2925,-0.41922542098909615,0.3475,1.670445423014462,-0.9671705930680037,33,-2.377773627638817
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.9306721612811089,0.41461501363664865,0.25,-1.1106720864772797,0.375,temporal_bn,1.7011780589818954,0.6224172213114798,0.48046820242889227,0.385,-0.17524602239020168,0.3725,1.476770953880623,-0.26189245902001856,38,-1.7811056077480316
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1.2759089097380638,0.542147982865572,0.25,-0.08677645027637482,0.5,temporal_bn,1.405601754784584,0.7345799583289773,0.6699783347547055,0.3825,0.11345176171511412,0.5725,1.7400190158002078,0.18568163059651852,47,-0.2015834003686905
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.8137157186865807,0.2091408222913742,0.5,0.6706958375871181,0.25,spatial_elu_pool1,0.9482664335519075,0.35436016589868813,0.2569247689284384,0.4375,0.39944570291787385,0.2675,0.7541866206098348,0.740487609282136,3,1.34176155179739
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.7931284010410309,0.2396651217713952,0.625,1.010022595524788,0.375,spatial_elu_pool1,1.3954405039548874,0.3798666698229499,0.30440764510072765,0.39875,0.3087043286859989,0.29875,0.9684317204169929,0.6655815050378442,5,2.250924050807953
