seed,task,fold,path,sha256,strict_load
1,OpenBMI_SSVEP,0,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold0_seed1_litebn/selected_best.pt,e61c4f1f112574fd1a460254039c8b4c13234cb3c75645693cf0ae62cdcf6926,True
1,OpenBMI_SSVEP,1,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold1_seed1_litebn/selected_best.pt,84b5b312c4209367704fd2f4e1be73155d097776ff7baf5c545009e7cb69618c,True
1,OpenBMI_SSVEP,2,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold2_seed1_litebn/selected_best.pt,a80a9b6222ac82a01beb89f1e1e615dedc7af9a675db9744112dd89ca5a7f851,True
1,OpenBMI_SSVEP,3,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold3_seed1_litebn/selected_best.pt,60c9a370307cd851418dad3c0bb316bf33548eca5f9e32093a37ff1421b0b816,True
1,OpenBMI_SSVEP,4,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold4_seed1_litebn/selected_best.pt,3f9605a7aff9ccbdae7eaa56a267de3a13ba5fb3075363abcadd32ca9f22e699,True
1,OpenBMI_ERP,0,/root/rivermind-data/openbmi_task_generality_runtime/erp_fold0_seed1_litebn/selected_best.pt,2c055d28017de05dcf2d6dfb713fc88ff6b27510d826573e2341be37cb7e40aa,True
1,OpenBMI_ERP,1,/root/rivermind-data/openbmi_task_generality_runtime/erp_fold1_seed1_litebn/selected_best.pt,edb5e38a084b4b4359d005da7791c226e0705b769c6e5e46038ff7f5ba8d9ad1,True
1,OpenBMI_ERP,2,/root/rivermind-data/openbmi_task_generality_runtime/erp_fold2_seed1_litebn/selected_best.pt,4624b15943e37715aaa45834d6e04a07e290355a7ec552a795bd1dd345bc0f68,True
1,OpenBMI_ERP,3,/root/rivermind-data/openbmi_task_generality_runtime/erp_fold3_seed1_litebn/selected_best.pt,78c3e60a5415db83b1f3ad07e6abf15072aa74126ecaa58a978264db280106bc,True
1,OpenBMI_ERP,4,/root/rivermind-data/openbmi_task_generality_runtime/erp_fold4_seed1_litebn/selected_best.pt,ff5185637d17609dd2a56011430ebecad9c0686b6d5124579fcaa39092b63adf,True
1,OpenBMI_MI,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold0_seed1_litebn/selected_best.pt,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa,True
1,OpenBMI_MI,1,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold1_seed1_litebn/selected_best.pt,b85320fdb1c4ebb1409b150272275ed05851493398ccef894d1b445ab19a654e,True
1,OpenBMI_MI,2,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold2_seed1_litebn/selected_best.pt,76280844278a5619786f5a1f939e9623b0d0b1ff804ea6f4a8b6d43bcaab6b5a,True
1,OpenBMI_MI,3,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold3_seed1_litebn/selected_best.pt,d0e57b465a347ddbea4c2ab5b24acee6d41ccea0b957d12ec52419daf502c31b,True
1,OpenBMI_MI,4,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold4_seed1_litebn/selected_best.pt,da73a311608c69caee6ec16b34438a213010bf48dc86f2f37b2bcd4e094bc2b3,True
1,WBCIC_MI,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/wbcic_fold0_seed1_litebn/selected_best.pt,e737917659b3d7bbb46e9b602501067e69e359a1b818ba1b7f47b004853f057f,True
1,WBCIC_MI,1,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/wbcic_fold1_seed1_litebn/selected_best.pt,80b0ebbc3f359410e635e8ac04ebded1998e6ca19c83340b068d0c5520721f69,True
1,WBCIC_MI,2,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/wbcic_fold2_seed1_litebn/selected_best.pt,3341e95b950d3478040930685bda0708adaacf8b5ccc15fc2fbc5517d8d1f101,True
1,WBCIC_MI,3,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/wbcic_fold3_seed1_litebn/selected_best.pt,666a05be19cd6dd73e4daa0b0ecc651777cc0b6dff0f6b011d7efb0adf9774a2,True
1,WBCIC_MI,4,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/wbcic_fold4_seed1_litebn/selected_best.pt,cd1f57187cf83436ee93017d1fb7c48069436b1d16769e0e9460ce593cc3e0ca,True
