fold,original_BA,lighttail_BA,delta_BA_pp,original_macro_F1,lighttail_macro_F1,delta_macro_F1_pp,original_accuracy,lighttail_accuracy,delta_accuracy_pp
0,0.8262499999999999,0.81375,-1.2500000000000013,0.8239583329302677,0.80867843300974,-1.5279899920527726,0.82625,0.81375,-1.2499999999999984
1,0.8325,0.8075,-2.4999999999999996,0.8303223777063317,0.8044566791035681,-2.586569860276365,0.8325,0.8075,-2.500000000000001
2,0.7275,0.7025,-2.500000000000001,0.7222554584824781,0.6985138627514079,-2.3741595731070095,0.7275,0.7025,-2.500000000000001
3,0.7875,0.77375,-1.3749999999999984,0.7851528645934953,0.7692021826910711,-1.5950681902424186,0.7875,0.7737499999999999,-1.3749999999999998
4,0.78375,0.78375,1.3322676295501878e-15,0.7764506670099987,0.7744193586901423,-0.2031308319856303,0.78375,0.7837500000000001,2.7755575615628914e-15
