population,subjects,mean_delta_BA_pp,median_delta_BA_pp,q25_delta_BA_pp,q10_delta_BA_pp,worst_subject_delta_BA_pp,positive_subject_ratio,baseline_hardest_quartile_mean_delta_pp,baseline_hardest_quartile_subjects
outer,40,-1.5249999999999997,-1.0000000000000009,-4.0000000000000036,-6.099999999999993,-14.000000000000002,0.35,-1.699999999999997,"[""9"", ""34"", ""50"", ""1"", ""48"", ""46"", ""32"", ""22"", ""11"", ""7""]"
heldout,14,-0.671428571428571,-0.40000000000000036,-1.7499999999999993,-2.940000000000001,-3.3999999999999986,0.42857142857142855,-0.49999999999999756,"[""24"", ""17"", ""51"", ""29""]"
