fold,population,subject_id,original_BA,lighttail_BA,delta_BA_pp,original_macro_F1,lighttail_macro_F1,delta_macro_F1_pp,original_accuracy,lighttail_accuracy,delta_accuracy_pp
0,outer,15,0.87,0.88,1.0000000000000009,0.8698828946051447,0.8798076923076923,0.9924797702547616,0.87,0.88,1.0000000000000009
0,outer,38,0.77,0.63,-14.000000000000002,0.757153415690001,0.5960257670051315,-16.112764868486952,0.77,0.63,-14.000000000000002
0,outer,6,0.9099999999999999,0.9199999999999999,1.0000000000000009,0.9099189270343309,0.9199679871948779,1.0049060160547074,0.91,0.92,1.0000000000000009
0,outer,33,0.88,0.9099999999999999,2.9999999999999916,0.8799519807923168,0.9099189270343309,2.9966946242014014,0.88,0.91,3.0000000000000027
0,outer,32,0.7,0.67,-2.9999999999999916,0.6998799519807923,0.66996699669967,-2.9912955281122366,0.7,0.67,-2.9999999999999916
0,outer,3,0.87,0.8999999999999999,2.9999999999999916,0.8699869986998701,0.8998397435897436,2.985274488987355,0.87,0.9,3.0000000000000027
0,outer,5,0.75,0.74,-1.0000000000000009,0.7469379491851402,0.7348021215830274,-1.2135827602112848,0.75,0.74,-1.0000000000000009
0,outer,47,0.86,0.86,0.0,0.8579545454545454,0.8590982286634461,0.1143683208900681,0.86,0.86,0.0
1,outer,26,0.85,0.87,2.0000000000000018,0.84998499849985,0.8698828946051447,1.9897896105294688,0.85,0.87,2.0000000000000018
1,outer,2,0.78,0.75,-3.0000000000000027,0.7796474358974359,0.7493734335839599,-3.027400231347599,0.78,0.75,-3.0000000000000027
1,outer,14,0.75,0.6799999999999999,-7.000000000000006,0.7457023700539112,0.6666666666666666,-7.903570338724453,0.75,0.68,-6.999999999999995
1,outer,31,0.79,0.81,2.0000000000000018,0.7874278773155178,0.8067338012409724,1.9305923925454604,0.79,0.81,2.0000000000000018
1,outer,28,0.9299999999999999,0.8600000000000001,-6.999999999999984,0.9298245614035088,0.8594941790445605,-7.0330382358948285,0.93,0.86,-7.000000000000006
1,outer,35,0.8,0.8300000000000001,3.0000000000000027,0.7933030177759405,0.8260869565217391,3.2783938745798658,0.8,0.83,2.9999999999999916
1,outer,40,0.81,0.76,-5.000000000000004,0.8067338012409724,0.7575757575757576,-4.915804366521481,0.81,0.76,-5.000000000000004
1,outer,43,0.95,0.8999999999999999,-5.000000000000004,0.9499549594635172,0.8998397435897436,-5.011521587377354,0.95,0.9,-4.999999999999993
2,outer,50,0.63,0.62,-1.0000000000000009,0.6236395076797885,0.6193910256410255,-0.4248482038762935,0.63,0.62,-1.0000000000000009
