subject_id,original_BA,lighttail_BA,delta_BA_pp,original_macro_F1,lighttail_macro_F1,delta_macro_F1_pp,original_accuracy,lighttail_accuracy,delta_accuracy_pp
12,0.7140000000000001,0.722,0.7999999999999962,0.7031101558747485,0.7104855556648243,0.7375399790075823,0.7140000000000001,0.722,0.7999999999999985
13,0.732,0.704,-2.8000000000000025,0.7306781618038217,0.6999574372989621,-3.0720724504859653,0.732,0.704,-2.8000000000000003
17,0.622,0.608,-1.3999999999999966,0.609548643460968,0.6014400945629259,-0.8108548898042158,0.622,0.608,-1.399999999999999
18,0.712,0.6819999999999999,-3.0000000000000004,0.711594364583936,0.6782192529009852,-3.3375111682950864,0.712,0.682,-3.0000000000000027
24,0.5700000000000001,0.5820000000000001,1.2000000000000033,0.5183629792914661,0.5307500333057595,1.2387054014293228,0.5700000000000001,0.5820000000000001,1.1999999999999988
25,0.976,0.976,0.0,0.9759795739225394,0.975973958934355,-0.0005614988184432512,0.976,0.976,0.0
29,0.708,0.724,1.6000000000000014,0.7067385582697826,0.7216687427814351,1.4930184511652536,0.708,0.724,1.599999999999997
36,0.9299999999999999,0.9359999999999999,0.6000000000000005,0.9299108328214105,0.9359491362739286,0.6038303452518012,0.93,0.9359999999999999,0.6000000000000005
37,0.726,0.736,1.0000000000000009,0.7095978461720251,0.7221450410509271,1.2547194878902013,0.726,0.736,1.0000000000000009
39,0.776,0.76,-1.5999999999999992,0.7743699314055112,0.7588350230243976,-1.5534908381113512,0.776,0.76,-1.5999999999999992
4,0.8280000000000001,0.8099999999999999,-1.7999999999999994,0.8264459004882972,0.807627993558976,-1.8817906929321304,0.828,0.8099999999999999,-1.8000000000000014
42,0.714,0.716,0.20000000000000018,0.7085193847089666,0.7137472850514581,0.5227900342491608,0.714,0.716,0.19999999999999787
51,0.6859999999999999,0.6519999999999999,-3.3999999999999986,0.6821233689134748,0.6457470134076051,-3.6376355505869724,0.6859999999999999,0.652,-3.3999999999999964
54,0.734,0.726,-0.8000000000000007,0.733211820860764,0.7220309125641189,-1.1180908296645198,0.734,0.726,-0.8000000000000028
