row_type,model,metric,mean,ci95_low,ci95_high,improved,tied,harmed,future_S2_BA,future_S2_Macro_F1,WS_BA,subjects,bootstrap_resamples
model,EEGNet,,,,,,,,0.9211505829098785,0.9197928814869032,0.8872238925033527,93,
model,SIRE-EEG,,,,,,,,0.9174337235711252,0.9165310904001204,0.881837759686469,93,
paired_contrast,SIRE-EEG minus EEGNet,future S2 BA,-0.003716859338753332,-0.009509365983717289,0.002065356428335359,36,9,48,,,,93,20000
paired_contrast,SIRE-EEG minus EEGNet,WS-BA,-0.005386132816883407,-0.012667717167241225,0.0015856750831539468,36,6,51,,,,93,20000
