model,fold,seed,checkpoint_sha256,selected_epoch,normalizer_sha256,subject,session,session_id,BA,Macro_F1,accuracy,trials
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-084,S2,2,0.9010396611474778,0.9016203703703705,0.9019607843137255,102
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-006,S2,2,0.9263721552878179,0.9229280096793708,0.9230769230769231,182
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-014,S2,2,0.9125000000000001,0.9124863259884357,0.9125,80
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-054,S2,2,0.9565217391304348,0.9534632034632035,0.9534883720930233,43
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-020,S2,2,0.9137931034482758,0.9136904761904762,0.9137931034482759,116
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-021,S2,2,0.7593548387096775,0.7617021276595746,0.7678571428571429,56
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-094,S2,2,0.927003410059676,0.927003410059676,0.927007299270073,137
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-091,S2,2,0.9274099883855982,0.9276162790697675,0.927710843373494,83
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-026,S2,2,1.0,1.0,1.0,34
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-017,S2,2,0.9420289855072463,0.9419191919191919,0.9420289855072463,138
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-036,S2,2,0.9170253467240554,0.9218351741716228,0.9239130434782609,92
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-012,S2,2,0.9746184738955823,0.9746184738955823,0.9746835443037974,158
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-011,S2,2,0.9270656879352531,0.9246539995308468,0.9246575342465754,146
