model,fold,previous_latest_epoch,resume_start_epoch,previous_best_epoch,init_sha256,manifest_sha256,normalizer_semantic_sha256,normalizer_file_sha256,optimizer_restored,scaler_restored,rng_restored,source_latest_sha256,final_epoch,full60_selected_epoch,full60_inner_val_S2_BA,selected_checkpoint_changed
EEGNet,0,22,23,14,ebc3c7d702ca0c7addb4ddb6e6f81ef313e684acffe0d33de7cad0d7cb3fbbb8,747797fc637252b77f371776e8722e0e265ecae72297891a000266fb8b6b36d9,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,e09e0fa62ea6c25a2548b1f210f6baf52641920eac2d9ba72f690de4ab1d9825,True,True,True,568b38ed208f988eabbe2006e91a63c509c9b8be557b2d46c3d296b20e2b8728,60,50,0.9330905082402321,True
SIRE-EEG,0,39,40,31,50f2624ddeba2e383a4cc08588a811f74e9b78ef8cc3ff906286e148d9a5bd70,747797fc637252b77f371776e8722e0e265ecae72297891a000266fb8b6b36d9,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,e09e0fa62ea6c25a2548b1f210f6baf52641920eac2d9ba72f690de4ab1d9825,True,True,True,12fa24e162166da4355dbd8d172584f71ce4baf758ead53973d8b961f4eed0e6,60,31,0.9282004506126704,False
EEGNet,1,33,34,25,ebc3c7d702ca0c7addb4ddb6e6f81ef313e684acffe0d33de7cad0d7cb3fbbb8,0ad56163e3266c86ba5ffe5429f5e1d5220003a8c7001b135827438d665c56ad,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,5375f97a3836c152c4f559a790e835e7eccb8abceb5078218dd37d61efdce8d2,True,True,True,ceafc9fc166186566ec9f2cb84edc101c88415d27d2cdcb41d1275bdda1abe52,60,25,0.9407544712145013,False
SIRE-EEG,1,30,31,22,50f2624ddeba2e383a4cc08588a811f74e9b78ef8cc3ff906286e148d9a5bd70,0ad56163e3266c86ba5ffe5429f5e1d5220003a8c7001b135827438d665c56ad,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,5375f97a3836c152c4f559a790e835e7eccb8abceb5078218dd37d61efdce8d2,True,True,True,cf5115df0bf1d7f5478790847a8395ed09adca5ab045984a96b9fe9712be7ba2,60,22,0.9495928152198403,False
EEGNet,2,39,40,31,ebc3c7d702ca0c7addb4ddb6e6f81ef313e684acffe0d33de7cad0d7cb3fbbb8,09b666d7d86fe81cc0b236fcd7358cebfbc60c1ac1fececb8e15b4072d3a23cd,2376a87a0522f7df70e2c258b5afb82bdecd5659564da134d091eca4a9ebb131,9ad9b996366aa5403f176280c3939dd32f69c36c0aa96129ac1331ae6ac522a8,True,True,True,5f26fe84a45016eae8c360cc4ddc7fceaab7013ae3e98bcb5fd3e9dda74d1962,60,31,0.9193001211860962,False
SIRE-EEG,2,27,28,19,50f2624ddeba2e383a4cc08588a811f74e9b78ef8cc3ff906286e148d9a5bd70,09b666d7d86fe81cc0b236fcd7358cebfbc60c1ac1fececb8e15b4072d3a23cd,2376a87a0522f7df70e2c258b5afb82bdecd5659564da134d091eca4a9ebb131,9ad9b996366aa5403f176280c3939dd32f69c36c0aa96129ac1331ae6ac522a8,True,True,True,1478373f154f540652bec5c5fe4b2be0ae0202343a3b4e9714429daf592e2c02,60,43,0.9240630273492763,True
EEGNet,3,32,33,24,ebc3c7d702ca0c7addb4ddb6e6f81ef313e684acffe0d33de7cad0d7cb3fbbb8,eb50c2e96876dd81ecd175f18dbc60b6075e5da11150a7dd37eef08cf1a16d74,057fced0e08c513a64a976c72abea0b5795f70947313ef7c132fd02ab90e4fc1,c731ed7100a13d75818333600d49af87a604f55daf3d2f498434d6c6a6648b1d,True,True,True,0966e604a7c33702ec79a7ae7126e261311f3da4da5f1c0a678f75ef818c9af1,60,39,0.9121711787112938,True
SIRE-EEG,3,32,33,24,50f2624ddeba2e383a4cc08588a811f74e9b78ef8cc3ff906286e148d9a5bd70,eb50c2e96876dd81ecd175f18dbc60b6075e5da11150a7dd37eef08cf1a16d74,057fced0e08c513a64a976c72abea0b5795f70947313ef7c132fd02ab90e4fc1,c731ed7100a13d75818333600d49af87a604f55daf3d2f498434d6c6a6648b1d,True,True,True,39c586b408a59e2a94bc550cbb7938f9c7c46e01f7ddbd85baf2fd380a0a0714,60,60,0.9062788840055269,True
EEGNet,4,18,19,10,ebc3c7d702ca0c7addb4ddb6e6f81ef313e684acffe0d33de7cad0d7cb3fbbb8,902204ac8a965efe49ac8789c8fe167e0261d8343b49355ef1cb999a5f9ee8fc,c862cb3129a05fab0dc2030846e7b8241440fe4813586fe7cc44fc680b838ff8,38d2187adc73c5c6e71368c28bc1dfdc715a50bf598a92c5e7cbb29d3d958c92,True,True,True,f9d695c6e87dfde85ccfa9e90d8852df0a4e1184a972d02ead49d74aba329269,60,59,0.9485959732672778,True
SIRE-EEG,4,34,35,26,50f2624ddeba2e383a4cc08588a811f74e9b78ef8cc3ff906286e148d9a5bd70,902204ac8a965efe49ac8789c8fe167e0261d8343b49355ef1cb999a5f9ee8fc,c862cb3129a05fab0dc2030846e7b8241440fe4813586fe7cc44fc680b838ff8,38d2187adc73c5c6e71368c28bc1dfdc715a50bf598a92c5e7cbb29d3d958c92,True,True,True,9b673866723cbedfe8ba24c8998a051c6711ef0e99a0c8ff19e1b185603a3833,60,54,0.9447712110524448,True
